key	label	public	ladder
#stats_tables;1;db/stats_tables/data__			
stat_0		false	false
stat_1		false	false
stat_10		false	false
stat_11	player_stats_total_mp_naval_battles_won	true	false
stat_12		false	false
stat_13		false	false
stat_14		false	false
stat_15		false	false
stat_16	player_stats_total_mp_naval_battles_completed	true	false
stat_17	player_stats_total_mp_land_battles_completed	true	false
stat_18	player_stats_total_mp_land_battles_won	true	false
stat_19		false	false
stat_2		false	false
stat_20	player_stats_ranked_land_battles_won	true	true
stat_21	player_stats_ranked_land_battles_lost	true	true
stat_22	player_stats_ranked_naval_battles_won	true	true
stat_23	player_stats_ranked_naval_battles_lost	true	true
stat_24	player_stats_campaign_land_battles_won	true	false
stat_25	player_stats_campaign_land_battles_lost	true	false
stat_26	player_stats_campaign_naval_battles_won	true	false
stat_27	player_stats_campaign_naval_battles_lost	true	false
stat_28	player_stats_campaign_battles_fought_personally	true	false
stat_29	player_stat_men_killed	true	false
stat_3		false	false
stat_30	player_stats_men_lost	false	false
stat_31	player_stats_enemy_generals_killed	false	false
stat_32	player_stats_generals_lost	false	false
stat_33		false	false
stat_34	player_stats_enemy_ships_sunk	false	false
stat_35	player_stats_ships_lost	false	false
stat_36	player_stats_campaigns_completed	true	false
stat_37		false	false
stat_38	player_stats_mp_consecutive_land	false	false
stat_39	player_stats_mp_consecutive_naval	false	false
stat_4	player_stat_battles_finished	false	false
stat_40	player_stats_decisive_victories	true	false
stat_45		false	false
stat_46	player_stats_most_men_killed	true	false
stat_47	player_stats_most_men_lost	true	false
stat_48	player_stats_enemy_units_wiped_out	false	false
stat_49	player_stats_friendly_units_rallied	false	false
stat_5	player_stat_battles_started	false	false
stat_50	player_stats_best_1v1_placement	true	true
stat_51	player_stats_best_2v2_placement	true	true
stat_52	player_stats_best_3v3_placement	true	true
stat_53	player_stats_best_4v4_placement	true	true
stat_54	player_stats_best_1v1_skill	false	true
stat_55	player_stats_best_2v2_skill	false	true
stat_56	player_stats_best_3v3_skill	false	true
stat_57	player_stats_best_4v4_skill	false	true
stat_58	player_stats_best_clan_ladder_placement	true	true
stat_59	player_stats_best_streak	false	false
stat_6	player_stat_battles_won	true	false
stat_60	CARD_STAT_BEST_1V1_LADDER_PLACEMENT_NAVAL	true	true
stat_61	CARD_STAT_BEST_2V2_LADDER_PLACEMENT_NAVAL	true	true
stat_62	CARD_STAT_BEST_3V3_LADDER_PLACEMENT_NAVAL	true	true
stat_63	CARD_STAT_BEST_4V4_LADDER_PLACEMENT_NAVAL	true	true
stat_64	CARD_STAT_BEST_1V1_SKILL_NAVAL	false	true
stat_65	CARD_STAT_BEST_2V2_SKILL_NAVAL	false	true
stat_66	CARD_STAT_BEST_3V3_SKILL_NAVAL	false	true
stat_67	CARD_STAT_BEST_4V4_SKILL_NAVAL	false	true
stat_68		false	false
stat_69		false	false
stat_7	player_stat_battles_lost	true	false
stat_70		false	false
stat_71		false	false
stat_72		false	false
stat_73		false	false
stat_74		false	false
stat_75		false	false
stat_76		false	false
stat_77		false	false
stat_78		false	false
stat_79		false	false
stat_8	player_stats_total_men_dead	false	false
stat_80		false	false
stat_9		false	false
stat_92		false	false
