id	payload	ancillary
#ritual_payload_ancillaries_tables;0;db/ritual_payload_ancillaries_tables/data__		
101445503	wh2_dlc10_dwf_ritual_enchanted_item_gauntlets_of_urgency	wh2_dlc10_dwf_anc_enchanted_item_troll_slayers_gauntlets
1026869631	wh2_dlc17_dwf_ritual_wh_main_anc_rune_master_rune_of_battle	wh_main_anc_rune_master_rune_of_battle
1032278063	wh2_dlc17_dwf_ritual_wh_main_anc_rune_ancestor_rune	wh_main_anc_rune_ancestor_rune
10336032	wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors	wh2_dlc10_dwf_anc_enchanted_item_horn_of_the_ancestors
1036212365	wh2_dlc10_dwf_ritual_armour_forgeproven_gromril_armour	wh2_dlc10_dwf_anc_armour_ironbeards_armour
1057087341	wh2_dlc10_dwf_ritual_armour_wailing_mail	wh2_dlc10_dwf_anc_armour_dragon_slayers_scales
1058385998	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item_3	wh2_dlc16_anc_enchanted_item_eagle_quiver_3
1078043491	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness	wh_main_anc_enchanted_item_potion_of_toughness
1085070622	wh2_dlc10_dwf_ritual_enchanted_item_drinking_horn	wh2_dlc10_dwf_anc_enchanted_item_miners_drinking_horn
1091316580	wh3_main_anc_banner_tmb_ualatp_order	wh3_main_anc_banner_tmb_ualatp_order
109511471	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_fear	wh2_dlc17_anc_rune_personal_rune_of_fear
1097731696	wh2_dlc17_dwf_ritual_wh_main_anc_rune_rune_of_parrying	wh_main_anc_rune_rune_of_parrying
1107821838	wh2_dlc10_dwf_ritual_armour_shield_of_warding	wh2_dlc10_dwf_anc_armour_rangers_cloak
1115204724	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_iron	wh2_dlc17_anc_rune_personal_rune_of_iron
1120557487	wh2_dlc17_dwf_ritual_wh_main_anc_rune_master_rune_of_courage	wh_main_anc_rune_master_rune_of_courage
1154055838	wh2_dlc16_ritual_wef_forge_dragon_armour_1	wh2_dlc16_anc_armour_dragon_cuirass_1
1158878580	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_luck	wh2_dlc17_anc_rune_personal_rune_of_luck
1159939415	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_cleaving	wh2_dlc17_anc_rune_personal_rune_of_cleaving
1163434079	wh2_dlc10_dwf_ritual_enchanted_item_bracers_of_evasion	wh2_dlc10_dwf_anc_enchanted_item_ironbeards_bracers
117335850	wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace	wh2_dlc09_anc_weapon_enchanted_lapis_mace
1196847086	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_of_gromril	wh2_dlc17_anc_rune_personal_master_rune_of_gromril
1198555628	wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	wh2_dlc10_dwf_anc_enchanted_item_sceptre_of_stone
1220421107	wh2_dlc10_dwf_ritual_weapon_trollslayer_axe	wh2_dlc10_dwf_anc_weapon_trollslayer_axe
1221769321	wh3_main_anc_banner_tmb_centuries_sigil	wh3_main_anc_banner_tmb_centuries_sigil
1225871236	wh2_dlc10_dwf_ritual_weapon_hammer_of_eight_peaks	wh2_dlc10_dwf_anc_weapon_old_guards_hammer
1249833428	wh2_dlc16_ritual_wef_forge_eagle_weapon_3	wh2_dlc16_anc_weapon_eagle_bow_3
1268709335	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_of_skalf_blackhammer	wh2_dlc17_anc_rune_personal_master_rune_of_skalf_blackhammer
127042093	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_of_spite	wh2_dlc17_anc_rune_personal_master_rune_of_spite
1290965195	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_of_passage	wh2_dlc17_anc_rune_personal_master_rune_of_passage
1293720770	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_flakksons_rune_of_seeking	wh2_dlc17_anc_rune_engineering_flakksons_rune_of_seeking
1295989710	wh2_dlc16_ritual_wef_forge_dreaming_armour_1	wh2_dlc16_anc_armour_dreaming_boots_1
1304551364	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_fire	wh2_dlc17_anc_rune_personal_rune_of_fire
1308610893	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_rune_of_penetration	wh2_dlc17_anc_rune_engineering_rune_of_penetration
1310934519	wh2_dlc10_dwf_ritual_armour_helm_of_courage	wh2_dlc10_dwf_anc_armour_miners_helm
1313213610	wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	wh2_dlc09_anc_enchanted_item_hieratic_jar
1325717122	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	wh2_dlc09_anc_armour_armour_armour_of_dawn
1346658878	wh3_main_anc_banner_tmb_cursing_word	wh3_main_anc_banner_tmb_cursing_word
1347932270	wh2_dlc16_ritual_wef_forge_twilight_talisman_4	wh2_dlc16_anc_talisman_twilight_horn_4
1353601095	wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	wh2_dlc09_anc_enchanted_item_ouroboros
1353706500	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_impact	wh2_dlc17_anc_rune_personal_rune_of_impact
1357083127	wh2_dlc17_dwf_ritual_thorek_artifact_8	wh2_dlc17_anc_rune_personal_ancestor_rune_of_grimnir
