uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/data__					
wh2_dlc09_campaign_tmb_ship_agent	wh2_dlc09_campaign_tmb_ship_agent		wh2_dlc09_campaign_tmb_ship_agent		
wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport		wh2_dlc09_campaign_tmb_ship_transport		
wh2_dlc09_uniform_skv_tretch_craventail	wh2_dlc09_skv_tretch_craventail	wh2_dlc09_skv_tretch_craventail	wh2_dlc09_skv_tretch_craventail		
wh2_dlc09_uniform_tmb_arkhan	wh2_dlc09_tmb_ch_arkhan	wh2_dlc09_tmb_ch_arkhan	wh2_dlc09_tmb_ch_arkhan		
wh2_dlc09_uniform_tmb_khalida	wh2_dlc09_tmb_ch_khalida_campaign	wh2_dlc09_tmb_ch_khalida	wh2_dlc09_tmb_ch_khalida		
wh2_dlc09_uniform_tmb_khatep	wh2_dlc09_tmb_ch_khatep	wh2_dlc09_tmb_ch_khatep	wh2_dlc09_tmb_ch_khatep		
wh2_dlc09_uniform_tmb_liche_priest_01	wh2_dlc09_tmb_liche_priest_campaign_01	wh2_dlc09_tmb_liche_priest_campaign_01	wh2_dlc09_tmb_liche_priest_campaign_01		
wh2_dlc09_uniform_tmb_liche_priest_02	wh2_dlc09_tmb_liche_priest_campaign_02	wh2_dlc09_tmb_liche_priest_campaign_02	wh2_dlc09_tmb_liche_priest_campaign_02		
wh2_dlc09_uniform_tmb_liche_priest_03	wh2_dlc09_tmb_liche_priest_campaign_03	wh2_dlc09_tmb_liche_priest_campaign_03	wh2_dlc09_tmb_liche_priest_campaign_03		
wh2_dlc09_uniform_tmb_liche_priest_04	wh2_dlc09_tmb_liche_priest_campaign_04	wh2_dlc09_tmb_liche_priest_campaign_04	wh2_dlc09_tmb_liche_priest_campaign_04		
wh2_dlc09_uniform_tmb_liche_priest_05	wh2_dlc09_tmb_liche_priest_campaign_05	wh2_dlc09_tmb_liche_priest_campaign_05	wh2_dlc09_tmb_liche_priest_campaign_05		
wh2_dlc09_uniform_tmb_necrotect_01	wh2_dlc09_tmb_necrotect_campaign_01	wh2_dlc09_tmb_necrotect_campaign_01	wh2_dlc09_tmb_necrotect_campaign_01		
wh2_dlc09_uniform_tmb_necrotect_02	wh2_dlc09_tmb_necrotect_campaign_02	wh2_dlc09_tmb_necrotect_campaign_02	wh2_dlc09_tmb_necrotect_campaign_02		
wh2_dlc09_uniform_tmb_necrotect_03	wh2_dlc09_tmb_necrotect_campaign_03	wh2_dlc09_tmb_necrotect_campaign_03	wh2_dlc09_tmb_necrotect_campaign_03		
wh2_dlc09_uniform_tmb_necrotect_04	wh2_dlc09_tmb_necrotect_campaign_04	wh2_dlc09_tmb_necrotect_campaign_04	wh2_dlc09_tmb_necrotect_campaign_04		
wh2_dlc09_uniform_tmb_settra	wh2_dlc09_tmb_ch_settra	wh2_dlc09_tmb_ch_settra	wh2_dlc09_tmb_ch_settra		
wh2_dlc09_uniform_tmb_tomb_king_01	wh2_dlc09_tmb_ch_tomb_king_campaign_01	wh2_dlc09_tmb_ch_tomb_king_campaign_01	wh2_dlc09_tmb_ch_tomb_king_campaign_01		
wh2_dlc09_uniform_tmb_tomb_king_02	wh2_dlc09_tmb_ch_tomb_king_campaign_02	wh2_dlc09_tmb_ch_tomb_king_campaign_02	wh2_dlc09_tmb_ch_tomb_king_campaign_02		
wh2_dlc09_uniform_tmb_tomb_king_03	wh2_dlc09_tmb_ch_tomb_king_campaign_03	wh2_dlc09_tmb_ch_tomb_king_campaign_03	wh2_dlc09_tmb_ch_tomb_king_campaign_03		
wh2_dlc09_uniform_tmb_tomb_king_04	wh2_dlc09_tmb_ch_tomb_king_campaign_04	wh2_dlc09_tmb_ch_tomb_king_campaign_04	wh2_dlc09_tmb_ch_tomb_king_campaign_04		
wh2_dlc09_uniform_tmb_tomb_king_05	wh2_dlc09_tmb_ch_tomb_king_campaign_05	wh2_dlc09_tmb_ch_tomb_king_campaign_05	wh2_dlc09_tmb_ch_tomb_king_campaign_05		
wh2_dlc09_uniform_tmb_tomb_prince_01	wh2_dlc09_tmb_ch_tomb_prince_campaign_01	wh2_dlc09_tmb_ch_tomb_prince_campaign_01	wh2_dlc09_tmb_ch_tomb_prince_campaign_01		
wh2_dlc09_uniform_tmb_tomb_prince_02	wh2_dlc09_tmb_ch_tomb_prince_campaign_02	wh2_dlc09_tmb_ch_tomb_prince_campaign_02	wh2_dlc09_tmb_ch_tomb_prince_campaign_02		
wh2_dlc09_uniform_tmb_tomb_prince_03	wh2_dlc09_tmb_ch_tomb_prince_campaign_03	wh2_dlc09_tmb_ch_tomb_prince_campaign_03	wh2_dlc09_tmb_ch_tomb_prince_campaign_03		
wh2_dlc09_uniform_tmb_tomb_prince_04	wh2_dlc09_tmb_ch_tomb_prince_campaign_04	wh2_dlc09_tmb_ch_tomb_prince_campaign_04	wh2_dlc09_tmb_ch_tomb_prince_campaign_04		
wh2_dlc09_uniform_tmb_tomb_prince_05	wh2_dlc09_tmb_ch_tomb_prince_campaign_05	wh2_dlc09_tmb_ch_tomb_prince_campaign_05	wh2_dlc09_tmb_ch_tomb_prince_campaign_05		
wh2_dlc10_uniform_def_crone_hellebron	wh2_dlc10_def_crone_hellebron	wh2_dlc10_def_crone_hellebron	wh2_dlc10_def_crone_hellebron		
wh2_dlc10_uniform_def_mon_war_hydra_boss	wh2_dlc10_def_mon_war_hydra_boss	wh2_dlc10_def_mon_war_hydra_boss	wh2_dlc10_def_mon_war_hydra_boss		
wh2_dlc10_uniform_def_supreme_sorceress_01	wh2_dlc10_def_supreme_sorceress_campaign_01	wh2_dlc10_def_supreme_sorceress_campaign_01	wh2_dlc10_def_supreme_sorceress_campaign_01		
wh2_dlc10_uniform_def_supreme_sorceress_02	wh2_dlc10_def_supreme_sorceress_campaign_02	wh2_dlc10_def_supreme_sorceress_campaign_02	wh2_dlc10_def_supreme_sorceress_campaign_02		
wh2_dlc10_uniform_def_supreme_sorceress_03	wh2_dlc10_def_supreme_sorceress_campaign_03	wh2_dlc10_def_supreme_sorceress_campaign_03	wh2_dlc10_def_supreme_sorceress_campaign_03		
wh2_dlc10_uniform_def_supreme_sorceress_04	wh2_dlc10_def_supreme_sorceress_campaign_04	wh2_dlc10_def_supreme_sorceress_campaign_04	wh2_dlc10_def_supreme_sorceress_campaign_04		
wh2_dlc10_uniform_def_supreme_sorceress_05	wh2_dlc10_def_supreme_sorceress_campaign_05	wh2_dlc10_def_supreme_sorceress_campaign_05	wh2_dlc10_def_supreme_sorceress_campaign_05		
wh2_dlc10_uniform_hef_alarielle	wh2_dlc10_hef_alarielle_campaign	wh2_dlc10_hef_alarielle	wh2_dlc10_hef_alarielle_campaign		
wh2_dlc10_uniform_hef_alith_anar	wh2_dlc10_hef_alith_anar	wh2_dlc10_hef_alith_anar	wh2_dlc10_hef_alith_anar		
wh2_dlc10_uniform_hef_handmaiden_01	wh2_dlc10_hef_handmaiden_campaign_01	wh2_dlc10_hef_handmaiden_campaign_01	wh2_dlc10_hef_handmaiden_campaign_01		
wh2_dlc10_uniform_hef_handmaiden_02	wh2_dlc10_hef_handmaiden_campaign_02	wh2_dlc10_hef_handmaiden_campaign_02	wh2_dlc10_hef_handmaiden_campaign_02		
