entity_type	situation	ability	group_sound
#audio_group_sound_assignments_tables;1;db/audio_group_sound_assignments_tables/data__			
wh2_cold_one	burning		wh_grp_vocalisation_cold_one_pain
wh2_cold_one	charge		wh_grp_vocalisation_cold_one_charge
wh2_cold_one	collision		wh2_grp_vocalisation_cold_one_collision
wh2_cold_one	encouragement		wh_grp_vocalisation_cold_one_melee
wh2_cold_one	fighting		wh_grp_vocalisation_cold_one_melee
wh2_cold_one	idle		wh_grp_vocalisation_cold_one_idle
wh2_cold_one	injured		wh_grp_vocalisation_cold_one_pain
wh2_cold_one	moving		wh_grp_vocalisation_cold_one_running
wh2_cold_one	response		wh_grp_vocalisation_cold_one_unit_response
wh2_cold_one	resurrecting		wh_grp_vocalisation_cold_one_unit_response
wh2_cold_one	selection		wh_grp_vocalisation_cold_one_unit_response
wh2_cst_sartosa_free_company	charge		wh_grp_vocalisation_human_male_bret_west_country_charge
wh2_cst_sartosa_free_company	cheering		wh_grp_vocalisation_human_male_taunting
wh2_cst_sartosa_free_company	collision		wh_grp_vocalisation_human_male_collision
wh2_cst_sartosa_free_company	encouragement		wh2_grp_vocalisation_generic_male_encouragement
wh2_cst_sartosa_free_company	fighting		wh_grp_vocalisation_human_male_melee
wh2_cst_sartosa_free_company	injured		wh_grp_vocalisation_human_male_pain
wh2_cst_sartosa_free_company	moving_taunt		wh_grp_vocalisation_human_male_taunt
wh2_cst_sartosa_free_company	response		wh2_grp_vocalisation_cst_sartosa_free_company_unit_response
wh2_cst_sartosa_free_company	selection		wh2_grp_vocalisation_cst_sartosa_free_company_unit_selection
wh2_cst_sartosa_free_company	taunt		wh_grp_vocalisation_human_male_taunt
wh2_cst_sartosa_free_company	taunting		wh_grp_vocalisation_human_male_taunting
wh2_cst_sartosa_free_company	teleporting		wh3_main_teleport_out
wh2_def_elf_female_default	charge		wh2_grp_vocalisation_darkelves_female_charge
wh2_def_elf_female_default	cheering		wh2_grp_vocalisation_darkelves_female_taunting
wh2_def_elf_female_default	collision		wh2_grp_vocalisation_darkelves_female_collision
wh2_def_elf_female_default	encouragement		wh2_grp_vocalisation_darkelves_female_encouragement
wh2_def_elf_female_default	fighting		wh2_grp_vocalisation_darkelves_female_melee
wh2_def_elf_female_default	injured		wh2_grp_vocalisation_darkelves_female_pain
wh2_def_elf_female_default	moving_taunt		wh2_grp_vocalisation_darkelves_female_taunt
wh2_def_elf_female_default	response		wh2_grp_vocalisation_darkelves_female_unit_response
wh2_def_elf_female_default	selection		wh2_grp_vocalisation_darkelves_female_unit_selection_witch
wh2_def_elf_female_default	taunt		wh2_grp_vocalisation_darkelves_female_taunt
wh2_def_elf_female_default	taunting		wh2_grp_vocalisation_darkelves_female_taunting
wh2_def_elf_female_default	teleporting		wh3_main_teleport_out
wh2_def_elf_male_default	charge		wh2_grp_vocalisation_darkelves_male_charge
wh2_def_elf_male_default	cheering		wh2_grp_vocalisation_darkelves_male_melee
wh2_def_elf_male_default	collision		wh2_grp_vocalisation_darkelves_male_collision
wh2_def_elf_male_default	encouragement		wh2_grp_vocalisation_generic_male_encouragement
wh2_def_elf_male_default	fighting		wh2_grp_vocalisation_darkelves_male_melee
wh2_def_elf_male_default	injured		wh2_grp_vocalisation_darkelves_male_pain
wh2_def_elf_male_default	moving_taunt		wh2_grp_vocalisation_darkelves_male_taunt
wh2_def_elf_male_default	response		wh2_grp_vocalisation_darkelves_male_unit_response
wh2_def_elf_male_default	selection		wh2_grp_vocalisation_darkelves_male_unit_selection
wh2_def_elf_male_default	taunt		wh2_grp_vocalisation_darkelves_male_taunt
wh2_def_elf_male_default	taunting		wh2_grp_vocalisation_darkelves_male_taunting
wh2_def_elf_male_default	teleporting		wh3_main_teleport_out
wh2_dlc10_def_doomfire_warlocks	charge		wh2_grp_vocalisation_darkelves_male_charge
wh2_dlc10_def_doomfire_warlocks	cheering		wh2_grp_vocalisation_darkelves_male_taunting
wh2_dlc10_def_doomfire_warlocks	collision		wh2_grp_vocalisation_darkelves_male_collision
wh2_dlc10_def_doomfire_warlocks	encouragement		wh2_grp_vocalisation_generic_male_encouragement
wh2_dlc10_def_doomfire_warlocks	fighting		wh2_grp_vocalisation_darkelves_male_melee
