ability_group	unit
#special_ability_groups_to_units_junctions_tables;0;db/special_ability_groups_to_units_junctions_tables/data__	
wh2_dlc09_lore_nehekhara	wh2_dlc09_tmb_cha_khatep_0
wh2_dlc09_lore_nehekhara	wh2_dlc09_tmb_cha_khatep_1
wh2_dlc09_lore_nehekhara	wh2_dlc09_tmb_cha_khatep_2
wh2_dlc09_lore_nehekhara	wh2_dlc09_tmb_cha_khatep_3
wh2_dlc09_lore_nehekhara	wh2_dlc09_tmb_cha_liche_priest_nehekhara_0
wh2_dlc09_lore_nehekhara	wh2_dlc09_tmb_cha_liche_priest_nehekhara_1
wh2_dlc09_lore_nehekhara	wh2_dlc09_tmb_cha_settra_0
wh2_dlc09_lore_nehekhara	wh2_dlc09_tmb_cha_settra_1
wh2_dlc09_lore_nehekhara	wh2_dlc09_tmb_cha_settra_2
wh2_dlc09_lore_nehekhara	wh2_dlc09_tmb_cha_settra_3
wh2_dlc10_lore_alarielle	wh2_dlc10_hef_cha_alarielle_the_radiant_0
wh2_dlc10_lore_alarielle	wh2_dlc10_hef_cha_alarielle_the_radiant_1
wh2_dlc10_lore_alarielle	wh2_dlc10_hef_cha_alarielle_the_radiant_2
wh2_dlc10_lore_alarielle	wh2_dlc10_hef_cha_alarielle_the_radiant_3
wh2_dlc11_lore_deep	wh2_dlc11_cst_cha_cylostra_direfin_0
wh2_dlc11_lore_deep	wh2_dlc11_cst_cha_cylostra_direfin_1
wh2_dlc11_lore_deep	wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_0
wh2_dlc11_lore_deep	wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_1
wh2_dlc11_lore_deep	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_0
wh2_dlc11_lore_deep	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_deeps_1
wh2_dlc11_lore_deep	wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_0
wh2_dlc11_lore_deep	wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_1
wh2_dlc11_lore_noctilus	wh2_dlc11_cst_inf_count_noctilus_0
wh2_dlc11_lore_noctilus	wh2_dlc11_cst_inf_count_noctilus_1
wh2_dlc11_lore_vampire_pirates	wh2_dlc11_cst_cha_vampire_fleet_admiral_0
wh2_dlc11_lore_vampire_pirates	wh2_dlc11_cst_cha_vampire_fleet_admiral_1
wh2_dlc11_lore_vampire_pirates	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_0
wh2_dlc11_lore_vampire_pirates	wh2_dlc11_cst_cha_vampire_fleet_admiral_female_1
wh2_dlc11_lore_vampire_pirates	wh2_dlc11_cst_cha_vampire_fleet_captain_0
wh2_dlc11_lore_vampire_pirates	wh2_dlc11_cst_cha_vampire_fleet_captain_1
wh2_dlc11_vmp_lore_lahmian	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_0
wh2_dlc11_vmp_lore_lahmian	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_1
wh2_dlc11_vmp_lore_lahmian	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_2
wh2_dlc11_vmp_lore_lahmian	wh2_dlc11_vmp_cha_bloodline_lahmian_lord_3
wh2_dlc11_vmp_lore_necrarch	wh2_dlc11_vmp_cha_bloodline_necrarch_lord_0
wh2_dlc11_vmp_lore_necrarch	wh2_dlc11_vmp_cha_bloodline_necrarch_lord_1
wh2_dlc11_vmp_lore_necrarch	wh2_dlc11_vmp_cha_bloodline_necrarch_lord_2
wh2_dlc11_vmp_lore_necrarch	wh2_dlc11_vmp_cha_bloodline_necrarch_lord_3
wh2_dlc11_vmp_lore_von_carstein	wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_0
wh2_dlc11_vmp_lore_von_carstein	wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_1
wh2_dlc11_vmp_lore_von_carstein	wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_2
wh2_dlc11_vmp_lore_von_carstein	wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_3
wh2_dlc12_lore_lord_kroak	wh2_dlc12_lzd_lzd_cha_kroak_0
wh2_dlc12_lore_lord_kroak	wh2_dlc12_lzd_lzd_cha_kroak_0_boss
wh2_dlc14_lore_stealth	wh2_dlc14_skv_cha_eshin_sorcerer_0
wh2_dlc15_lore_beasts_eagle	wh2_dlc15_hef_cha_archmage_beasts_0
wh2_dlc15_lore_beasts_eagle	wh2_dlc15_hef_cha_archmage_beasts_1
wh2_dlc15_lore_beasts_eagle	wh2_dlc15_hef_cha_archmage_beasts_2
wh2_dlc15_lore_beasts_eagle	wh2_dlc15_hef_cha_archmage_beasts_3
wh2_dlc15_lore_beasts_eagle	wh2_dlc15_hef_cha_archmage_beasts_4
wh2_dlc15_lore_beasts_eagle	wh2_dlc15_hef_cha_mage_beasts_0
wh2_dlc15_lore_beasts_eagle	wh2_dlc15_hef_cha_mage_beasts_1
wh2_dlc15_lore_beasts_eagle	wh2_dlc15_hef_cha_mage_beasts_2
wh2_dlc15_lore_beasts_eagle	wh2_dlc16_wef_cha_spellweaver_beasts_0
wh2_dlc15_lore_beasts_eagle	wh2_dlc16_wef_cha_spellweaver_beasts_1
wh2_dlc15_lore_beasts_eagle	wh2_dlc16_wef_cha_spellweaver_beasts_2
wh2_dlc15_lore_beasts_eagle	wh2_dlc16_wef_cha_spellweaver_beasts_3
wh2_dlc15_lore_beasts_eagle	wh_dlc05_wef_cha_spellsinger_beasts_0
wh2_dlc15_lore_beasts_eagle	wh_dlc05_wef_cha_spellsinger_beasts_1
wh2_dlc15_lore_beasts_eagle	wh_dlc05_wef_cha_spellsinger_beasts_2
wh2_dlc15_lore_beasts_eagle	wh_dlc05_wef_cha_spellsinger_beasts_3
wh2_dlc16_lore_ariel	wh2_dlc16_wef_cha_ariel_0
wh2_dlc16_lore_coeddil	wh2_dlc16_wef_cha_ancient_treeman_coeddil_0
wh2_dlc16_lore_spellweaver_dark	wh2_dlc16_wef_cha_spellweaver_dark_0
wh2_dlc16_lore_spellweaver_dark	wh2_dlc16_wef_cha_spellweaver_dark_1
wh2_dlc16_lore_spellweaver_dark	wh2_dlc16_wef_cha_spellweaver_dark_2
wh2_dlc16_lore_spellweaver_dark	wh2_dlc16_wef_cha_spellweaver_dark_3
wh2_dlc16_lore_spellweaver_high	wh2_dlc16_wef_cha_spellweaver_high_0
wh2_dlc16_lore_spellweaver_high	wh2_dlc16_wef_cha_spellweaver_high_1
wh2_dlc16_lore_spellweaver_high	wh2_dlc16_wef_cha_spellweaver_high_2
wh2_dlc16_lore_spellweaver_high	wh2_dlc16_wef_cha_spellweaver_high_3
wh2_dlc17_lore_malagor	wh_dlc03_bst_cha_malagor_the_dark_omen_0
wh2_dlc17_lore_oracle	wh2_dlc17_lzd_cha_skink_oracle_troglodon_0
wh2_dlc17_lore_rune	wh2_dlc17_dwf_cha_thorek_ironbrow_0
wh2_dlc17_lore_rune	wh2_dlc17_dwf_cha_thorek_ironbrow_1
wh2_dlc17_lore_rune	wh_dlc06_dwf_cha_runelord_0
wh2_dlc17_lore_rune	wh_dlc06_dwf_cha_runelord_1
wh2_dlc17_lore_rune	wh_dlc06_dwf_cha_runesmith_ghost_0
wh2_dlc17_lore_rune	wh_main_dwf_cha_rune_smith_0
wh2_main_lore_dark_magic	wh2_dlc10_def_cha_supreme_sorceress_dark_0
wh2_main_lore_dark_magic	wh2_dlc10_def_cha_supreme_sorceress_dark_1
wh2_main_lore_dark_magic	wh2_dlc10_def_cha_supreme_sorceress_dark_2
wh2_main_lore_dark_magic	wh2_dlc10_def_cha_supreme_sorceress_dark_3
wh2_main_lore_dark_magic	wh2_dlc10_def_cha_supreme_sorceress_dark_4
wh2_main_lore_dark_magic	wh2_dlc10_def_cha_supreme_sorceress_dark_5
wh2_main_lore_dark_magic	wh2_main_def_cha_malekith_0
wh2_main_lore_dark_magic	wh2_main_def_cha_malekith_1
wh2_main_lore_dark_magic	wh2_main_def_cha_malekith_2
wh2_main_lore_dark_magic	wh2_main_def_cha_malekith_3
wh2_main_lore_dark_magic	wh2_main_def_cha_sorceress_dark_0
wh2_main_lore_dark_magic	wh2_main_def_cha_sorceress_dark_1
wh2_main_lore_dark_magic	wh2_main_def_cha_sorceress_dark_2
wh2_main_lore_dark_magic	wh2_main_def_cha_sorceress_dark_3
wh2_main_lore_grey_seer_plague	wh2_main_skv_cha_grey_seer_plague_0
wh2_main_lore_grey_seer_plague	wh2_main_skv_cha_grey_seer_plague_1
wh2_main_lore_grey_seer_ruin	wh2_main_skv_cha_grey_seer_ruin_0
wh2_main_lore_grey_seer_ruin	wh2_main_skv_cha_grey_seer_ruin_1
wh2_main_lore_high_magic	wh2_dlc15_hef_cha_archmage_high_0
wh2_main_lore_high_magic	wh2_dlc15_hef_cha_archmage_high_1
wh2_main_lore_high_magic	wh2_dlc15_hef_cha_archmage_high_2
wh2_main_lore_high_magic	wh2_dlc15_hef_cha_archmage_high_3
wh2_main_lore_high_magic	wh2_dlc15_hef_cha_archmage_high_4
wh2_main_lore_high_magic	wh2_dlc15_hef_cha_eltharion_the_grim_0
wh2_main_lore_high_magic	wh2_dlc15_hef_cha_eltharion_the_grim_1
wh2_main_lore_high_magic	wh2_dlc15_hef_cha_eltharion_the_grim_2
wh2_main_lore_high_magic	wh2_main_hef_cha_mage_high_0
wh2_main_lore_high_magic	wh2_main_hef_cha_mage_high_1
wh2_main_lore_high_magic	wh2_main_hef_cha_mage_high_4
wh2_main_lore_high_magic	wh2_main_lzd_cha_slann_mage_priest_high_0
wh2_main_lore_loremaster	wh2_main_hef_cha_loremaster_of_hoeth_0
wh2_main_lore_morathi	wh2_main_def_cha_morathi_0
wh2_main_lore_morathi	wh2_main_def_cha_morathi_1
wh2_main_lore_plague	wh2_main_skv_cha_lord_skrolk
wh2_main_lore_plague	wh2_main_skv_cha_plague_priest_0
wh2_main_lore_plague	wh2_main_skv_cha_plague_priest_2
wh2_main_lore_ruin	wh2_dlc12_skv_cha_ikit_claw_0
wh2_main_lore_ruin	wh2_dlc12_skv_cha_ikit_claw_1
wh2_main_lore_ruin	wh2_dlc12_skv_cha_ikit_claw_2
wh2_main_lore_ruin	wh2_dlc12_skv_cha_warlock_master_0
wh2_main_lore_ruin	wh2_dlc12_skv_cha_warlock_master_1
wh2_main_lore_ruin	wh2_dlc12_skv_cha_warlock_master_2
wh2_main_lore_ruin	wh2_main_skv_cha_warlock_engineer
wh2_main_lore_skink_priest_avatar	wh2_main_lzd_cha_skink_priest_0_summoned
wh2_main_lore_slann_generic	wh2_main_lzd_cha_slann_mage_priest_campaign_0
wh2_main_lore_slann	wh2_main_lzd_cha_lord_mazdamundi_0
wh2_main_lore_slann	wh2_main_lzd_cha_lord_mazdamundi_1
wh2_main_lore_teclis	wh2_dlc15_hef_cha_teclis_2
wh2_main_lore_teclis	wh2_main_hef_cha_teclis_0
wh2_main_lore_teclis	wh2_main_hef_cha_teclis_1
wh3_dlc20_lore_archaon	wh_main_chs_cha_archaon_the_everchosen_0
wh3_dlc20_lore_archaon	wh_main_chs_cha_archaon_the_everchosen_1
wh3_dlc20_lore_daemon_prince_mnur	wh3_dlc20_chs_cha_daemon_prince_mnur
wh3_dlc20_lore_daemon_prince_msla	wh3_dlc20_chs_cha_daemon_prince_msla
wh3_dlc20_lore_daemon_prince_mtze	wh3_dlc20_chs_cha_daemon_prince_mtze
wh3_dlc23_lore_astragoth	wh3_dlc23_chd_cha_astragoth_ironhand
wh3_dlc23_lore_hashut	wh3_dlc23_chd_cha_daemonsmith_sorcerer_hashut
wh3_dlc23_lore_hashut	wh3_dlc23_chd_cha_daemonsmith_sorcerer_hashut_bale_taurus
wh3_dlc23_lore_hashut	wh3_dlc23_chd_cha_daemonsmith_sorcerer_hashut_great_taurus
wh3_dlc23_lore_hashut	wh3_dlc23_chd_cha_daemonsmith_sorcerer_hashut_lammasu
wh3_dlc23_lore_hashut	wh3_dlc23_chd_cha_drazhoath_the_ashen
wh3_dlc23_lore_hashut	wh3_dlc23_chd_cha_drazhoath_the_ashen_bale_taurus_cinderbreath
wh3_dlc23_lore_hashut	wh3_dlc23_chd_cha_sorcerer_prophet_hashut
wh3_dlc23_lore_hashut	wh3_dlc23_chd_cha_sorcerer_prophet_hashut_bale_taurus
wh3_dlc23_lore_hashut	wh3_dlc23_chd_cha_sorcerer_prophet_hashut_great_taurus
wh3_dlc23_lore_hashut	wh3_dlc23_chd_cha_sorcerer_prophet_hashut_lammasu
