ai_ability_usage_template_key	factor_bias
#battle_ai_abilities_usage_template_names_tables;1;db/battle_ai_abilities_usage_template_names_tables/data__	
always_use_only_land	1.0000
ammo_replenish	1.0000
aoe	1.0000
aoe_ap	1.0000
aoe_bombardment	1.0000
aoe_centred_on_self	1.0000
artillery_opportunity	1.0000
assault_opportunity	1.0000
augment_charge	1.0000
augment_charge_self	1.0000
augment_charged_at	1.0000
augment_charged_at_area	1.0000
augment_defense_melee	1.0000
augment_defense_melee_area	1.0000
augment_defense_ranged	1.0000
augment_defense_ranged_area	1.0000
augment_flying	1.0000
augment_flying_area	1.0000
augment_melee	1.0000
augment_melee_area	1.0000
augment_melee_healing	1.0000
augment_melee_healing_single_use	1.0000
augment_melee_morale	1.0000
augment_melee_morale_area	1.0000
augment_melee_self	1.0000
augment_morale	1.0000
augment_morale_area	1.0000
augment_morale_self_area	1.0000
augment_ranged	1.0000
augment_ranged_area	1.0000
augment_self_area	1.0000
augment_spellcasting	1.0000
being_charged	1.0000
direct_damage_multi_entity	1.0000
direct_damage_multi_entity_area	1.0000
direct_damage_single_entity	1.0000
direct_damage_single_entity_area	1.0000
flanking_opportunity	1.0000
full_hide	1.0000
healing	1.0000
healing_area	1.0000
healing_single_use	1.0000
hex_armour	1.0000
hex_armour_area	1.0000
hex_flying	1.0000
hex_flying_area	1.0000
hex_hiding_area	1.0000
hex_melee	1.0000
hex_melee_area	1.0000
hex_melee_area_self	1.0000
hex_morale	1.0000
hex_morale_area	1.0000
hex_ranged	1.0000
hex_ranged_area	1.0000
hex_ranged_melee_area	1.0000
hex_ranged_summon	1.0000
hex_speed	1.0000
hex_speed_area	1.0000
hex_speed_charging_at	1.0000
hex_speed_under_fire	1.0000
hex_spellcaster	1.0000
hex_spellcasting	1.0000
power_of_darkness	1.0000
projectile_explosive	1.0000
projectile_explosive_ap	1.0000
projectile_homing	1.0000
projectile_large	1.0000
projectile_large_explosive	1.0000
projectile_low_power	1.0000
projectile_low_power_explosive	1.0000
projectile_single	1.0000
projectile_single_ap	1.0000
qb_master_of_souls	1.0000
threatened	1.0000
tzarkan	1.0000
upgrade_armour	1.0000
upgrade_missiles	1.0000
upgrade_shields	1.0000
upgrade_weapons	1.0000
vortex	1.0000
vortex_ap	1.0000
vortex_breath	1.0000
vortex_breath_ap	1.0000
vortex_flying_only	1.0000
vortex_low_morale	1.0000
vortex_wind	1.0000
vortex_wind_ap	1.0000
