key	modifier
#unit_experience_threshold_modifiers_tables;0;db/unit_experience_threshold_modifiers_tables/data__	
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	0.7500
wh2_dlc12_lzd_cav_ripperdactyl_riders_0_blessed	0.7500
wh2_dlc12_lzd_cav_terradon_riders_0_tlaqua	0.7500
wh2_dlc12_lzd_cav_terradon_riders_1_tlaqua	0.7500
wh2_dlc12_lzd_inf_skink_red_crested_0	0.7500
wh2_dlc17_lzd_inf_chameleon_stalkers_0	0.7500
wh2_dlc17_lzd_inf_chameleon_stalkers_0_blessed	0.7500
wh2_main_lzd_cav_terradon_riders_0	0.7500
wh2_main_lzd_cav_terradon_riders_0_blessed	0.7500
wh2_main_lzd_cav_terradon_riders_1	0.7500
wh2_main_lzd_cav_terradon_riders_blessed_1	0.7500
wh2_main_lzd_inf_chameleon_skinks_0	0.7500
wh2_main_lzd_inf_chameleon_skinks_blessed_0	0.7500
wh2_main_lzd_inf_skink_cohort_0	0.7500
wh2_main_lzd_inf_skink_cohort_1	0.7500
wh2_main_lzd_inf_skink_cohort_1_blessed	0.7500
wh2_main_lzd_inf_skink_skirmishers_0	0.7500
wh2_main_lzd_inf_skink_skirmishers_blessed_0	0.7500
