priority	tms_task_generator_profile_key	default_task_generator_group
#cai_personalities_tms_task_generator_profiles_overrides_tables;0;db/cai_personalities_tms_task_generator_profiles_overrides_tables/data__		
2	wh3_combi_tms_generator_profiles_bretonnia	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_bretonnia_alberic	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_bretonnia_fayenchantress	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_bretonnia_louen	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_bretonnia_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_bretonnia_repanse	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_cathay	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_cathay_miao_ying	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_cathay_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_cathay_zhao_ming	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_chaos_dwarf	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_chaos_dwarf_astragoth	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_chaos_dwarf_drazhoath	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_chaos_dwarf_minor	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_chaos_dwarf_zhatan	wh3_tms_generator_group_regionless
2	wh3_combi_tms_generator_profiles_chaos_settled	wh3_tms_generator_group_regionless_chaos
2	wh3_combi_tms_generator_profiles_chaos_settled_archaon	wh3_tms_generator_group_regionless_chaos
2	wh3_combi_tms_generator_profiles_chaos_settled_azazel	wh3_tms_generator_group_regionless_chaos
2	wh3_combi_tms_generator_profiles_chaos_settled_belakor	wh3_tms_generator_group_regionless_chaos
2	wh3_combi_tms_generator_profiles_chaos_settled_festus	wh3_tms_generator_group_regionless_chaos
2	wh3_combi_tms_generator_profiles_chaos_settled_kholek	wh3_tms_generator_group_regionless_chaos
2	wh3_combi_tms_generator_profiles_chaos_settled_minor	wh3_tms_generator_group_regionless_chaos
2	wh3_combi_tms_generator_profiles_chaos_settled_sigvald	wh3_tms_generator_group_regionless_chaos
2	wh3_combi_tms_generator_profiles_chaos_settled_valkia	wh3_tms_generator_group_regionless_chaos
