unit_attribute	hidden	order	collection
#attribute_to_ui_collection_junctions_tables;0;db/attribute_to_ui_collection_junctions_tables/data__			
causes_fear	false	1	wh3_ability_collection_terror
causes_terror	false	0	wh3_ability_collection_terror
construct	false	0	wh_ability_collection_construct
daemonic	false	0	wh3_ability_collection_daemonic
elemental	false	0	wh_ability_collection_elemental
kroxigor	false	0	wh_ability_collection_spawn_kin_kroxigor
peasant	false	0	wh_ability_collection_peasant
skink	false	0	wh_ability_collection_spawn_kin_skink
undead	false	0	wh_ability_collection_undead
