key	distance	fov	phi	theta	target_x	target_y	target_z	environment_file
#unit_porthole_camera_settings_tables;2;db/unit_porthole_camera_settings_tables/data__								
bret_fay_enchantress	1.0000	28.0000	180.0000	200.0000	-0.1000	1.4800	0.0000	Porthole/advisor/default_porthole.lighting
bst_centigor_40_degrees	3.5000	28.0000	-5.0000	0.0000	0.0000	2.0000	0.0000	Porthole/advisor/default_porthole.lighting
bst_cygor	6.0000	28.0000	210.0000	190.0000	-1.2000	8.2000	0.0000	Porthole/advisor/default_porthole.lighting
bst_doombull	2.6000	28.0000	190.0000	195.0000	-0.1700	2.6000	0.0000	Porthole/advisor/default_porthole.lighting
bst_general	0.9000	28.0000	190.0000	195.0000	-0.0600	1.7500	0.0000	Porthole/advisor/default_porthole.lighting
bst_ghorgon	7.0000	28.0000	210.0000	190.0000	-0.6000	7.0000	0.0000	Porthole/advisor/default_porthole.lighting
bst_gor_15	0.9000	28.0000	180.0000	195.0000	-0.0600	1.7000	0.0000	Porthole/advisor/default_porthole.lighting
bst_gor_30	0.9200	28.0000	180.0000	210.0000	-0.1300	1.7000	0.0000	Porthole/advisor/default_porthole.lighting
bst_gorebull	3.5000	28.0000	180.0000	180.0000	0.0000	2.0000	0.0000	Porthole/advisor/default_porthole.lighting
bst_jabberslythe	7.7000	28.0000	170.0000	190.0000	-0.2000	3.6000	0.0000	Porthole/advisor/default_porthole.lighting
bst_manticore	5.4000	28.0000	170.0000	190.0000	-0.5000	0.6000	0.0000	Porthole/advisor/default_porthole.lighting
bst_minotaur_15	2.7000	28.0000	190.0000	195.0000	-0.1500	2.5000	0.0000	Porthole/advisor/default_porthole.lighting
bst_morghur	0.9000	28.0000	180.0000	200.0000	-0.1000	1.7000	0.0000	Porthole/advisor/default_porthole.lighting
bst_razorgor_herd	3.5000	28.0000	190.0000	210.0000	-0.9000	1.1000	0.0000	Porthole/advisor/default_porthole.lighting
bst_taurox	1.9000	28.0000	190.0000	195.0000	-0.1700	2.6000	0.0000	Porthole/advisor/default_porthole.lighting
bst_ungor_15	0.8000	28.0000	180.0000	195.0000	-0.0500	1.3800	0.0000	Porthole/advisor/default_porthole.lighting
chaos_chariot	8.0000	28.0000	150.0000	230.0000	0.0000	1.0000	0.0000	Porthole/advisor/default_porthole.lighting
chaos_dragon_ogre	3.3000	28.0000	190.0000	200.0000	-0.5000	3.7000	0.0000	Porthole/advisor/default_porthole.lighting
chaos_gorebeast_chariot	8.0000	28.0000	150.0000	230.0000	0.0000	1.0000	0.0000	Porthole/advisor/default_porthole.lighting
chaos_kholek_suneater	3.5000	28.0000	190.0000	200.0000	-0.5200	3.7200	0.0000	Porthole/advisor/default_porthole.lighting
chaos_lord	1.7000	28.0000	180.0000	210.0000	0.0000	1.5700	0.0000	Porthole/advisor/default_porthole.lighting
chaos_spawn	5.5000	28.0000	190.0000	200.0000	-0.4000	2.7000	0.0000	Porthole/advisor/default_porthole.lighting
chaos_warrior_15_degrees	1.0000	28.0000	180.0000	195.0000	0.1000	1.6000	0.0000	Porthole/advisor/default_porthole.lighting
chaos_warrior_30_degrees	1.2000	28.0000	175.0000	210.0000	0.0500	1.5800	0.0000	Porthole/advisor/default_porthole.lighting
chaos_warrior_45_degrees	1.0000	28.0000	180.0000	225.0000	0.0500	1.6000	0.0000	Porthole/advisor/default_porthole.lighting
chaos_warrior_hellscourges	1.3000	28.0000	180.0000	200.0000	0.0400	1.6000	0.0000	Porthole/advisor/default_porthole.lighting
chd_bale_taurus	5.4000	28.0000	170.0000	190.0000	-0.1000	1.5000	1.0000	Porthole/advisor/default_porthole.lighting
chd_deathshrieker	13.0000	28.0000	160.0000	215.0000	-1.1000	1.7000	-0.9000	Porthole/advisor/default_porthole.lighting
chd_iron_daemon	10.0000	28.0000	175.0000	197.0000	0.0000	2.0000	0.0000	Porthole/advisor/default_porthole.lighting
chd_kdaai_destroyer	2.5000	28.0000	180.0000	180.0000	0.0000	6.0000	30.0000	Porthole/advisor/default_porthole.lighting
chd_kdaai_fireborn	4.0000	28.0000	180.0000	200.0000	0.0000	1.5000	0.0000	Porthole/advisor/default_porthole.lighting
chd_skullcracker	13.0000	28.0000	160.0000	200.0000	-0.2000	2.5000	1.0000	Porthole/advisor/default_porthole.lighting
chs_archaon	1.2000	28.0000	190.0000	195.0000	0.0000	1.6800	0.0000	Porthole/advisor/default_porthole.lighting
chs_azazel	1.1000	28.0000	190.0000	195.0000	-0.0300	1.7000	0.0000	Porthole/advisor/default_porthole.lighting
chs_cavalry	4.2000	28.0000	200.0000	200.0000	-0.4500	2.3000	0.0000	Porthole/advisor/default_porthole.lighting
chs_festus	2.6000	28.0000	190.0000	185.0000	-0.1000	2.3600	0.0000	Porthole/advisor/default_porthole.lighting
chs_lord_of_change	3.5000	28.0000	180.0000	200.0000	-0.7500	3.1500	0.0000	Porthole/advisor/default_porthole.lighting
