key	cast_time	completion_payload	cooldown_time	category	slave_cost	global_cooldown_time	start_payload	icon	failure_cooldown_time	required_resources	expended_resources	target	target_expended_resources	target_required_resources	target_cooldown	target_category_cooldown	effects_while_performing	custom_cost_id	on_trigger_vo_event	flags	self_payload	percentage_cost_increase_per_use	sort_order
#rituals_tables;2;db/rituals_tables/data__																							
wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	0	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra				0	0				default		0.0000	0
wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	0	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi				0	0				default		0.0000	0
wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	0	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations				0	0				default		0.0000	0
wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	0	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll				0	0				default		0.0000	0
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	0	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching				0	0				default		0.0000	0
wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	0	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	0	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding				0	0				default		0.0000	0
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	0	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	0	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn				0	0				default		0.0000	0
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	0	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	0	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity				0	0				default		0.0000	0
wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	0	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	0	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages				0	0				default		0.0000	0
wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	0	wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	0	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar				0	0				default		0.0000	0
wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	0	wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	0	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes				0	0				default		0.0000	0
wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	0	wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	9999	CRAFTING_RITUAL	0	0			0		wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour				0	0				default		0.0000	0
