id	animation_table	engine	rider	shots_per_volley_override
#unit_component_animation_table_junctions_tables;1;db/unit_component_animation_table_junctions_tables/data__				
109836653	wm_helstorm01	wh_main_emp_art_great_cannon		-1
1111108839	wm_helstorm01_extrafirepos1	wh_main_emp_art_helstorm_rocket_battery		4
1457331144	wm_helstorm01_extrafirepos3	wh3_dlc25_emp_art_deathstorm_battery		6
1716248604	wm_helstorm01_extrafirepos3	wh_main_emp_art_helstorm_rocket_battery		6
1930019783	wm_helstorm01_extrafirepos1	wh3_dlc25_emp_art_deathstorm_battery		4
1981777632	wm_helstorm01_extrafirepos2	wh3_dlc25_emp_art_deathstorm_battery		5
270639548	wm_helstorm01_extrafirepos2	wh_main_emp_art_helstorm_rocket_battery		5
437514086	wm_helstorm01_sunmaker_extrafirepos1	wh_dlc04_emp_art_sunmaker_0		10
589474052	wm_helstorm01_sunmaker_extrafirepos3	wh_dlc04_emp_art_sunmaker_0		12
997880302	wm_helstorm01_sunmaker_extrafirepos2	wh_dlc04_emp_art_sunmaker_0		11
