hex_id	category	unit_purchasable_effect	tier
#ui_purchasable_effects_to_hex_ids_tables;2;db/ui_purchasable_effects_to_hex_ids_tables/data__			
10	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_9	RARE
10	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_9	RARE
11	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_10	RARE
11	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_10	RARE
12	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_11	RARE
12	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_11	RARE
13	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_12	RARE
13	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_12	RARE
14	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_13	RARE
14	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_13	RARE
15	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_14	RARE
15	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_14	RARE
16	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_15	EPIC
16	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_15	EPIC
17	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_16	EPIC
17	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_16	EPIC
18	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_17	EPIC
18	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_17	EPIC
1	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_0	COMMON
1	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_0	COMMON
2	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_1	COMMON
2	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_1	COMMON
3	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_2	COMMON
3	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_2	COMMON
4	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_3	COMMON
4	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_3	COMMON
5	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_4	COMMON
5	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_4	COMMON
6	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_5	COMMON
6	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_5	COMMON
7	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_6	COMMON
7	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_6	COMMON
8	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_7	COMMON
8	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_7	COMMON
9	INFANTRY	wh2_dlc16_throt_flesh_lab_inf_aug_8	RARE
9	MONSTERS	wh2_dlc16_throt_flesh_lab_mon_aug_8	RARE
