culture_key	faction_key	ministerial_position_key	subculture_key	unique_id	localised_string_key	x_coordinate	y_coordinate	localised_description_key
#ministerial_positions_culture_details_tables;6;db/ministerial_positions_culture_details_tables/data__								
wh2_dlc09_tmb_tomb_kings		faction_leader		1750340874	placeholder	0.0000	0.0000	placeholder
wh2_dlc11_cst_vampire_coast		faction_leader		311208869	wh2_dlc11_minister_cst_fleet_admiral	0.0000	0.0000	wh2_dlc11_minister_cst_fleet_admiral_description
	wh2_dlc16_wef_drycha	faction_leader		815608092	wh2_dlc16_minister_string_wef_drycha	0.0000	0.0000	wh2_dlc16_minister_string_wef_drycha_desc
	wh2_dlc16_wef_sisters_of_twilight	faction_leader		1125098657	wh2_dlc16_minister_string_wef_sisters	-0.7500	0.0000	wh2_dlc16_minister_string_wef_sisters_desc
	wh2_dlc16_wef_wood_elves_qb4	faction_leader		302407724	placeholder	0.0000	0.0000	placeholder
	wh2_dlc16_wef_wood_elves_qb5	faction_leader		208250674	placeholder	0.0000	0.0000	placeholder
	wh2_dlc16_wef_wood_elves_qb6	faction_leader		1135151393	placeholder	0.0000	0.0000	placeholder
	wh2_dlc16_wef_wood_elves_qb7	faction_leader		1195491398	placeholder	0.0000	0.0000	placeholder
wh2_main_def_dark_elves		faction_leader		1470	placeholder	0.0000	0.0000	placeholder
wh2_main_hef_high_elves		faction_leader		1947	placeholder	0.0000	0.0000	placeholder
wh2_main_lzd_lizardmen		faction_leader		1491	placeholder	0.0000	0.0000	placeholder
wh2_main_rogue		faction_leader		2129481498	placeholder	0.0000	0.0000	placeholder
wh2_main_skv_skaven		faction_leader		1923	placeholder	0.0000	0.0000	placeholder
	wh2_main_wef_bowmen_of_oreon	faction_leader		1855	placeholder	0.0000	0.0000	placeholder
	wh3_dlc21_wef_spirits_of_shanlin	faction_leader		1023647707	placeholder	0.0000	0.0000	placeholder
wh3_main_cth_cathay		faction_leader		1663349547	placeholder	0.0000	0.0000	placeholder
wh3_main_dae_daemons		faction_leader		551335673	placeholder	0.0000	0.0000	placeholder
wh3_main_kho_khorne		faction_leader		423690514	placeholder	0.0000	0.0000	placeholder
wh3_main_ksl_kislev		faction_leader		2122237356	placeholder	0.0000	0.0000	placeholder
wh3_main_nur_nurgle		faction_leader		1957231087	placeholder	0.0000	0.0000	placeholder
wh3_main_ogr_ogre_kingdoms		faction_leader		964995120	placeholder	0.0000	0.0000	placeholder
wh3_main_pro_ksl_kislev		faction_leader		818193804	placeholder	0.0000	0.0000	placeholder
wh3_main_sla_slaanesh		faction_leader		603059533	placeholder	0.0000	0.0000	placeholder
wh3_main_tze_tzeentch		faction_leader		863404395	placeholder	0.0000	0.0000	placeholder
	wh3_main_wef_laurelorn	faction_leader		385825732	placeholder	0.0000	0.0000	placeholder
wh_dlc03_bst_beastmen		faction_leader		719	placeholder	0.0000	0.0000	placeholder
	wh_dlc05_wef_argwylon	faction_leader		1582	wh_dlc05_minister_string_wef_faction_leader_durthu	0.0000	0.0000	wh_dlc05_minister_string_wef_faction_leader_durthu_desc
	wh_dlc05_wef_torgovann	faction_leader		1594	placeholder	0.0000	0.0000	placeholder
	wh_dlc05_wef_wood_elves	faction_leader		1575	wh_dlc05_minister_string_wef_faction_leader	0.0000	0.0000	wh_dlc05_minister_string_wef_faction_leader_desc
	wh_dlc05_wef_wood_elves_qb1	faction_leader		1598	placeholder	0.0000	0.0000	placeholder
	wh_dlc05_wef_wood_elves_qb2	faction_leader		1603	placeholder	0.0000	0.0000	placeholder
	wh_dlc05_wef_wood_elves_qb3	faction_leader		1612	placeholder	0.0000	0.0000	placeholder
	wh_dlc05_wef_wood_elves_rebels	faction_leader		1613	placeholder	0.0000	0.0000	placeholder
	wh_dlc05_wef_wydrioth	faction_leader		1591	placeholder	0.0000	0.0000	placeholder
wh_dlc08_nor_norsca		faction_leader		34597405	placeholder	0.0000	0.0000	placeholder
wh_main_brt_bretonnia		faction_leader		1815	placeholder	0.0000	0.0000	placeholder
wh_main_chs_chaos		faction_leader		1954	placeholder	0.0000	0.0000	placeholder
wh_main_dwf_dwarfs		faction_leader		1757	placeholder	0.0000	0.0000	placeholder
wh_main_emp_empire		faction_leader		1955	wh_main_minister_string_emp_faction_leader_empire	0.0000	0.0000	wh_main_minister_string_emp_faction_leader_empire_description
wh_main_grn_greenskins		faction_leader		1761	placeholder	0.0000	0.0000	placeholder
wh_main_vmp_vampire_counts		faction_leader		1813	placeholder	0.0000	0.0000	placeholder
wh2_dlc11_cst_vampire_coast		wh2_dlc11_minister_cst_fleet_beast_master		650872928	wh2_dlc11_minister_cst_beast_master	0.7500	1.4000	wh2_dlc11_minister_cst_beast_master_description
wh2_dlc11_cst_vampire_coast		wh2_dlc11_minister_cst_fleet_enforcement_admiral		127098114	wh2_dlc11_minister_cst_first_mate	1.0000	0.2500	wh2_dlc11_minister_cst_first_mate_description
wh2_dlc11_cst_vampire_coast		wh2_dlc11_minister_cst_fleet_engineer		1057112273	wh2_dlc11_minister_cst_boatswain	-0.7500	1.4000	wh2_dlc11_minister_cst_boatswain_description
wh2_dlc11_cst_vampire_coast		wh2_dlc11_minister_cst_fleet_gunnery_master		1280853867	wh2_dlc11_minister_cst_gunnery_chieftain	2.2500	1.4000	wh2_dlc11_minister_cst_gunnery_chieftain_description
wh2_dlc11_cst_vampire_coast		wh2_dlc11_minister_cst_fleet_sailing_admiral		1063085690	wh2_dlc11_minister_cst_sailing_master	-2.4000	0.3500	wh2_dlc11_minister_cst_sailing_master_description
wh2_dlc11_cst_vampire_coast		wh2_dlc11_minister_cst_fleet_secretary		823114561	wh2_dlc11_minister_cst_quartermaster	-1.0000	0.2500	wh2_dlc11_minister_cst_quartermaster_description
wh2_dlc11_cst_vampire_coast		wh2_dlc11_minister_cst_fleet_treasurer		1501115065	wh2_dlc11_minister_cst_log_keeper	-2.2500	1.4000	wh2_dlc11_minister_cst_log_keeper_description
wh2_dlc11_cst_vampire_coast		wh2_dlc11_minister_cst_fleet_warrant_admiral		1256603060	wh2_dlc11_minister_cst_deck_sargent	2.4000	0.3500	wh2_dlc11_minister_cst_deck_sargent_description
	wh2_dlc16_wef_drycha	wh2_dlc16_minister_wef_drycha_speaker_embittered		1087664670	wh2_dlc16_minister_string_wef_speaker_embittered	-0.7500	1.4000	wh2_dlc16_minister_string_wef_speaker_embittered_desc
	wh2_dlc16_wef_drycha	wh2_dlc16_minister_wef_drycha_speaker_forgotten		2112778693	wh2_dlc16_minister_string_wef_speaker_forgotten	2.2500	0.7000	wh2_dlc16_minister_string_wef_speaker_forgotten_desc
	wh2_dlc16_wef_drycha	wh2_dlc16_minister_wef_drycha_speaker_lost		2034393848	wh2_dlc16_minister_string_wef_speaker_lost	-2.2500	0.7000	wh2_dlc16_minister_string_wef_speaker_lost_desc
	wh2_dlc16_wef_drycha	wh2_dlc16_minister_wef_drycha_speaker_wild		170331937	wh2_dlc16_minister_string_wef_speaker_wild	0.7500	1.4000	wh2_dlc16_minister_string_wef_speaker_wild_desc
	wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_minister_wef_sisters_consort_to_the_queen		1995061860	wh2_dlc16_minister_string_wef_consort_to_the_queen	0.7500	0.0000	wh2_dlc16_minister_string_wef_consort_to_the_queen_desc
	wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_minister_wef_sisters_darkweaver		939722207	wh2_dlc16_minister_string_wef_darkweaver	2.0000	0.3500	wh2_dlc16_minister_string_wef_darkweaver_desc
	wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_minister_wef_sisters_highweaver		1161059695	wh2_dlc16_minister_string_wef_highweaver	-2.0000	0.3500	wh2_dlc16_minister_string_wef_highweaver_desc
	wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_minister_wef_sisters_isha		2088208377	wh2_dlc16_minister_string_wef_priestess_isha	-1.5000	1.4000	wh2_dlc16_minister_string_wef_priestess_isha_desc
	wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_minister_wef_sisters_kurnous		1132259702	wh2_dlc16_minister_string_wef_priestess_kurnous	0.0000	1.4000	wh2_dlc16_minister_string_wef_priestess_kurnous_desc
	wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_minister_wef_sisters_loec		1851368800	wh2_dlc16_minister_string_wef_priestess_loec	1.5000	1.4000	wh2_dlc16_minister_string_wef_priestess_loec_desc
wh_main_emp_empire		wh2_main_minister_emp_averland		822344976	wh2_main_minister_emp_averland	0.7500	1.4000	placeholder
wh_main_emp_empire		wh2_main_minister_emp_hochland		1462799703	wh2_main_minister_emp_hochland	1.0000	0.2500	placeholder
wh_main_emp_empire		wh2_main_minister_emp_middenland		2137467911	wh2_main_minister_emp_middenland	-0.7500	1.4000	placeholder
wh_main_emp_empire		wh2_main_minister_emp_nordland		127401266	wh2_main_minister_emp_nordland	2.2500	1.4000	placeholder
wh_main_emp_empire		wh2_main_minister_emp_ostermark		740771974	wh2_main_minister_emp_ostermark	-2.4000	0.3500	placeholder
wh_main_emp_empire		wh2_main_minister_emp_ostland		1660463604	wh2_main_minister_emp_ostland	-1.0000	0.2500	placeholder
wh_main_emp_empire		wh2_main_minister_emp_reikland		1984898780	wh2_main_minister_emp_reikland	-2.2500	1.4000	placeholder
wh_main_emp_empire		wh2_main_minister_emp_solland		1373783748	wh2_main_minister_emp_solland	2.4000	0.3500	placeholder
wh_main_emp_empire		wh2_main_minister_emp_stirland		1965627541	wh2_main_minister_emp_stirland	0.3000	0.3000	placeholder
