key	value
#_kv_ui_tweakers_tables;0;db/_kv_ui_tweakers_tables/data__	
battle_camera_depth_of_field_focal_cross_size	5.0000
battle_camera_depth_of_field_focal_ring_count	16.0000
battle_camera_depth_of_field_focal_ring_radius	0.1500
battle_camera_depth_of_field_focal_target_height	0.5000
battle_capture_point_spline_wall_height	15.0000
battle_executable_warning_extra_range	40.0000
battle_harmony_decal_offset_x	0.2250
battle_harmony_decal_offset_y	0.0500
battle_harmony_decal_scale_x	0.2000
battle_harmony_decal_scale_y	0.2000
battle_highlight_outline_opacity	0.5000
battle_id_base_size	0.6000
battle_id_bob_height	0.5000
battle_id_bob_speed	0.8000
battle_id_fade_duration_ms	400.0000
battle_id_fade_end	8.0000
battle_id_fade_start	12.0000
battle_id_forest_height_offset	0.0000
battle_id_height	0.0000
battle_id_highlight_unary_mouseover	0.2000
battle_id_highlight_unary_selected	0.6000
battle_id_max_size	3.2000
battle_id_scale_weight	0.0150
battle_leaf_clip_proximity	600.0000
battle_nearly_executable_warning_health_percent	0.1500
battle_trial_bronze_tier	15000.0000
battle_trial_gold_tier	50000.0000
battle_trial_platinum_tier	100000.0000
battle_trial_silver_tier	30000.0000
building_damage_multiplier_high_threshold	1.5000
building_damage_multiplier_medium_threshold	1.0000
building_damage_multiplier_very_high_threshold	2.0000
campaign_agent_id_height	0.5000
campaign_battle_site_marker_height	2.0000
campaign_bop_bar_unlock_force_known_percentage	0.1000
campaign_camera_zoom_mission_offset	5.0000
campaign_camera_zoom_offset	15.0000
campaign_citybar_fade_end	64.0000
campaign_citybar_fade_start	42.0000
campaign_citybar_height	1.0000
campaign_flag_fade_duration_ms	200.0000
campaign_flag_fade_start	4.0000
campaign_flag_scale_end_distance	2.0000
campaign_flag_scale_min	0.6000
campaign_flag_scale_start_distance	30.0000
campaign_flag_settlement_height	1.0000
campaign_outline_blur_scale	0.0000
campaign_porthole_fullbody_cam_dist	1.0000
campaign_tooltip_delay_ms	300.0000
custom_battle_autogen_reinforcement_fund_percent	0.5000
custom_battle_mountable_artillery_percent	0.2000
custom_battle_settlement_level_cost_1	0.0000
custom_battle_settlement_level_cost_2	500.0000
custom_battle_settlement_level_cost_3	1500.0000
custom_battle_settlement_level_cost_4	2000.0000
custom_battle_siege_equipment_percent	0.5000
daemon_prince_tint_mask_opacity	0.6000
map_image_overlay_bloodground_active_opacity	255.0000
map_image_overlay_bloodground_preview_opacity	100.0000
map_image_overlay_bloodground_preview_other_opacity	150.0000
missile_damage_over_this_much_time	10.0000
tacmap_dbl_click_threshold_ms	0.0000
tacmap_face_current_direction	1.0000
tacmap_hold_threshold_ms	100.0000
tacmap_instant_transition	0.0000
tacmap_is_moveable	1.0000
tacmap_light_change_duration_ms	1000.0000
tacmap_max_height	10000.0000
tacmap_max_height_offset	0.0000
tacmap_min_height	90.0000
tacmap_move_speed_multiplier	4.0000
tacmap_near_clip_height_threshold	140.0000
tacmap_near_clip_max	90.0000
tacmap_near_clip_min	40.0000
tacmap_rotate_speed_multiplier	0.0500
tacmap_smoothing_decay	-8.0000
tacmap_starts_low	0.0000
tacmap_transition_duration_s	0.5000
tacmap_unit_draw_dist	150.0000
tacmap_zoom_speed_multiplier	60.0000
tacmap_zoom_to_cursor	1.0000
