character_skill	character_level	upgrade_to_skill_level
#character_skills_to_level_reached_criterias_tables;0;db/character_skills_to_level_reached_criterias_tables/data__		
wh2_dlc09_skill_tmb_champion_unique_tomb_prince_skeletal_steed	3	1
wh2_dlc09_skill_tmb_champion_unique_tomb_prince_skeleton_chariot	9	1
wh2_dlc09_skill_tmb_engineer_unique_necrotect_skeleton_chariot	9	1
wh2_dlc09_skill_tmb_khatep_mount_casket_of_souls	17	1
wh2_dlc09_skill_tmb_lord_unique_arkhan_skeletal_steed	6	1
wh2_dlc09_skill_tmb_lord_unique_arkhan_skeleton_chariot	13	1
wh2_dlc09_skill_tmb_lord_unique_khalida_necroserpent	13	1
wh2_dlc09_skill_tmb_lord_unique_khalida_skeleton_chariot	9	1
wh2_dlc09_skill_tmb_lord_unique_khatep_skeletal_steed	6	1
wh2_dlc09_skill_tmb_lord_unique_khatep_skeleton_chariot	13	1
wh2_dlc09_skill_tmb_lord_unique_settra_chariot_of_the_gods	17	1
wh2_dlc09_skill_tmb_lord_unique_settra_khemrian_warsphinx	13	1
wh2_dlc09_skill_tmb_lord_unique_settra_skeletal_steed	3	1
wh2_dlc09_skill_tmb_lord_unique_tomb_king_khemrian_warsphinx	13	1
wh2_dlc09_skill_tmb_lord_unique_tomb_king_skeletal_steed	3	1
wh2_dlc09_skill_tmb_lord_unique_tomb_king_skeleton_chariot	9	1
wh2_dlc09_skill_tmb_tomb_king_elixir_of_immortality	11	1
wh2_dlc09_skill_tmb_wizard_unique_liche_priest_death_skeletal_steed	6	1
wh2_dlc09_skill_tmb_wizard_unique_liche_priest_light_skeletal_steed	6	1
wh2_dlc09_skill_tmb_wizard_unique_liche_priest_nehekhara_skeletal_steed	6	1
wh2_dlc09_skill_tmb_wizard_unique_liche_priest_shadow_skeletal_steed	6	1
wh2_dlc10_skill_def_crone_mount_cauldron_of_blood	9	1
wh2_dlc10_skill_def_crone_mount_dark_steed	3	1
wh2_dlc10_skill_def_crone_mount_manticore	13	1
wh2_dlc10_skill_def_sorceress_beasts_mount_cold_one	10	1
wh2_dlc10_skill_def_sorceress_beasts_mount_dark_pegasus	15	1
wh2_dlc10_skill_def_sorceress_beasts_mount_dark_steed	6	1
wh2_dlc10_skill_def_sorceress_death_mount_cold_one	10	1
wh2_dlc10_skill_def_sorceress_death_mount_dark_pegasus	15	1
wh2_dlc10_skill_def_sorceress_death_mount_dark_steed	6	1
wh2_dlc10_skill_def_supreme_sorceress_beasts_mount_black_dragon	21	1
wh2_dlc10_skill_def_supreme_sorceress_beasts_mount_cold_one	11	1
wh2_dlc10_skill_def_supreme_sorceress_beasts_mount_dark_pegasus	15	1
wh2_dlc10_skill_def_supreme_sorceress_beasts_mount_dark_steed	6	1
wh2_dlc10_skill_def_supreme_sorceress_beasts_mount_manticore	17	1
wh2_dlc10_skill_def_supreme_sorceress_dark_mount_black_dragon	21	1
wh2_dlc10_skill_def_supreme_sorceress_dark_mount_cold_one	11	1
