ownership_content_pack	ritual
#ritual_ownership_content_pack_junctions_tables;0;db/ritual_ownership_content_pack_junctions_tables/data__	
wh2_dlc14_shadow	wh2_dlc12_ikit_workshop_poison_wind_mortar_0
wh2_dlc14_shadow	wh2_dlc12_ikit_workshop_poison_wind_mortar_1
wh2_dlc14_shadow	wh2_dlc12_ikit_workshop_poison_wind_mortar_2
wh2_dlc14_shadow	wh2_dlc12_ikit_workshop_warpgrinder_0
wh2_dlc14_shadow	wh2_dlc12_ikit_workshop_warpgrinder_1
wh2_dlc14_shadow	wh2_dlc12_ikit_workshop_warpgrinder_2
wh3_dlc29_loet_glottkin	wh3_dlc29_chd_ritual_unit_cap_chaos_siege_giant
wh3_dlc29_loet_thanquol	wh3_dlc29_ikit_workshop_stormfiend_melee_type_0
wh3_dlc29_loet_thanquol	wh3_dlc29_ikit_workshop_stormfiend_melee_type_1
wh3_dlc29_loet_thanquol	wh3_dlc29_ikit_workshop_stormfiend_melee_type_2
wh3_dlc29_loet_thanquol	wh3_dlc29_ikit_workshop_stormfiend_ranged_type_0
wh3_dlc29_loet_thanquol	wh3_dlc29_ikit_workshop_stormfiend_ranged_type_1
wh3_dlc29_loet_thanquol	wh3_dlc29_ikit_workshop_stormfiend_ranged_type_2
wh1_lords_and_units_1	wh3_dlc29_ritual_nag_unit_capacity_corpse_carts
