key	damage	type	message_event_association	show_vfx
#campaign_map_attritions_tables;4;db/campaign_map_attritions_tables/data__				
athel_loren	attrition_terrain	terrain_land	attrition_athel_loren	true
awakened_forest	attrition_awakened_forest	bonus_value_enabled		true
besieged	attrition_besieged	besieged	attrition_besieged	true
besieging	attrition_sieging	besieging	attrition_besieging	true
blockaded	attrition_terrain	blockaded	attrition_blockaded	true
blockading	attrition_terrain	blockading	attrition_blockading	true
blood_voyage_desertion	blood_voyage_desertion	bonus_value_enabled		false
building_attrition	attrition_event	bonus_value_enabled		true
chaos_territory	attrition_vampire_territory	chaos_region	attrition_chaos_territory	true
chaos_wastes	attrition_chaos_wastes	terrain_land	attrition_chaos_wastes	true
chaos_wastes_bonus_value	attrition_bastion_patrol	bonus_value_enabled	attrition_chaos_wastes	true
chd_summoned_army	attrition_chd_hobgoblin_summon	bonus_value_enabled		true
compass	bastion_wrath	bonus_value_enabled		true
deep_sea	attrition_terrain	terrain_sea	attrition_high_seas	true
desert	attrition_terrain	terrain_land	attrition_desert	true
desertion	attrition_desertion	desertion	campmap_bankrupt_desertion	true
disciple_army	attrition_disciple_army	bonus_value_enabled		true
disease	attrition_plague	bonus_value_enabled	attrition_disease	true
dlc17_despoiler_raiding	attrition_awakened_forest	bonus_value_enabled		false
event_attrition	attrition_event	bonus_value_enabled		true
event_attrition_no_immunity	attrition_event	bonus_value_enabled		true
horde_infighting	attrition_horde_infighting	horde_infighting	attrition_horde_infighting	true
hostile_territory	attrition_hostile_territory	hostile_territory	attrition_hostile_territory	true
kho_summoned_army	attrition_khorne_summon	bonus_value_enabled		true
khorne_infighting	attrition_horde_infighting	bonus_value_enabled		true
kislev_winter	attrition_hostile_territory	hostile_territory	attrition_kislev_winter	true
lizard_defenders	attrition_hostile_territory	bonus_value_enabled	attrition_hostile_territory	true
low_morale	attrition_morale	low_morale	attrition_low_morale	true
maelstrom	attrition_maelstrom	terrain_sea	attrition_maelstrom	true
mist	attrition_storm_level_3	storm_region	cst_fog	true
mist_of_yvresse	attrition_mists_of_yvresse	storm_region		false
mountain	attrition_terrain	terrain_land	attrition_mountain	true
non_vampire_territory	attrition_vampire_territory	non_vampire_region	attrition_non_vampire_territory	true
nurgle_plague	attrition_vampire_territory	chaos_region	attrition_chaos_territory	true
nurgle_realm	attrition_nurgle_realm	terrain_land	attrition_chaos_wastes	true
ogre_meat	attrition_ogre_meat	bonus_value_enabled	attrition_ogre_meat	true
plague_nurgle	attrition_plague	bonus_value_enabled	attrition_disease	true
reef	attrition_terrain	terrain_sea	attrition_reef	true
regionless	attrition_desertion	regionless	campmap_bankrupt_desertion	true
sabotage	attrition_terrain	army_sabotage		true
sea_monster_storm	attrition_storm_level_5	storm_region	attrition_storm_level_5	true
snow	attrition_terrain	terrain_land	attrition_winter	true
storm_level_1	attrition_storm_level_1	storm_region	attrition_storm_level_1	true
storm_level_2	attrition_storm_level_2	storm_region	attrition_storm_level_2	true
storm_level_3	attrition_storm_level_3	storm_region	attrition_storm_level_3	true
storm_level_4	attrition_storm_level_4	storm_region	attrition_storm_level_4	true
storm_level_5	attrition_storm_level_5	storm_region	attrition_storm_level_5	true
storm_sandstorm	attrition_storm_level_3	storm_region	storm_sandstorm	true
swamp	attrition_terrain	terrain_land	attrition_swamp	true
vampire_territory	attrition_vampire_territory	vampire_region	attrition_vampire_territory	true
very_low_morale	attrition_morale_very_low	very_low_morale	attrition_low_morale	true
wasteland	attrition_terrain	terrain_land	attrition_wasteland	true
