mercenary_recruitment_category	hire_button_icon_path	hud_icon_path	hire_frame_state	ornament_icon_path	should_allow_empty_pool_access	should_show_mercenary_cap	should_show_casualties_label	is_renown_pool	button_order_index
#ui_mercenary_recruitment_infos_tables;10;db/ui_mercenary_recruitment_infos_tables/data__									
amethyst_units	ui\skins\default\button_square_large_text_	ui\skins\default\icon_amethyst_units_pool.png	default	ui\skins\default\hire_renown_ornament.png	true	false	false	true	5
blessed_spawning	ui\skins\default\button_square_large_text_	ui\skins\default\icon_blessed_spawn_pool.png	default	ui\skins\default\hire_renown_ornament.png	false	false	false	true	4
daemonic_summoning	ui\skins\default\button_square_large_text_	ui\skins\default\icon_recruit.png	default	ui\skins\default\hire_renown_ornament.png	false	true	false	true	7
dwarf_grudges_units	ui\skins\default\button_square_large_text_	ui\skins\default\icon_merc_grudge_settler.png	default	ui\skins\default\hire_renown_ornament.png	true	true	false	true	6
flesh_lab	ui\skins\default\button_square_large_text_	ui\skins\default\merc_pool_icon.png	default	ui\skins\default\hire_renown_ornament.png	false	false	false	true	2
imperial_supply	ui\skins\default\button_square_large_text_	ui\skins\default\merc_pool_icon.png	default	ui\skins\default\hire_renown_ornament.png	true	false	false	true	6
malakai_adventure_units	ui\skins\default\button_square_large_text_	ui\skins\default\icon_merc_malakai_adventures.png	default	ui\skins\default\hire_renown_ornament.png	false	false	false	true	7
mercenary_recruitment	ui\skins\default\button_square_large_text_	ui\skins\default\merc_pool_icon.png	default	ui\skins\default\hire_renown_ornament.png	false	true	false	false	9
monster_pen	ui\skins\default\button_square_large_text_	ui\skins\warhammer2\merc_pool_rakarth.png	default	ui\skins\default\hire_renown_ornament.png	true	false	false	true	3
nurgle_buildings	ui\skins\default\button_square_large_text_	ui\skins\default\icon_recruit.png	default	ui\skins\default\hire_renown_ornament.png	true	false	false	true	5
raise_dead	ui\skins\default\button_square_large_text_	ui\skins\default\icon_raise_dead.png	raise_dead	ui\skins\default\hire_raise_dead_ornament.png	false	false	false	false	1
renown	ui\skins\default\button_square_large_text_	ui\skins\default\icon_renown.png	default	ui\skins\default\hire_renown_ornament.png	false	false	false	true	8
setrapy	ui\skins\default\button_square_large_text_	ui\skins\default\icon_recruit.png	default	ui\skins\default\hire_renown_ornament.png	false	false	false	true	10
tamurkhan_chieftains	ui\skins\default\button_square_large_text_	ui\skins\default\dlc25_tamurkhans_chieftains\icon_merc_recruit_chieftains.png	default	ui\skins\default\hire_renown_ornament.png	true	true	false	true	7
waaagh_units	ui\skins\default\button_square_large_text_	ui\skins\default\merc_pool_waaagh_icon.png	default	ui\skins\default\hire_renown_ornament.png	true	true	false	true	11
zealous_conscription	ui\skins\default\button_square_large_text_	ui\skins\default\icon_recruit_ksl_zealous.png	default	ui\skins\default\hire_renown_ornament.png	true	true	false	true	12
