slot	rank	occupying_lord_effect_bundle
#patronage_slots_tables;0;db/patronage_slots_tables/data__		
wh3_main_combi_province_avelorn	1	wh3_dlc27_hef_court_avelorn_patronage_tier_1
wh3_main_combi_province_avelorn	2	wh3_dlc27_hef_court_avelorn_patronage_tier_2
wh3_main_combi_province_avelorn	3	wh3_dlc27_hef_court_avelorn_patronage_tier_3
wh3_main_combi_province_caledor	1	wh3_dlc27_hef_court_caledor_patronage_tier_1
wh3_main_combi_province_caledor	2	wh3_dlc27_hef_court_caledor_patronage_tier_2
wh3_main_combi_province_caledor	3	wh3_dlc27_hef_court_caledor_patronage_tier_3
wh3_main_combi_province_chrace	1	wh3_dlc27_hef_court_chrace_patronage_tier_1
wh3_main_combi_province_chrace	2	wh3_dlc27_hef_court_chrace_patronage_tier_2
wh3_main_combi_province_chrace	3	wh3_dlc27_hef_court_chrace_patronage_tier_3
wh3_main_combi_province_cothique	1	wh3_dlc27_hef_court_cothique_patronage_tier_1
wh3_main_combi_province_cothique	2	wh3_dlc27_hef_court_cothique_patronage_tier_2
wh3_main_combi_province_cothique	3	wh3_dlc27_hef_court_cothique_patronage_tier_3
wh3_main_combi_province_eataine	1	wh3_dlc27_hef_court_eataine_patronage_tier_1
wh3_main_combi_province_eataine	2	wh3_dlc27_hef_court_eataine_patronage_tier_2
wh3_main_combi_province_eataine	3	wh3_dlc27_hef_court_eataine_patronage_tier_3
wh3_main_combi_province_ellyrion	1	wh3_dlc27_hef_court_ellyrion_patronage_tier_1
wh3_main_combi_province_ellyrion	2	wh3_dlc27_hef_court_ellyrion_patronage_tier_2
wh3_main_combi_province_ellyrion	3	wh3_dlc27_hef_court_ellyrion_patronage_tier_3
wh3_main_combi_province_nagarythe	1	wh3_dlc27_hef_court_nagarythe_patronage_tier_1
wh3_main_combi_province_nagarythe	2	wh3_dlc27_hef_court_nagarythe_patronage_tier_2
wh3_main_combi_province_nagarythe	3	wh3_dlc27_hef_court_nagarythe_patronage_tier_3
wh3_main_combi_province_northern_yvresse	1	wh3_dlc27_hef_court_northern_yvresse_patronage_tier_1
wh3_main_combi_province_northern_yvresse	2	wh3_dlc27_hef_court_northern_yvresse_patronage_tier_2
wh3_main_combi_province_northern_yvresse	3	wh3_dlc27_hef_court_northern_yvresse_patronage_tier_3
wh3_main_combi_province_saphery	1	wh3_dlc27_hef_court_saphery_patronage_tier_1
wh3_main_combi_province_saphery	2	wh3_dlc27_hef_court_saphery_patronage_tier_2
wh3_main_combi_province_saphery	3	wh3_dlc27_hef_court_saphery_patronage_tier_3
wh3_main_combi_province_southern_yvresse	1	wh3_dlc27_hef_court_southern_yvresse_patronage_tier_1
wh3_main_combi_province_southern_yvresse	2	wh3_dlc27_hef_court_southern_yvresse_patronage_tier_2
wh3_main_combi_province_southern_yvresse	3	wh3_dlc27_hef_court_southern_yvresse_patronage_tier_3
wh3_main_combi_province_tiranoc	1	wh3_dlc27_hef_court_tiranoc_patronage_tier_1
wh3_main_combi_province_tiranoc	2	wh3_dlc27_hef_court_tiranoc_patronage_tier_2
wh3_main_combi_province_tiranoc	3	wh3_dlc27_hef_court_tiranoc_patronage_tier_3
