name	vo_actor_1	vo_actor_2	vo_actor_3	vo_actor_4	vo_actor_5	vo_actor_6	vo_actor_7	vo_actor_8	vo_actor_9	vo_actor_10	vo_actor_11	vo_actor_12	vo_actor_13	vo_actor_14	vo_actor_15	cooldown_overlap	container
#audio_vo_actor_groups_tables;4;db/audio_vo_actor_groups_tables/data__																	
vo_actor_Empire_dlc03_AmberWizard	wh_dlc03_vo_actor_Empire_AmberWizard1	wh_dlc03_vo_actor_Empire_AmberWizard2														0.0000	random
wh2_dlc09_vo_actor_Skaven_Tretch_Craventail	wh2_dlc09_vo_actor_Skaven_Tretch_Craventail															0.0000	random
wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan															0.0000	random
wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida	wh2_dlc09_vo_actor_Tomb_Kings_High_Queen_Khalida															0.0000	random
wh2_dlc09_vo_actor_Tomb_Kings_Khatep	wh2_dlc09_vo_actor_Tomb_Kings_Khatep															0.0000	random
wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest1	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest2														0.0000	random
wh2_dlc09_vo_actor_Tomb_Kings_Necrotect	wh2_dlc09_vo_actor_Tomb_Kings_Necrotect1	wh2_dlc09_vo_actor_Tomb_Kings_Necrotect2														0.0000	random
wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable	wh2_dlc09_vo_actor_Tomb_Kings_Settra_the_Imperishable															0.0000	random
wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King1	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King2														0.0000	random
wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Prince	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Prince1	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Prince2														0.0000	random
wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Unit	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units1	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units2	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units3	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units4	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units5	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units6	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units7	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Skeleton_Units8								0.0000	random
wh2_dlc10_vo_actor_Dark_Elves_Crone_Hellebron	wh2_dlc10_vo_actor_Dark_Elves_Crone_Hellebron															0.0000	random
wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress															0.0000	random
wh2_dlc10_vo_actor_High_Elves_Alith_Anar	wh2_dlc10_vo_actor_High_Elves_Alith_Anar															0.0000	random
wh2_dlc10_vo_actor_High_Elves_Arielle_the_Radiant	wh2_dlc10_vo_actor_High_Elves_Arielle_the_Radiant															0.0000	random
wh2_dlc10_vo_actor_High_Elves_Handmaiden_of_the_Everqueen	wh2_dlc10_vo_actor_High_Elves_Handmaiden_of_the_Everqueen1	wh2_dlc10_vo_actor_High_Elves_Handmaiden_of_the_Everqueen2														0.0000	random
wh2_dlc10_vo_actor_High_Elves_Shadow_Walker	wh2_dlc10_vo_actor_High_Elves_Shadow_Walker															0.0000	random
wh2_dlc10_vo_actor_High_Elves_Sisters_of_Averlorn	wh2_dlc10_vo_actor_High_Elves_Sisters_of_Averlorn1	wh2_dlc10_vo_actor_High_Elves_Sisters_of_Averlorn2														0.0000	random
wh2_dlc11_vo_actor_Dark_Elves_Lokhir_Fellheart	wh2_dlc11_vo_actor_Dark_Elves_Lokhir_Fellheart															0.0000	random
wh2_dlc11_vo_actor_Generic_Human	wh2_dlc11_vo_actor_Generic_Human1	wh2_dlc11_vo_actor_Generic_Human2														0.0000	random
wh2_dlc11_vo_actor_VampireCoast_Aranessa_Saltspite	wh2_dlc11_vo_actor_VampireCoast_Aranessa_Saltspite															0.0000	random
