initiative_set	end_turn_notification
#end_turn_notification_initiative_set_junctions_tables;0;db/end_turn_notification_initiative_set_junctions_tables/data__	
wh3_dlc20_character_initiative_set_exalted_hero_mkho_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_exalted_hero_mnur_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_festus	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_valkia	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_exalted_hero_upgrades_warriors	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_lord_mko_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_lord_msla_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_lord_upgrades_azazel	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_lord_upgrades_festus	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_lord_upgrades_valkia	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_lord_upgrades_vilitch	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_lord_upgrades_warriors	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_death_shadows_upgrades_warriors	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_fire_metal_upgrades_warriors	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_lord_death_shadows_upgrades_warriors	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_lord_fire_metal_upgrades_warriors	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_lord_mnur_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_lord_mtze_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_azazel	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_festus	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_lord_upgrades_vilitch	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_msla_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_mtze_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_upgrades_azazel	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_upgrades_festus	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc20_character_initiative_set_sorcerer_upgrades_vilitch	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc24_character_initiative_set_lord_mtze_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc25_character_initiative_set_lord_mnur_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc27_character_initiative_set_exalted_hero_msla_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_dlc27_character_initiative_set_sorcerer_lord_msla_upgrades	CHARACTER_BIG_NAME_AVAILABLE
wh3_main_character_initiative_set_ogre_big_names_greasus	CHARACTER_BIG_NAME_AVAILABLE
wh3_main_character_initiative_set_ogre_big_names_hunter	CHARACTER_BIG_NAME_AVAILABLE
wh3_main_character_initiative_set_ogre_big_names_skrag	CHARACTER_BIG_NAME_AVAILABLE
wh3_main_character_initiative_set_ogre_big_names_tyrant	CHARACTER_BIG_NAME_AVAILABLE
