key	battle_type	priority_index	icon_path	column_index	visual_key_string
#battle_ui_cheatsheet_items_tables;2;db/battle_ui_cheatsheet_items_tables/data__					
ambush_escape_zone	ambush	2	ui/skins/default/bar_top_center_swords.png	0	1
ambush_objectives	ambush	1	ui/skins/default/bar_top_center_swords.png	0	
conquest_balance_of_power_bar	conquest	3	ui/skins/default/bar_top_center_swords.png	0	2
conquest_capture_points_and_tickets	conquest	2	ui/skins/default/icon_supplies.png	0	1
conquest_objectives	conquest	1	ui/battle ui/capture_point_icons/capture_point_supplies_major.png	0	
domination_capture_points_and_tickets	domination	2	ui/skins/default/icon_supplies.png	0	1
domination_objectives	domination	1	ui/battle ui/capture_point_icons/capture_point_supplies_major.png	0	
domination_reinforcements	domination	4	ui/skins/default/replenishment.png	0	3
domination_supplies	domination	3	ui/skins/default/icon_reinforcement_spawn_zone.png	0	2
domination_teleport	domination	1	ui/skins/default/bar_top_center_swords.png	1	4
land_battle_abilities	classic	5	ui/skins/default/bar_top_center_swords.png	0	4
land_battle_army_abilities	classic	2	ui/skins/default/bar_top_center_swords.png	1	6
land_battle_balance_of_power_bar	classic	3	ui/skins/default/bar_top_center_swords.png	0	2
land_battle_magic	classic	1	ui/skins/default/bar_top_center_swords.png	1	5
land_battle_objectives	classic	1	ui/skins/default/bar_top_center_swords.png	0	
land_battle_reinforcements	classic	4	ui/skins/default/bar_top_center_swords.png	1	8
land_battle_time_limit_and_controls	classic	2	ui/skins/default/bar_top_center_swords.png	0	1
land_battle_unit_banners	classic	3	ui/skins/default/bar_top_center_swords.png	1	7
land_battle_unit_buttons	classic	4	ui/skins/default/bar_top_center_swords.png	0	3
minor_settlement_capture_points	unfortified_settlement	1	ui/skins/default/bar_top_center_swords.png	1	1
minor_settlement_deployables	unfortified_settlement	3	ui/skins/default/bar_top_center_swords.png	1	3
minor_settlement_objectives	unfortified_settlement	1	ui/skins/default/bar_top_center_swords.png	0	
minor_settlement_supplies	unfortified_settlement	2	ui/skins/default/bar_top_center_swords.png	1	2
siege_capture_points	siege	1	ui/skins/default/bar_top_center_swords.png	0	1
siege_deployables	siege	4	ui/skins/default/bar_top_center_swords.png	1	4
siege_objectives	siege	1	ui/skins/default/bar_top_center_swords.png	0	
siege_supplies	siege	3	ui/skins/default/bar_top_center_swords.png	1	3
siege_victory_tickets	siege	2	ui/skins/default/bar_top_center_swords.png	0	2
survival_capture_points	survival	2	ui/skins/default/bar_top_center_swords.png	0	1
survival_defensive_structures_1	survival	3	ui/skins/default/bar_top_center_swords.png	0	2
survival_objective_1	survival	1	ui/skins/default/bar_top_center_swords.png	0	
survival_reinforcements	survival	4	ui/skins/default/bar_top_center_swords.png	0	3
survival_supplies	survival	4	ui/skins/default/bar_top_center_swords.png	1	4
survival_teleport	survival	7	ui/skins/default/bar_top_center_swords.png	1	7
survival_unit_replenishments	survival	5	ui/skins/default/bar_top_center_swords.png	1	5
survival_unit_upgrades	survival	6	ui/skins/default/bar_top_center_swords.png	1	6
trial_battle_army_abilities	trial	6	ui/skins/default/bar_top_center_swords.png	1	5
trial_battle_army_ability_upgrades	trial	7	ui/skins/default/bar_top_center_swords.png	1	6
trial_battle_forbidden_knowledge	trial	4	ui/skins/default/bar_top_center_swords.png	0	3
trial_battle_objective	trial	1	ui/skins/default/bar_top_center_swords.png	0	
trial_battle_reward_progress	trial	2	ui/skins/default/bar_top_center_swords.png	0	1
trial_battle_score	trial	3	ui/skins/default/bar_top_center_swords.png	0	2
trial_battle_shard_of_tzeentch	trial	5	ui/skins/default/bar_top_center_swords.png	1	4
