event	instant_open	layout	requires_response	priority
#message_events_tables;1;db/message_events_tables/data__				
agent_action_dummy_event	false	standard	false	100
attrition_athel_loren	false	standard	false	100
attrition_besieged	false	standard	false	100
attrition_besieging	false	standard	false	100
attrition_blockaded	false	standard	false	100
attrition_blockading	false	standard	false	100
attrition_chaos_territory	false	standard	false	100
attrition_chaos_wastes	false	standard	false	100
attrition_desert	false	standard	false	100
attrition_disease	false	standard	false	100
attrition_high_seas	false	standard	false	100
attrition_horde_infighting	false	standard	false	100
attrition_hostile_territory	false	standard	false	100
attrition_kislev_winter	false	standard	false	100
attrition_low_morale	false	standard	false	100
attrition_maelstrom	false	standard	false	100
attrition_mountain	false	standard	false	100
attrition_non_vampire_territory	false	standard	false	100
attrition_ogre_meat	false	standard	false	100
attrition_reef	false	standard	false	100
attrition_storm_level_1	false	standard	false	100
attrition_storm_level_2	false	standard	false	100
attrition_storm_level_3	false	standard	false	100
attrition_storm_level_4	false	standard	false	100
attrition_storm_level_5	false	standard	false	100
attrition_swamp	false	standard	false	100
attrition_vampire_territory	false	standard	false	100
attrition_wasteland	false	standard	false	100
attrition_winter	false	standard	false	100
campmap_bankrupt_desertion	true	standard	false	100
character_dies_commanding_replace	true	appoint_new_general	true	100
cst_fog	false	standard	false	100
storm_sandstorm	false	standard	false	100
subject_message_subject_expires	true	incident	false	100
