key	region_hint_profile_key
#cai_hint_profile_groups_tables;0;db/cai_hint_profile_groups_tables/data__	
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF	REGION_CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF
CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF_GRAND_CAMPAIGN	REGION_CAPTURE_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY_HEF_GRAND_CAMPAIGN
DLC10_HINT_PROFILE_SHRINE	DLC10_REGION_HINT_PROFILE_SHRINE
HINT_PROFILE_BRT	REGION_HINT_PROFILE_BRT
HINT_PROFILE_BST	REGION_HINT_PROFILE_BST
HINT_PROFILE_BST_ALLY	REGION_HINT_PROFILE_BST_ALLY
HINT_PROFILE_BST_CHAOS	REGION_HINT_PROFILE_BST_CHAOS
HINT_PROFILE_COMMON_OAK	REGION_HINT_PROFILE_SKV_COMMON_OAK
HINT_PROFILE_DEF	REGION_HINT_PROFILE_DEF
HINT_PROFILE_DWF	REGION_HINT_PROFILE_DWF
HINT_PROFILE_EMP	REGION_HINT_PROFILE_EMP
HINT_PROFILE_HEF	REGION_HINT_PROFILE_HEF
HINT_PROFILE_HEF_NONGUARDIAN	REGION_HINT_PROFILE_HEF_NONGUARDIAN
HINT_PROFILE_KHALIDA	REGION_HINT_PROFILE_KHALIDA
HINT_PROFILE_LZD	REGION_HINT_PROFILE_LZD
HINT_PROFILE_SKV	REGION_HINT_PROFILE_SKV
HINT_PROFILE_TMB	REGION_HINT_PROFILE_TMB
wh3_region_hint_profile_group_Cathay	wh3_main_region_hint_profile_Cathay
wh3_region_hint_profile_group_Chaos	wh3_main_region_hint_profile_Chaos
wh3_region_hint_profile_group_Chaos_vs_Cathay	wh3_main_region_hint_profile_Chaos_vs_Cathay
wh3_region_hint_profile_group_Daemon_Prince	wh3_main_region_hint_profile_Daemon_Prince
wh3_region_hint_profile_group_Greenskin	wh3_main_region_hint_profile_Greenskin
wh3_region_hint_profile_group_Khorne	wh3_main_region_hint_profile_Khorne
wh3_region_hint_profile_group_Kislev	wh3_main_region_hint_profile_Kislev
wh3_region_hint_profile_group_Norsca	wh3_main_region_hint_profile_Norsca
wh3_region_hint_profile_group_Nurgle	wh3_main_region_hint_profile_Nurgle
wh3_region_hint_profile_group_Ogre	wh3_main_region_hint_profile_Ogre
wh3_region_hint_profile_group_Slaanesh	wh3_main_region_hint_profile_Slaanesh
wh3_region_hint_profile_group_Tzeentch	wh3_main_region_hint_profile_Tzeentch
wh3_region_hint_theatre_ulthuan	wh3_main_region_hint_profile_theatre_ulthuan
