bonus_value_id	effect	initiative
#effect_bonus_value_initiative_junctions_tables;0;db/effect_bonus_value_initiative_junctions_tables/data__		
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_all_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_khorne
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_all_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_khorne_from_und
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_all_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_nurgle
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_all_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_nurgle_from_und
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_all_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_slaanesh
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_all_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_slaanesh_from_und
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_all_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_tzeentch
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_all_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_tzeentch_from_und
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_all_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_undivided
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_kho_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_khorne
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_kho_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_khorne_from_und
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_nur_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_nurgle
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_nur_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_nurgle_from_und
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_sla_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_slaanesh
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_sla_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_slaanesh_from_und
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_tze_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_tzeentch
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_tze_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_tzeentch_from_und
percentage_cost_mod	wh3_dlc20_effect_character_ascension_mod_und_daemon_prince	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_undivided
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_exalted_hero_to_khorne
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_exalted_hero_to_nurgle
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_lord_to_khorne
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_lord_to_nurgle
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_lord_to_slaanesh
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_sorceror_lord_to_nurgle_death
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_sorceror_lord_to_nurgle_nurgle
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_sorceror_lord_to_tzeentch_metal
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_sorceror_lord_to_tzeentch_tzeentch
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_sorceror_to_slaanesh_shadows
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_sorceror_to_slaanesh_slaanesh
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_sorceror_to_tzeentch_metal
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc20_character_initiative_devote_sorceror_to_tzeentch_tzeentch
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc24_character_initiative_devote_exalted_hero_to_tzeentch
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc24_character_initiative_devote_lord_to_tzeentch
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc25_character_initiative_devote_sorceror_to_nurgle_death
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc25_character_initiative_devote_sorceror_to_nurgle_nurgle
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc27_character_initiative_devote_exalted_hero_to_slaanesh
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc27_character_initiative_devote_sorceror_lord_to_slaanesh_shadows
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_all_path_to_glory_except_daemon_prince_hidden	wh3_dlc27_character_initiative_devote_sorceror_lord_to_slaanesh_slaanesh
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_khorne	wh3_dlc20_character_initiative_devote_exalted_hero_to_khorne
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_khorne	wh3_dlc20_character_initiative_devote_lord_to_khorne
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_nurgle	wh3_dlc20_character_initiative_devote_exalted_hero_to_nurgle
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_nurgle	wh3_dlc20_character_initiative_devote_lord_to_nurgle
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_nurgle	wh3_dlc20_character_initiative_devote_sorceror_lord_to_nurgle_death
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_nurgle	wh3_dlc20_character_initiative_devote_sorceror_lord_to_nurgle_nurgle
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_nurgle	wh3_dlc25_character_initiative_devote_sorceror_to_nurgle_death
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_nurgle	wh3_dlc25_character_initiative_devote_sorceror_to_nurgle_nurgle
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_slaanesh	wh3_dlc20_character_initiative_devote_lord_to_slaanesh
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_slaanesh	wh3_dlc20_character_initiative_devote_sorceror_to_slaanesh_shadows
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_slaanesh	wh3_dlc20_character_initiative_devote_sorceror_to_slaanesh_slaanesh
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_slaanesh	wh3_dlc27_character_initiative_devote_exalted_hero_to_slaanesh
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_slaanesh	wh3_dlc27_character_initiative_devote_sorceror_lord_to_slaanesh_shadows
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_slaanesh	wh3_dlc27_character_initiative_devote_sorceror_lord_to_slaanesh_slaanesh
percentage_cost_mod	wh3_dlc20_effect_initiative_cost_reduction_mark_of_tzeentch	wh3_dlc20_character_initiative_devote_sorceror_lord_to_tzeentch_metal
