battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index	jettison_rider
#land_units_to_battle_personalities_junctions_tables;2;db/land_units_to_battle_personalities_junctions_tables/data__					
wh2_dlc09_tmb_casket_of_souls_rider1	wh2_dlc09_tmb_art_casket_of_souls_0	autonomous_rider	ap_riderposition_0	-1	true
wh2_dlc09_tmb_arkhan_chariot_steed1	wh2_dlc09_tmb_cha_arkhan_2	autonomous_rider	ap_horseposition_0	-1	true
wh2_dlc09_tmb_arkhan_chariot_steed2	wh2_dlc09_tmb_cha_arkhan_2	autonomous_rider	ap_horseposition_1	-1	true
wh2_dlc09_tmb_arkhan_chariot_steed3	wh2_dlc09_tmb_cha_arkhan_2	autonomous_rider	ap_horseposition_2	-1	true
wh2_dlc09_tmb_arkhan_chariot_steed4	wh2_dlc09_tmb_cha_arkhan_2	autonomous_rider	ap_horseposition_3	-1	true
wh2_dlc09_tmb_chariot_rider_0_arkhan	wh2_dlc09_tmb_cha_arkhan_2	autonomous_rider	ap_crewposition_0	-1	true
wh2_dlc09_tmb_chariot_rider_1_arkhan	wh2_dlc09_tmb_cha_arkhan_2	autonomous_rider	ap_crewposition_1	-1	true
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_cha_khalida_2	autonomous_rider	ap_crewposition_0	-1	true
wh2_dlc09_tmb_chariot_rider_1_khalida	wh2_dlc09_tmb_cha_khalida_2	autonomous_rider	ap_crewposition_1	-1	true
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_cha_khatep_2	autonomous_rider	ap_crewposition_0	-1	true
wh2_dlc09_tmb_chariot_rider_1_khatep	wh2_dlc09_tmb_cha_khatep_2	autonomous_rider	ap_crewposition_1	-1	true
wh2_dlc09_tmb_casket_of_souls_khatep	wh2_dlc09_tmb_cha_khatep_3	autonomous_rider	ap_riderposition_0	-1	true
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_cha_necrotect_1	autonomous_rider	ap_crewposition_0	-1	true
wh2_dlc09_tmb_chariot_rider_1_necrotect	wh2_dlc09_tmb_cha_necrotect_1	autonomous_rider	ap_crewposition_1	-1	true
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_cha_settra_2	autonomous_rider	ap_crewposition_0	-1	true
wh2_dlc09_tmb_chariot_rider_1_settra	wh2_dlc09_tmb_cha_settra_2	autonomous_rider	ap_crewposition_1	-1	true
wh2_dlc09_tmb_warsphinx_rider_settra	wh2_dlc09_tmb_cha_settra_3	officer	ap_crewposition_0	-1	true
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_cha_tomb_king_2	autonomous_rider	ap_crewposition_0	-1	true
wh2_dlc09_tmb_chariot_rider_1_king	wh2_dlc09_tmb_cha_tomb_king_2	autonomous_rider	ap_crewposition_1	-1	true
wh2_dlc09_tmb_warsphinx_rider_tomb_king	wh2_dlc09_tmb_cha_tomb_king_3	officer	ap_crewposition_0	-1	true
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_cha_tomb_prince_2	autonomous_rider	ap_crewposition_0	-1	true
wh2_dlc09_tmb_chariot_rider_1_prince	wh2_dlc09_tmb_cha_tomb_prince_2	autonomous_rider	ap_crewposition_1	-1	true
wh2_dlc09_tmb_warsphinx_rider_0	wh2_dlc09_tmb_mon_khemrian_warsphinx_0	autonomous_rider	ap_crewposition_1	-1	true
wh2_dlc09_tmb_warsphinx_rider_1	wh2_dlc09_tmb_mon_khemrian_warsphinx_0	autonomous_rider	ap_crewposition_2	-1	true
wh2_dlc09_tmb_warsphinx_rider_2	wh2_dlc09_tmb_mon_khemrian_warsphinx_0	autonomous_rider	ap_crewposition_3	-1	true
wh2_dlc09_tmb_warsphinx_rider_3	wh2_dlc09_tmb_mon_khemrian_warsphinx_0	autonomous_rider	ap_crewposition_4	-1	true
wh2_dlc09_tmb_chariot_rider_0	wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	autonomous_rider	ap_crewposition_0	-1	true
