set	item
#faction_plague_setup_set_items_tables;0;db/faction_plague_setup_set_items_tables/data__	
wh2_dlc14_feature_skaven_skrolk	wh2_dlc14_feature_skaven_skrolk
wh2_dlc17_plague_beastmen	wh2_dlc17_plague_beastmen
wh2_main_plague_skaven	wh2_main_plague_skaven
wh3_dlc20_festus_plagues	wh3_dlc25_nur_base_hidden
wh3_dlc20_festus_plagues	wh3_main_nur_base_Ague_festus
wh3_dlc20_festus_plagues	wh3_main_nur_base_Buboes_festus
wh3_dlc20_festus_plagues	wh3_main_nur_base_Pox_festus
wh3_dlc20_festus_plagues	wh3_main_nur_base_Rot_festus
wh3_dlc20_festus_plagues	wh3_main_nur_base_Shakes_festus
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_marks_of_nurgle_plague_setup_0
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_marks_of_nurgle_plague_setup_1
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_marks_of_nurgle_plague_setup_2
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_marks_of_nurgle_plague_setup_blessed
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_a_1
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_a_2
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_a_3
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_a_4
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_a_5
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_a_6
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_a_7
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aa_1
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aa_10
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aa_2
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aa_3
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aa_4
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aa_5
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aa_6
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aa_7
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aa_8
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aa_9
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aab_1
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aab_10
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aab_2
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aab_3
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aab_4
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aab_5
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aab_6
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aab_7
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aab_8
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_aab_9
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bac_1
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bac_10
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bac_2
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bac_3
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bac_4
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bac_5
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bac_6
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bac_7
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bac_8
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bac_9
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bacd_1
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bacd_10
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bacd_2
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bacd_3
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bacd_4
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bacd_5
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bacd_6
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bacd_7
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bacd_8
wh3_dlc29_woc_nurgle_garden_plagues_set	wh3_dlc29_woc_nurgle_garden_plague_setup_bacd_9
wh3_main_crimson_plagues	wh3_main_crimson_plague_faction
wh3_main_crimson_plagues	wh3_main_crimson_plague_region
wh3_main_crimson_plagues	wh3_main_crimson_plague_world
wh3_main_dae_plagues	wh3_main_plague_daemon_prince_bowelsteep
wh3_main_dae_plagues	wh3_main_plague_daemon_prince_grey_fever
wh3_main_dae_plagues	wh3_main_plague_daemon_prince_ochre_pox
wh3_main_dae_plagues	wh3_main_plague_daemon_prince_the_red_ague
wh3_main_nurgle_plagues	wh3_dlc25_nur_base_hidden
wh3_main_nurgle_plagues	wh3_dlc25_nur_random_plague_1
wh3_main_nurgle_plagues	wh3_dlc25_nur_random_plague_2
wh3_main_nurgle_plagues	wh3_dlc25_nur_random_plague_3
wh3_main_nurgle_plagues	wh3_dlc25_nur_random_plague_4
wh3_main_nurgle_plagues	wh3_dlc25_nur_random_plague_5
