dilemma_key	choice_key	followup_mission_key
#cdir_events_dilemma_followup_missions_tables;0;db/cdir_events_dilemma_followup_missions_tables/data__		
wh2_dlc10_monster_hunt_10_stage_2	FIRST	wh2_dlc10_monster_hunt_10_stage_3_a
wh2_dlc10_monster_hunt_10_stage_2	SECOND	wh2_dlc10_monster_hunt_10_stage_3_b
wh2_dlc10_qb_nor_monster_hunt_08_stage_2	FIRST	wh2_dlc10_monster_hunt_8_stage_3a_1
wh2_dlc13_wulfhart_hertwig_van_hal_stage_4_dilemma	FIRST	wh2_dlc13_wulfhart_hertwig_van_hal_stage_5a
wh2_dlc13_wulfhart_hertwig_van_hal_stage_4_dilemma	SECOND	wh2_dlc13_wulfhart_hertwig_van_hal_stage_5b
wh2_dlc13_wulfhart_rodrik_languille_stage_2_dilemma	FIRST	wh2_dlc13_wulfhart_rodrik_languille_stage_3
wh2_dlc13_wulfhart_rodrik_languille_stage_2_dilemma	SECOND	wh2_dlc13_wulfhart_rodrik_languille_stage_3
wh2_dlc13_wulfhart_rodrik_languille_stage_4_dilemma	FIRST	wh2_dlc13_wulfhart_rodrik_languille_stage_5
wh2_dlc13_wulfhart_rodrik_languille_stage_4_dilemma	SECOND	wh2_dlc13_wulfhart_rodrik_languille_stage_5
wh2_dlc14_main_brt_repanse_final_battle_choice	FIRST	wh3_main_ie_qb_brt_repanse_defend_or_conquer_crusader
wh2_dlc14_main_brt_repanse_final_battle_choice	SECOND	wh3_main_ie_qb_brt_repanse_defend_or_conquer_guardian
wh2_dlc15_dilemma_dragon_encounter_special_black	THIRD	wh2_dlc15_ME_hef_imrik_black_dragon_stage_1
wh2_dlc15_dilemma_dragon_encounter_special_forest	THIRD	wh2_dlc15_ME_hef_imrik_forest_dragon_stage_1
wh2_dlc15_dilemma_dragon_encounter_special_moon	THIRD	wh2_dlc15_ME_hef_imrik_moon_dragon_stage_1
wh2_dlc15_dilemma_dragon_encounter_special_star	THIRD	wh2_dlc15_ME_hef_imrik_star_dragon_stage_1
wh2_dlc15_dilemma_dragon_encounter_special_sun	THIRD	wh2_dlc15_ME_hef_imrik_sun_dragon_stage_1
wh2_main_dilemma_loyalty_skv_the_skavenblight_question_1	FIRST	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_a
wh_dlc07_brt_final_battle_choice	FIRST	wh_dlc07_qb_brt_louen_errantry_war_chaos_wastes_stage_1_cliff_of_beasts
wh_dlc07_brt_final_battle_choice	SECOND	wh_dlc07_qb_brt_louen_errantry_war_badlands_stage_1_the_lost_idol
wh_dlc08_qb_nor_monster_hunt_00_stage_2	FIRST	wh_dlc08_monster_hunt_0_stage_3a
wh_dlc08_qb_nor_monster_hunt_00_stage_2	SECOND	wh_dlc08_monster_hunt_0_stage_3
wh_dlc08_qb_nor_monster_hunt_02_stage_2	FIRST	wh_dlc08_monster_hunt_2_stage_3a
wh_dlc08_qb_nor_monster_hunt_02_stage_2	SECOND	wh_dlc08_monster_hunt_2_stage_3
wh_dlc08_qb_nor_monster_hunt_04_stage_2	FIRST	wh_dlc08_monster_hunt_4_stage_3a
wh_dlc08_qb_nor_monster_hunt_04_stage_2	SECOND	wh_dlc08_monster_hunt_4_stage_3_1
