bonus_value_id	effect	ritual_chain
#effect_bonus_value_ritual_chains_junctions_tables;0;db/effect_bonus_value_ritual_chains_junctions_tables/data__		
enable	wh3_dlc26_effect_cloak_of_skulls_enable_10	wh3_dlc26_kho_cloak_of_skulls_10
enable	wh3_dlc26_effect_cloak_of_skulls_enable_2	wh3_dlc26_kho_cloak_of_skulls_2
enable	wh3_dlc26_effect_cloak_of_skulls_enable_3	wh3_dlc26_kho_cloak_of_skulls_3
enable	wh3_dlc26_effect_cloak_of_skulls_enable_4	wh3_dlc26_kho_cloak_of_skulls_4
enable	wh3_dlc26_effect_cloak_of_skulls_enable_5	wh3_dlc26_kho_cloak_of_skulls_5
enable	wh3_dlc26_effect_cloak_of_skulls_enable_6	wh3_dlc26_kho_cloak_of_skulls_6
enable	wh3_dlc26_effect_cloak_of_skulls_enable_7	wh3_dlc26_kho_cloak_of_skulls_7
enable	wh3_dlc26_effect_cloak_of_skulls_enable_8	wh3_dlc26_kho_cloak_of_skulls_8
enable	wh3_dlc26_effect_cloak_of_skulls_enable_9	wh3_dlc26_kho_cloak_of_skulls_9
