building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/data__			
	wh2_main_brt_resource_dyes_1	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_dyes_2	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_dyes_3	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_pottery_1	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_pottery_2	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_pottery_3	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_salt_1	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_salt_2	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_salt_3	wh2_dlc09_set_brt_dyes_pottery	false
	wh2_main_brt_resource_gold_1	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_gold_2	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_gold_3	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_iron_1	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_iron_2	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_iron_3	wh2_dlc09_set_brt_iron_gold_mines	false
	wh2_main_brt_resource_pastures_1	wh2_dlc09_set_brt_stables_pastures	false
	wh2_main_brt_resource_pastures_2	wh2_dlc09_set_brt_stables_pastures	false
	wh2_main_brt_resource_pastures_3	wh2_dlc09_set_brt_stables_pastures	false
	wh_main_brt_stables_1	wh2_dlc09_set_brt_stables_pastures	false
	wh_main_brt_stables_2	wh2_dlc09_set_brt_stables_pastures	false
	wh_main_brt_stables_3	wh2_dlc09_set_brt_stables_pastures	false
	wh_main_brt_stables_4	wh2_dlc09_set_brt_stables_pastures	false
	wh_main_brt_stables_5	wh2_dlc09_set_brt_stables_pastures	false
	wh2_main_brt_resource_timber_1	wh2_dlc09_set_brt_timber	false
	wh2_main_brt_resource_timber_2	wh2_dlc09_set_brt_timber	false
	wh2_main_brt_resource_timber_3	wh2_dlc09_set_brt_timber	false
	wh2_dlc09_tmb_growth_1	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_growth_2	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_growth_3	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_income_1	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_income_2	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_income_3	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_public_order_1	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_public_order_2	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_public_order_3	wh2_dlc09_set_tomb_kings_basic_infra	false
	wh2_dlc09_tmb_cavalry_1	wh2_dlc09_set_tomb_kings_cavalry	false
	wh2_dlc09_tmb_cavalry_2	wh2_dlc09_set_tomb_kings_cavalry	false
	wh2_dlc09_tmb_cavalry_3	wh2_dlc09_set_tomb_kings_cavalry	false
	wh2_dlc09_tmb_cavalry_4	wh2_dlc09_set_tomb_kings_cavalry	false
	wh2_dlc09_tmb_chariots_1	wh2_dlc09_set_tomb_kings_chariots	false
	wh2_dlc09_tmb_chariots_2	wh2_dlc09_set_tomb_kings_chariots	false
	wh2_dlc09_tmb_chariots_3	wh2_dlc09_set_tomb_kings_chariots	false
	wh2_dlc09_tmb_hierotitan_1	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_hierotitan_2	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_necrosphinx_1	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_necrosphinx_2	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_scorpions_1	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_ushabti_1	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_ushabti_2	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_warsphinx_1	wh2_dlc09_set_tomb_kings_constructs	false
	wh2_dlc09_tmb_warsphinx_2	wh2_dlc09_set_tomb_kings_constructs	false
wh2_dlc09_tmb_defence_major		wh2_dlc09_set_tomb_kings_defence	false
wh2_dlc09_tmb_defence_minor		wh2_dlc09_set_tomb_kings_defence	false
wh2_dlc09_tmb_defence_norsca		wh2_dlc09_set_tomb_kings_defence	false
wh2_main_foreign_slot_discovery_tmb		wh2_dlc09_set_tomb_kings_defence	false
	wh2_dlc09_tmb_citadel_1	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_citadel_2	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_estate_1	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_growth_1	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_growth_2	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_growth_3	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_income_1	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_income_2	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_income_3	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_public_order_1	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_public_order_2	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_public_order_3	wh2_dlc09_set_tomb_kings_economy	false
	wh2_dlc09_tmb_citadel_1	wh2_dlc09_set_tomb_kings_estate_citadel	false
	wh2_dlc09_tmb_citadel_2	wh2_dlc09_set_tomb_kings_estate_citadel	false
	wh2_dlc09_tmb_estate_1	wh2_dlc09_set_tomb_kings_estate_citadel	false
	wh2_dlc09_tmb_defence_major_1	wh2_dlc09_set_tomb_kings_garrison	false
	wh2_dlc09_tmb_defence_major_2	wh2_dlc09_set_tomb_kings_garrison	false
	wh2_dlc09_tmb_defence_major_3	wh2_dlc09_set_tomb_kings_garrison	false
	wh2_dlc09_tmb_defence_minor_1	wh2_dlc09_set_tomb_kings_garrison	false
	wh2_dlc09_tmb_defence_minor_2	wh2_dlc09_set_tomb_kings_garrison	false
	wh2_dlc09_tmb_infantry_1	wh2_dlc09_set_tomb_kings_infantry	false
	wh2_dlc09_tmb_infantry_2	wh2_dlc09_set_tomb_kings_infantry	false
	wh2_dlc09_tmb_infantry_3	wh2_dlc09_set_tomb_kings_infantry	false
wh2_dlc09_tmb_estate		wh2_dlc09_set_tomb_kings_infrastructure	false
wh2_dlc09_tmb_growth		wh2_dlc09_set_tomb_kings_infrastructure	false
wh2_dlc09_tmb_income		wh2_dlc09_set_tomb_kings_infrastructure	false
wh2_dlc09_tmb_public_order		wh2_dlc09_set_tomb_kings_infrastructure	false
wh2_dlc09_tmb_arkhan_burial_mound		wh2_dlc09_set_tomb_kings_military_recruitment	false
wh2_dlc09_tmb_cavalry		wh2_dlc09_set_tomb_kings_military_recruitment	false
wh2_dlc09_tmb_chariots		wh2_dlc09_set_tomb_kings_military_recruitment	false
wh2_dlc09_tmb_infantry		wh2_dlc09_set_tomb_kings_military_recruitment	false
wh2_dlc09_tmb_citadel		wh2_dlc09_set_tomb_kings_military_support	false
wh2_dlc09_tmb_hierotitan		wh2_dlc09_set_tomb_kings_military_support	false
wh2_dlc09_tmb_necrosphinx		wh2_dlc09_set_tomb_kings_military_support	false
wh2_dlc09_tmb_scorpions		wh2_dlc09_set_tomb_kings_military_support	false
wh2_dlc09_tmb_ushabti		wh2_dlc09_set_tomb_kings_military_support	false
wh2_dlc09_tmb_warsphinx		wh2_dlc09_set_tomb_kings_military_support	false
	wh2_dlc09_tmb_cavalry_1	wh2_dlc09_set_tomb_kings_recruitment	false
	wh2_dlc09_tmb_cavalry_2	wh2_dlc09_set_tomb_kings_recruitment	false
	wh2_dlc09_tmb_cavalry_3	wh2_dlc09_set_tomb_kings_recruitment	false
	wh2_dlc09_tmb_infantry_1	wh2_dlc09_set_tomb_kings_recruitment	false
	wh2_dlc09_tmb_infantry_2	wh2_dlc09_set_tomb_kings_recruitment	false
	wh2_dlc09_tmb_infantry_3	wh2_dlc09_set_tomb_kings_recruitment	false
	wh_main_dwf_slayer_1	wh2_dlc11_set_dwarf_slayer	false
	wh_main_dwf_slayer_2	wh2_dlc11_set_dwarf_slayer	false
	wh_main_special_great_slayer_shrine	wh2_dlc11_set_dwarf_slayer	false
	wh_main_special_great_slayer_shrine_1	wh2_dlc11_set_dwarf_slayer	false
	wh_main_special_great_slayer_shrine_2	wh2_dlc11_set_dwarf_slayer	false
wh2_dlc15_special_settlement_massif_orcal_grn		wh2_dlc11_set_greenskin_settlement	false
wh_main_GREENSKIN_settlement_major		wh2_dlc11_set_greenskin_settlement	false
wh_main_GREENSKIN_settlement_minor		wh2_dlc11_set_greenskin_settlement	false
wh_main_special_settlement_black_crag		wh2_dlc11_set_greenskin_settlement	false
wh_main_special_settlement_eight_peaks		wh2_dlc11_set_greenskin_settlement	false
wh_main_special_settlement_karaz_a_karak_greenskins		wh2_dlc11_set_greenskin_settlement	false
	wh2_main_special_shrine_of_khaine_hef_1	wh2_dlc11_set_hef_shrine_of_khaine	false
	wh2_main_special_shrine_of_khaine_hef_base	wh2_dlc11_set_hef_shrine_of_khaine	false
	wh2_dlc11_vampirecoast_ship_captains_cabin_1	wh2_dlc11_set_newhorde_cst	false
	wh2_dlc11_vampirecoast_ship_main_deck_1	wh2_dlc11_set_newhorde_cst	false
wh2_dlc11_special_ship_aranessa		wh2_dlc11_set_ship_unique	false
wh2_dlc11_special_ship_cylostra		wh2_dlc11_set_ship_unique	false
wh2_dlc11_special_ship_harkon		wh2_dlc11_set_ship_unique	false
wh2_dlc11_special_ship_harpoon		wh2_dlc11_set_ship_unique	false
wh2_dlc11_special_ship_noctilus		wh2_dlc11_set_ship_unique	false
wh2_dlc11_vampirecoast_defence_garrison		wh2_dlc11_set_vampire_coast_defence	false
wh2_dlc11_vampirecoast_defence_norsca		wh2_dlc11_set_vampire_coast_defence	false
wh2_dlc11_vampirecoast_defence_walls		wh2_dlc11_set_vampire_coast_defence	false
wh2_main_foreign_slot_discovery_cst		wh2_dlc11_set_vampire_coast_defence	false
wh2_dlc11_foreign_income		wh2_dlc11_set_vampire_coast_foreign_1	false
wh2_dlc11_foreign_trade		wh2_dlc11_set_vampire_coast_foreign_1	false
