effect	level	effect_bundle	cost
#purchasable_effect_levels_tables;0;db/purchasable_effect_levels_tables/data__			
wh2_main_purchasable_effect_menace_below	0	wh2_main_bundle_pre_battle_purchase_menace_below_0	
wh2_main_purchasable_effect_menace_below	1	wh2_main_bundle_pre_battle_purchase_menace_below_1	wh2_main_purchasable_effect_menace_below_1
wh2_main_purchasable_effect_menace_below	2	wh2_main_bundle_pre_battle_purchase_menace_below_2	wh2_main_purchasable_effect_menace_below_2
wh2_main_purchasable_effect_menace_below	3	wh2_main_bundle_pre_battle_purchase_menace_below_3	wh2_main_purchasable_effect_menace_below_3
wh2_main_purchasable_effect_menace_below	4	wh2_main_bundle_pre_battle_purchase_menace_below_4	wh2_main_purchasable_effect_menace_below_4
wh2_main_purchasable_effect_menace_below	5	wh2_main_bundle_pre_battle_purchase_menace_below_5	wh2_main_purchasable_effect_menace_below_5
wh2_main_purchasable_effect_menace_below_clan_mors	0	wh2_main_bundle_pre_battle_purchase_menace_below_0	
wh2_main_purchasable_effect_menace_below_clan_mors	1	wh2_main_bundle_pre_battle_purchase_menace_below_1	wh3_main_purchasable_effect_menace_below_mors_1
wh2_main_purchasable_effect_menace_below_clan_mors	10	wh3_main_bundle_pre_battle_purchase_menace_below_10	wh3_main_purchasable_effect_menace_below_mors_10
wh2_main_purchasable_effect_menace_below_clan_mors	2	wh2_main_bundle_pre_battle_purchase_menace_below_2	wh3_main_purchasable_effect_menace_below_mors_2
wh2_main_purchasable_effect_menace_below_clan_mors	3	wh2_main_bundle_pre_battle_purchase_menace_below_3	wh3_main_purchasable_effect_menace_below_mors_3
wh2_main_purchasable_effect_menace_below_clan_mors	4	wh2_main_bundle_pre_battle_purchase_menace_below_4	wh3_main_purchasable_effect_menace_below_mors_4
wh2_main_purchasable_effect_menace_below_clan_mors	5	wh2_main_bundle_pre_battle_purchase_menace_below_5	wh3_main_purchasable_effect_menace_below_mors_5
wh2_main_purchasable_effect_menace_below_clan_mors	6	wh3_main_bundle_pre_battle_purchase_menace_below_6	wh3_main_purchasable_effect_menace_below_mors_6
wh2_main_purchasable_effect_menace_below_clan_mors	7	wh3_main_bundle_pre_battle_purchase_menace_below_7	wh3_main_purchasable_effect_menace_below_mors_7
wh2_main_purchasable_effect_menace_below_clan_mors	8	wh3_main_bundle_pre_battle_purchase_menace_below_8	wh3_main_purchasable_effect_menace_below_mors_8
wh2_main_purchasable_effect_menace_below_clan_mors	9	wh3_main_bundle_pre_battle_purchase_menace_below_9	wh3_main_purchasable_effect_menace_below_mors_9
