from	to	automatic
#military_force_type_conversions_tables;0;db/military_force_type_conversions_tables/data__		
ARMY	CHARACTER_BOUND_HORDE	false
ARMY	DISCIPLE_ARMY	false
ARMY	HORDE	true
ARMY	MALAKAI_BOUND_HORDE	false
ARMY	OGRE_CAMP	false
ARMY	OXYOTL	true
ARMY_UNIQUE_LOCKED_NO_UPKEEP	ARMY	true
ARMY_UNIQUE_NO_UPKEEP	ARMY	true
CHARACTER_BOUND_HORDE	ARMY	false
HORDE	ARMY	true
HORDE	CHARACTER_BOUND_HORDE	false
HORDE	HORDE_KHAZRAK	false
HORDE	HORDE_MALAGOR	false
HORDE	HORDE_MORGHUR	false
HORDE	HORDE_TAUROX	false
HORDE	MALAKAI_BOUND_HORDE	false
HORDE	NAKAI_BOUND_HORDE	false
HORDE_KHAZRAK	HORDE	false
HORDE_MALAGOR	HORDE	false
HORDE_MORGHUR	HORDE	false
HORDE_TAUROX	HORDE	false
MALAKAI_BOUND_HORDE	ARMY	false
NAKAI_BOUND_HORDE	ARMY	true
NAKAI_BOUND_HORDE	HORDE	false
OXYOTL	ARMY	false
OXYOTL	HORDE	true
SEA_LOCKED_HORDE	ARMY	false
