key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/data__																																																									
placeholder	artillery	artillery_default		shell_spin	1	low	420	60	60	-1.0000	10.0000	0.0000	25	2	true	false	0.1200	18.0000	300.0000	40.0000	0	0	stone			0.4000	true		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	45	low	-1	false	false	true	false	1	false	false	false	true	1.0000		false	1.2000	0.4000		placeholder
wh2_cst_handcannon_bullet	musket	small_arm_default		none	3	low	90	0	88	100.0000	10.0000	2.0000	4	12	false	false	0.0500	14.0000	45.0000	3.5000	0	0	wh_emp_rifle_bullet		wh2_bullet_multi_impact_large	-1.0000	false		-1.0000	1	0.0000	7.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.4200	0.4000		placeholder
wh2_cst_necrofex_colossus_cannon_ball	artillery	artillery_default		none	4	low	330	0	45	110.0000	20.0000	2.0000	35	145	true	false	0.2000	12.0000	275.0000	8.5000	0	0	wh2_dlc11_cst_necrofex_colossus_cannonball		wh_cannon_necrofex_cannonball_normal	0.3000	true		-1.0000	1	0.0000	340.0000			0.0000	false	true	true	45	very_high_low_entity	700	false	false	true	false	1	true	false	true	true	1.5000		false	0.0000	0.4000		placeholder
wh2_cst_necrofex_colossus_flame	artillery	artillery_flammable	wh2_cst_necrofex_colossus_flame_explosion	none	1	low	110	0	88	54.0000	60.0000	0.0000	10	25	false	false	1.0000	8.0000	75.0000	12.0000	0	0	wh2_dlc11_necrofex_flamethrower		wh2_dlc11_cst_necrofex_colossus_flamethrower_fire	0.0000	true	wh_main_unit_contact_morale	3.0000	4	0.3500	60.0000			1.0000	false	true	true	45	medium	170	true	true	false	false	1	true	false	false	true	1.2500		false	0.7800	0.4000		placeholder
wh2_cst_rifle_bullet	musket	small_arm_default		none	1	low	145	0	88	100.0000	10.0000	0.0000	8	20	false	false	0.0500	13.0000	90.0000	3.5000	0	0	wh_emp_rifle_bullet		wh_bullet	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.4200	0.4000		placeholder
wh2_cst_rifle_deck_gunner_bullet	musket	small_arm_default		none	1	low	245	0	88	100.0000	10.0000	0.0000	8	39	false	false	0.0500	11.0000	145.0000	1.8000	0	0	wh_emp_rifle_bullet		wh2_bullet_multi_impact_large	-1.0000	false	wh2_dlc09_unit_contact_shieldbreaker	-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	low	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.4200	0.4000		placeholder
wh2_cst_rifle_deck_gunner_bullet_ror	musket	small_arm_default		none	1	low	245	0	88	100.0000	10.0000	0.0000	6	30	false	false	0.0500	11.0000	145.0000	1.8000	0	0	wh2_dlc11_cst_deck_gunner_ror_bullet		wh2_dlc11_cst_Deck_Gun_RoR_Magical	-1.0000	false	wh_dlc06_unit_contact_discouraged	-1.0000	1	0.0000	6.0000			0.0000	true	true	true	45	medium_1	300	false	false	false	false	1	false	false	false	true	0.5000		false	0.4200	0.4000		placeholder
wh2_dlc09_casket_of_souls	artillery	artillery_explosive	wh2_dlc09_casket_of_souls	shell_spin	7	fixed	440	45	88	50.0000	20.0000	7.0000	40	90	false	false	1.0000	18.0000	340.0000	70.0000	0	0	wh2_dlc09_casket_of_souls_projectile		wh2_casket_of_souls	0.7000	true		20.0000	1	0.0000	200.0000			0.0000	true	true	true	35	high_magic	650	false	false	false	true	1	true	false	true	true	1.2500		false	0.0000	0.4000		placeholder
wh2_dlc09_tmb_skull_projectile	artillery	artillery_default	wh2_dlc09_screaming_skull_explosion	none	1	low	380	35	50	67.0000	10.0000	0.0000	30	120	false	false	0.4000	16.0000	320.0000	80.0000	0	0	wh2_dlc09_tmb_skull_projectile		wh2_catapult_screamingskull	0.6000	true	wh_main_unit_contact_overhead_morale	-1.0000	1	0.0000	120.0000			0.0000	true	true	true	45	large_2	700	false	true	false	true	1	false	false	true	true	1.5000		false	0.0000	0.4000		placeholder
