valid_group	military_force_type
#agent_subtype_military_force_creation_overrides_tables;1;db/agent_subtype_military_force_creation_overrides_tables/data__	
wh2_dlc11_character_bound_horde_agents	CHARACTER_BOUND_HORDE
wh2_dlc13_hunter_nakai_bound_horde_agents	NAKAI_BOUND_HORDE
wh2_dlc17_khazrak_bound_horde_agents	HORDE_KHAZRAK
wh2_dlc17_malagor_bound_horde_agents	HORDE_MALAGOR
wh2_dlc17_morghur_bound_horde_agents	HORDE_MORGHUR
wh2_dlc17_oxyotl_agent	OXYOTL
wh2_dlc17_oxyotl_agent_in_nakai_faction	HORDE
wh2_dlc17_taurox_bound_horde_agents	HORDE_TAUROX
wh2_gotrek_force_group	ARMY_UNIQUE_NO_UPKEEP
wh2_main_sea_locked_horde_agents	SEA_LOCKED_HORDE
wh3_dlc23_chaos_dwarfs_hobgoblin_summoned_army	DISCIPLE_ARMY
wh3_dlc23_chd_convoy	CONVOY
wh3_main_cth_caravan	CARAVAN
wh3_main_khorne_summoned_army	DISCIPLE_ARMY
wh3_main_ogre_camp	OGRE_CAMP
wh3_main_slaanesh_disciple_army	DISCIPLE_ARMY
