option	policy_id	last_stand_priority	total_war_priority	war_priority	tension_priority	peace_priority
#cai_personality_occupation_decision_priorities_tables;2;db/cai_personality_occupation_decision_priorities_tables/data__						
occupation_decision_colonise	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_colonise_and_vassal	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_establish_foreign_slot	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_gift_to_another_faction	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_liberate	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_loot	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_occupy	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_occupy_and_vassal	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_raze	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_raze_without_occupy	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_resettle	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_resettle_and_vassal	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_sack	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
occupation_decision_vassal	dont_use	1.0000	1.0000	1.0000	1.0000	1.0000
