campaign_potential	base_value	random_roll_lower_bound	random_roll_median	random_roll_upper_bound
#faction_potential_categories_tables;0;db/faction_potential_categories_tables/data__				
chaos_cathay_yuan_bo	150	0	25	50
chaos_chaosdwarfs_astragoth	125	0	25	50
chaos_chaosdwarfs_conclave_of_sorceres	175	0	0	0
chaos_chaosdwarfs_drazhoath	125	0	25	50
chaos_chaosdwarfs_zhatan	125	0	25	50
chaos_chs_azazel	150	0	25	50
chaos_chs_festus	150	0	25	50
chaos_chs_valkia	150	0	25	50
chaos_chs_vilitch	150	0	25	50
chaos_cth_the_northern_provinces	150	0	25	50
chaos_cth_the_western_provinces	150	0	25	50
chaos_dae_daemon_prince	150	0	25	50
chaos_dwarfs_malakai	150	0	25	50
chaos_empire_elspeth	150	0	25	50
chaos_kho_exiles_of_khorne	150	0	25	50
chaos_kislev_ostankya	150	0	25	50
chaos_ksl_the_great_orthodoxy	200	0	15	30
chaos_ksl_the_ice_court	200	0	15	30
chaos_ksl_ursun_revivalists	150	0	25	50
chaos_nur_poxmakers_of_nurgle	150	0	25	50
chaos_nur_tamurkhan	150	0	25	50
chaos_ogr_disciples_of_the_maw	150	0	25	50
chaos_ogr_goldtooth	150	0	25	50
chaos_sla_seducers_of_slaanesh	150	0	25	50
chaos_tze_oracles_of_tzeentch	200	0	15	30
chaos_tzeentch_changeling	150	0	25	50
combi_beastmen_khazrak	175	0	30	60
combi_beastmen_malagor	175	0	30	60
combi_beastmen_morghur	175	0	30	60
combi_beastmen_taurox	175	0	30	60
combi_bretonnia_alberic	175	0	30	60
combi_bretonnia_fayenchantress	175	0	30	60
combi_bretonnia_louen	185	0	40	60
combi_bretonnia_repanse	175	0	30	60
combi_cathay_miao_ying	185	0	40	60
combi_cathay_yuan_bo	175	0	30	60
combi_cathay_zhao_ming	185	0	30	60
combi_chaos_settled_archaon	210	0	30	60
combi_chaos_settled_azazel	175	0	30	60
combi_chaos_settled_belakor	175	0	30	60
combi_chaos_settled_festus	175	0	30	60
combi_chaos_settled_kholek	175	0	30	60
combi_chaos_settled_sigvald	175	0	30	60
combi_chaos_settled_valkia	175	0	30	60
combi_chaos_settled_vilitch	200	0	30	60
combi_chaosdwarfs_astragoth	175	0	30	60
combi_chaosdwarfs_conclave_of_sorcerers	200	0	30	60
combi_chaosdwarfs_drazhoath	175	0	30	60
combi_chaosdwarfs_zhatan	175	0	30	60
combi_daemonprince	200	0	30	60
combi_darkelf_hellebron	175	0	30	60
combi_darkelf_lokhir	175	0	30	60
combi_darkelf_malekith	200	0	45	60
combi_darkelf_malus	175	0	30	60
combi_darkelf_morathi	190	0	40	60
combi_darkelf_rakarth	160	0	30	60
combi_dwarf_belegar	175	0	30	60
combi_dwarf_grombrindal	175	0	30	60
combi_dwarf_thorek	175	0	30	60
combi_dwarf_throgrim	175	0	30	60
combi_dwarf_ungrim	175	0	30	60
combi_dwarfs_malakai	175	0	30	60
combi_empire_elspeth	175	0	30	60
combi_empire_franz	185	0	45	60
combi_empire_gelt	175	0	30	60
combi_empire_volkmar	175	0	30	60
combi_empire_wulfhart	150	0	30	60
combi_greenskin_azhag	190	0	30	60
combi_greenskin_gorbad	175	0	30	60
combi_greenskin_grimgor	175	0	40	60
combi_greenskin_grom	175	0	30	60
combi_greenskin_skarsnik	185	0	30	60
combi_greenskin_wurrzag	185	0	30	60
combi_highelf_alarielle	175	0	30	60
combi_highelf_alithanar	150	0	30	60
combi_highelf_eltharion	175	0	30	60
combi_highelf_imrik	175	0	30	60
combi_highelf_teclis	175	0	30	60
combi_highelf_tyrion	175	0	40	60
combi_khorne_arbaal	175	0	30	60
