key	icon_path
#unit_purchasable_effects_categories_tables;0;db/unit_purchasable_effects_categories_tables/data__	
Instability	icon_flabo_instability.png
armour	icon_salvage_armour.png
armour_break	icon_armour_break.png
arrow	icon_salvage_bow.png
artillery_ammunition	icon_artillery_ammunition.png
augment	icon_flabo_augment.png
axe_weapon	icon_axe_weapon.png
bag	icon_salvage_bag.png
birch_aspect	icon_aspect_birch.png
breed	icon_flabo_breed.png
burning_vortex	icon_burning_vortex.png
explosive_ammunition	icon_explosive_ammunition.png
flamethrower	icon_flamethrower.png
flask	icon_salvage_flask.png
gene	icon_flabo_gene.png
meta	icon_flabo_meta.png
mount	icon_salvage_mount.png
oak_aspect	icon_aspect_oak.png
placeholder	somewhere
resistance	icon_resistance.png
weapon	icon_salvage_weapon.png
willow_aspect	icon_aspect_willow.png
