ancillary	ownership_content_pack
#ancillary_ownership_content_pack_junctions_tables;0;db/ancillary_ownership_content_pack_junctions_tables/data__	
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_death_mnur_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_metal_mtze_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_nurgle_mnur_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_metal_mtze_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_shadows_msla_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_slaanesh_msla_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_tzeentch_mtze_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_cha_sorcerer_lord_death_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_cha_sorcerer_lord_fire_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_cha_sorcerer_lord_metal_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_cha_sorcerer_lord_shadows_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_sorcerer_death_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_sorcerer_fire_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_sorcerer_metal_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_chs_sorcerer_shadows_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_kho_cultist_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_nur_cultist_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_sla_cultist_warshrine	wh3_dlc20_champions
wh3_dlc20_anc_mount_tze_cultist_warshrine	wh3_dlc20_champions
wh3_dlc23_anc_arcane_item_chalice_of_blood_and_darkness	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_arcane_item_daemonspite_crucible	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_arcane_item_dweomer_leach_orb	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_arcane_item_spell_wrought_sceptre	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_armour_armour_of_bazherak_the_cruel	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_armour_armour_of_the_forge	wh3_dlc23_chaos_dwarfs
wh3_dlc23_anc_armour_blackshard_armour	wh3_dlc23_chaos_dwarfs
