id	character_trait_level	is_removal	payload
#campaign_payload_character_trait_change_components_tables;0;db/campaign_payload_character_trait_change_components_tables/data__			
1143309718	wh3_main_trait_ataman_frost_maiden_ally	false	wh3_main_campaign_payload_ataman_loyalties_revealed_first
1155410931	wh3_main_trait_ataman_pioneer	false	wh3_main_campaign_payload_ataman_innovate_or_die_second
1170114616	wh3_main_trait_ataman_province_first	false	wh3_main_campaign_payload_ataman_the_black_glove_second
1230015658	wh3_main_trait_ataman_drawer_of_blood	false	wh3_main_campaign_payload_ataman_blood_money_second
1360486081	wh3_main_trait_ataman_bolsterer	false	wh3_main_campaign_payload_ataman_innovate_or_die_first
138472564	wh3_main_trait_ataman_purger	false	wh3_main_campaign_payload_ataman_within_or_without_second
1387244412	wh3_main_trait_ataman_favours_cavalry	false	wh3_main_campaign_payload_ataman_the_hunt_second
1456573210	wh3_main_trait_ataman_investor	false	wh3_main_campaign_payload_ataman_blood_money_first
1496842324	wh3_main_trait_ataman_a_boon_for_all	false	wh3_main_campaign_payload_ataman_judgement_second
1560310494	wh3_main_trait_ataman_traditionalist	false	wh3_main_campaign_payload_ataman_the_black_glove_first
1577475904	wh3_main_trait_ataman_favours_infantry	false	wh3_main_campaign_payload_ataman_the_hunt_first
1610538473	wh3_main_trait_ataman_drillmaster	false	wh3_main_campaign_payload_ataman_labour_shortage_first
1645749979	wh3_main_trait_ataman_orthodoxy_loyalist	false	wh3_main_campaign_payload_ataman_loyalties_revealed_second
1650065764	wh3_main_trait_ataman_observant	false	wh3_main_campaign_payload_ataman_time_of_dazh_first
1753167413	wh3_main_trait_ataman_recruiter	false	wh3_main_campaign_payload_ataman_kislev_still_needs_you_second
1817998132	wh3_main_trait_ataman_seeker_of_foes	false	wh3_main_campaign_payload_ataman_time_of_dazh_second
181953108	wh3_main_trait_ataman_ice_court_informer	false	wh3_main_campaign_payload_ataman_loyalties_proven_first
1875280191	wh3_main_trait_ataman_master_builder	false	wh3_main_campaign_payload_ataman_labour_shortage_second
1982621436	wh3_main_trait_ataman_fiscally_prudent	false	wh3_main_campaign_payload_ataman_kislevian_coin_first
230271686	wh3_main_trait_ataman_horse_comrade	false	wh3_main_campaign_payload_ataman_within_or_without_first
449729869	wh3_main_trait_ataman_pragmatic_defender	false	wh3_main_campaign_payload_ataman_kislev_still_needs_you_first
589655196	wh3_main_trait_ataman_reverent_patriarch	false	wh3_main_campaign_payload_ataman_loyalties_proven_second
832379737	wh3_main_trait_ataman_banisher	false	wh3_main_campaign_payload_ataman_seeking_refuge_first
916423853	wh3_main_trait_ataman_reward_the_one	false	wh3_main_campaign_payload_ataman_judgement_first
961468258	wh3_main_trait_ataman_good_host	false	wh3_main_campaign_payload_ataman_seeking_refuge_second
99879754	wh3_main_trait_ataman_defender	false	wh3_main_campaign_payload_ataman_kislevian_coin_second
