key	building_synergies_policy	province_specialisation_template_assignment_policy	strategic_context_template_assignment_policy
#cai_personalities_construction_system_policies_tables;0;db/cai_personalities_construction_system_policies_tables/data__			
coc_construction_system_policy	cai_cs_synergy_policy_default	cai_cs_coc_province_template_assignment_policy	cai_cs_coc_context_template_assignment_policy
default_construction_system_policy	cai_cs_synergy_policy_default	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
economist_construction_system_policy	cai_cs_synergy_policy_default	cai_cs_economist_province_template_assignment_policy	cai_cs_economist_context_template_assignment_policy
militarist_construction_system_policy	cai_cs_synergy_policy_default	cai_cs_militaristic_province_template_assignment_policy	cai_cs_militaristic_context_template_assignment_policy
wh3_dlc25_dwf_malakai_construction_system_policy	cai_cs_synergy_policy_dlc25_dwf_malakai	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
wh3_dlc25_dwf_thorek_construction_system_policy	cai_cs_synergy_policy_dlc25_dwf_thorek	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
wh3_dlc25_dwf_thorgrim_construction_system_policy	cai_cs_synergy_policy_dlc25_dwf_thorgrim	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
wh3_dlc25_dwf_ungrim_construction_system_policy	cai_cs_synergy_policy_dlc25_dwf_ungrim	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
wh3_dlc25_emp_elspeth_construction_system_policy	cai_cs_synergy_policy_dlc25_emp_elspeth	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
wh3_dlc25_emp_franz_construction_system_policy	cai_cs_synergy_policy_dlc25_emp_franz	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
wh3_dlc25_emp_gelt_construction_system_policy	cai_cs_synergy_policy_dlc25_emp_gelt	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
wh3_dlc25_nur_kugath_construction_system_policy	cai_cs_synergy_policy_dlc25_nur_kugath	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
wh3_dlc25_nur_tamurkhan_construction_system_policy	cai_cs_synergy_policy_dlc25_nur_tamurkhan	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
wh3_dlc_25_emp_volkmar_construnction_system_policy	cai_cs_synergy_policy_dlc25_emp_volkmar	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
wh3_prologue_construction_system_policy	cai_cs_synergy_policy_wh3_prologue	cai_cs_basic_province_template_assignment_policy	cai_cs_basic_context_template_assignment_policy
