current_treaty_key	can_be_cancelled	diplomatic_option_key
#diplomacy_current_treaties_to_diplomatic_options_tables;0;db/diplomacy_current_treaties_to_diplomatic_options_tables/data__		
current_treaty_at_war	false	diplomatic_option_declare_war
current_treaty_client_of_player	true	diplomatic_option_client_state
current_treaty_defensive_alliance	true	diplomatic_option_defensive_alliance
current_treaty_giving_soft_military_access_indefinite	true	diplomatic_option_soft_access
current_treaty_giving_soft_military_access_turns	true	diplomatic_option_soft_access
current_treaty_has_soft_military_access_indefinite	true	diplomatic_option_soft_access
current_treaty_has_soft_military_access_turns	true	diplomatic_option_soft_access
current_treaty_military_alliance	true	diplomatic_option_military_alliance
current_treaty_non_aggression_pact	true	diplomatic_option_nonaggression_pact
current_treaty_payments_paying	false	diplomatic_option_payment
current_treaty_payments_receiving	false	diplomatic_option_payment
current_treaty_peace	false	diplomatic_option_peace_treaty
current_treaty_trade_agreement	true	diplomatic_option_trade_agreement
current_treaty_vassal_of_non_player	false	diplomatic_option_vassal
current_treaty_vassal_of_player	true	diplomatic_option_vassal
