key	level	trait	threshold_points
#character_trait_levels_tables;0;db/character_trait_levels_tables/data__			
wh2_dlc09_dummy_trait_dynasty_1	1	wh2_dlc09_dummy_trait_dynasty_1	1
wh2_dlc09_dummy_trait_dynasty_2	1	wh2_dlc09_dummy_trait_dynasty_2	1
wh2_dlc09_dummy_trait_dynasty_3	1	wh2_dlc09_dummy_trait_dynasty_3	1
wh2_dlc09_dummy_trait_dynasty_4	1	wh2_dlc09_dummy_trait_dynasty_4	1
wh2_dlc09_dummy_trait_dynasty_5	1	wh2_dlc09_dummy_trait_dynasty_5	1
wh2_dlc09_dummy_trait_dynasty_6	1	wh2_dlc09_dummy_trait_dynasty_6	1
wh2_dlc09_trait_benevolence	1	wh2_dlc09_trait_benevolence	1
wh2_dlc09_trait_defeated_arkhan	1	wh2_dlc09_trait_defeated_arkhan	1
wh2_dlc09_trait_defeated_khalida	1	wh2_dlc09_trait_defeated_khalida	1
wh2_dlc09_trait_defeated_khatep	1	wh2_dlc09_trait_defeated_khatep	1
wh2_dlc09_trait_defeated_settra	1	wh2_dlc09_trait_defeated_settra	1
wh2_dlc09_trait_defeated_settra_as_surtha	1	wh2_dlc09_trait_defeated_settra_as_surtha	1
wh2_dlc09_trait_defeated_surtha_as_settra	1	wh2_dlc09_trait_defeated_surtha_as_settra	1
wh2_dlc09_trait_defeated_tretch	1	wh2_dlc09_trait_defeated_tretch	1
wh2_dlc09_trait_merciless	1	wh2_dlc09_trait_merciless	1
wh2_dlc09_trait_patience	1	wh2_dlc09_trait_patience	1
wh2_dlc09_trait_settra_title_1	1	wh2_dlc09_trait_settra_title	1
wh2_dlc09_trait_settra_title_2	2	wh2_dlc09_trait_settra_title	2
wh2_dlc09_trait_settra_title_3	3	wh2_dlc09_trait_settra_title	3
wh2_dlc09_trait_settra_title_start	1	wh2_dlc09_trait_settra_title_start	1
wh2_dlc09_trait_spymaster	1	wh2_dlc09_trait_spymaster	1
wh2_dlc10_trait_alarielle_chaos_1	1	wh2_dlc10_trait_alarielle_chaos	1
wh2_dlc10_trait_alarielle_chaos_2	2	wh2_dlc10_trait_alarielle_chaos	2
wh2_dlc10_trait_alarielle_chaos_3	3	wh2_dlc10_trait_alarielle_chaos	3
