building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/data__						
wh2_dlc09_special_black_tower_of_arkhan_other	wh2_dlc09_effect_army_ability_enable_legionary_barrage		region_to_force_own_factionwide	1.0000	1.0000	0.0000
wh2_dlc09_special_black_tower_of_arkhan_other	wh2_dlc09_pooled_resource_canopic_jars_buildings		region_to_region_own	5.0000	5.0000	0.0000
wh2_dlc09_special_black_tower_of_arkhan_other	wh_main_effect_economy_gdp_mod_all		province_to_region_own	10.0000	5.0000	0.0000
wh2_dlc09_special_black_tower_of_arkhan_other	wh_main_effect_public_order_base		province_to_province_own_unseen	5.0000	3.0000	0.0000
wh2_dlc09_special_black_tower_of_arkhan	wh2_dlc09_effect_army_ability_enable_legionary_barrage		region_to_force_own_factionwide	1.0000	1.0000	0.0000
wh2_dlc09_special_black_tower_of_arkhan	wh2_dlc09_pooled_resource_canopic_jars_buildings		region_to_region_own	20.0000	20.0000	0.0000
wh2_dlc09_special_black_tower_of_arkhan	wh_main_effect_economy_gdp_mod_all		province_to_region_own	10.0000	5.0000	0.0000
wh2_dlc09_special_black_tower_of_arkhan	wh_main_effect_public_order_base		province_to_province_own_unseen	10.0000	5.0000	0.0000
wh2_dlc09_special_black_tower_of_arkhan	wh_main_effect_public_order_global		province_to_province_own_factionwide	2.0000	1.0000	0.0000
wh2_dlc09_special_pyramid_alcadizaar	wh2_dlc09_pooled_resource_canopic_jars_buildings		region_to_region_own	10.0000	10.0000	0.0000
wh2_dlc09_special_pyramid_alcadizaar	wh3_main_effect_force_stat_physical_resistance_vs_vampire_counts		faction_to_force_own_unseen	10.0000	5.0000	0.0000
wh2_dlc09_special_pyramid_alcadizaar	wh3_main_effect_winds_of_magic_pool_cap		faction_to_force_own	5.0000	5.0000	0.0000
wh2_dlc09_special_pyramid_alcadizaar	wh_main_effect_character_mod_ancillary_steal		faction_to_character_own_unseen	10.0000	5.0000	0.0000
wh2_dlc09_special_pyramid_alcadizaar	wh_main_effect_force_all_campaign_post_battle_loot_mod		faction_to_faction_own	10.0000	5.0000	0.0000
wh2_dlc09_special_pyramid_alcadizaar	wh_main_effect_public_order_global		faction_to_province_own	1.0000	1.0000	0.0000
wh2_dlc09_special_pyramid_amenemhetum	wh2_dlc09_pooled_resource_canopic_jars_buildings		region_to_region_own	10.0000	10.0000	0.0000
wh2_dlc09_special_pyramid_amenemhetum	wh3_dlc21_effect_sea_lane_travel_time		faction_to_faction_own_unseen	-1.0000	0.0000	0.0000
wh2_dlc09_special_pyramid_amenemhetum	wh3_main_effect_winds_of_magic_pool_cap		faction_to_force_own	5.0000	5.0000	0.0000
wh2_dlc09_special_pyramid_amenemhetum	wh_main_effect_economy_trade_good_commodity_mod	FactionHasTrade	faction_to_faction_own	5.0000	3.0000	0.0000
wh2_dlc09_special_pyramid_amenemhetum	wh_main_effect_economy_trade_tariff_mod	FactionHasTrade	faction_to_faction_own_unseen	5.0000	3.0000	0.0000
wh2_dlc09_special_pyramid_amenemhetum	wh_main_effect_public_order_global		faction_to_province_own	1.0000	1.0000	0.0000
wh2_dlc09_special_pyramid_khatep	wh2_dlc09_pooled_resource_canopic_jars_buildings		region_to_region_own	10.0000	10.0000	0.0000
wh2_dlc09_special_pyramid_khatep	wh2_main_effect_building_construction_time_mod_all		faction_to_region_own	-20.0000	-10.0000	0.0000
wh2_dlc09_special_pyramid_khatep	wh3_main_effect_force_stat_unit_mass_necropolis_knights		faction_to_force_own_unseen	20.0000	10.0000	0.0000
wh2_dlc09_special_pyramid_khatep	wh3_main_effect_winds_of_magic_pool_cap		faction_to_force_own	5.0000	5.0000	0.0000
wh2_dlc09_special_pyramid_khatep	wh_main_effect_building_construction_cost_mod		province_to_region_own_factionwide	-5.0000	-3.0000	0.0000
wh2_dlc09_special_pyramid_khatep	wh_main_effect_public_order_global		faction_to_province_own	1.0000	1.0000	0.0000
wh2_dlc09_special_pyramid_phar	wh2_dlc09_pooled_resource_canopic_jars_buildings		region_to_region_own	20.0000	20.0000	0.0000
wh2_dlc09_special_pyramid_phar	wh3_dlc25_effect_force_stat_melee_defence_vs_greenskins		faction_to_force_own	4.0000	4.0000	0.0000
wh2_dlc09_special_pyramid_phar	wh3_main_effect_attribute_enable_unbreakable_tmb_faction_leader		faction_to_faction_leader	1.0000	1.0000	0.0000
wh2_dlc09_special_pyramid_phar	wh3_main_effect_healing_cap_settra		province_to_force_any_provincewide_unseen	-15.0000	-15.0000	0.0000
wh2_dlc09_special_pyramid_phar	wh3_main_effect_unit_cap_tmb_nehekhara_warriors_chariots		faction_to_faction_own_unseen	2.0000	2.0000	0.0000
wh2_dlc09_special_pyramid_phar	wh_main_effect_economy_gdp_mod_all		province_to_region_own_factionwide	5.0000	3.0000	0.0000
wh2_dlc09_special_pyramid_phar	wh_main_effect_force_all_campaign_movement_range		building_to_force_own_in_province_own	10.0000	5.0000	0.0000
wh2_dlc09_special_pyramid_settra	wh2_dlc09_effect_unit_cap_tmb_tomb_guard_chariots		building_to_faction_own	2.0000	2.0000	0.0000
wh2_dlc09_special_pyramid_settra	wh2_dlc09_pooled_resource_canopic_jars_buildings		region_to_region_own	50.0000	50.0000	0.0000
wh2_dlc09_special_pyramid_settra	wh3_main_effect_attribute_enable_expendable_skeleton_warrior_spearmen		faction_to_force_own_unseen	1.0000	0.0000	0.0000
wh2_dlc09_special_pyramid_settra	wh3_main_effect_winds_of_magic_pool_cap		faction_to_force_own	5.0000	5.0000	0.0000
wh2_dlc09_special_pyramid_settra	wh_main_effect_agent_action_outcome_parent_army_xp_gain		province_to_force_own_provincewide	200.0000	5.0000	0.0000
wh2_dlc09_special_pyramid_settra	wh_main_effect_public_order_global		faction_to_province_own	1.0000	1.0000	0.0000
wh2_dlc09_special_pyramid_tutankhanut	wh2_dlc09_pooled_resource_canopic_jars_buildings		region_to_region_own	10.0000	10.0000	0.0000
wh2_dlc09_special_pyramid_tutankhanut	wh3_main_effect_attribute_glorious_charge_tmb_chariots_rank7		faction_to_force_own	1.0000	0.0000	0.0000
wh2_dlc09_special_pyramid_tutankhanut	wh3_main_effect_winds_of_magic_pool_cap		faction_to_force_own	5.0000	5.0000	0.0000
wh2_dlc09_special_pyramid_tutankhanut	wh_main_effect_force_all_campaign_replenishment_rate		province_to_army_own	5.0000	3.0000	0.0000
wh2_dlc09_special_pyramid_tutankhanut	wh_main_effect_public_order_global		faction_to_province_own	1.0000	1.0000	0.0000
wh2_dlc09_special_settlement_khemri_tmb_1	wh3_main_effect_building_settlement_initial_supply_points		region_to_region_own	1000.0000	500.0000	0.0000
wh2_dlc09_special_settlement_khemri_tmb_1	wh3_main_effect_chaos_realm_trait_removal	IsChaosCampaign	region_to_region_own	50.0000	25.0000	0.0000
