faction	vehicle
#battle_siege_vehicle_permissions_tables;0;db/battle_siege_vehicle_permissions_tables/data__	
wh2_dlc14_brt_chevaliers_de_lyonesse	brt_battering_ram
wh_main_brt_bordeleaux	brt_battering_ram
wh_main_brt_bretonnia	brt_battering_ram
wh_main_brt_carcassonne	brt_battering_ram
wh2_dlc14_brt_chevaliers_de_lyonesse	brt_siege_tower_15m
wh_main_brt_bordeleaux	brt_siege_tower_15m
wh_main_brt_bretonnia	brt_siege_tower_15m
wh_main_brt_carcassonne	brt_siege_tower_15m
wh2_dlc17_bst_malagor	bst_battering_ram
wh2_dlc17_bst_taurox	bst_battering_ram
wh_dlc03_bst_beastmen	bst_battering_ram
wh_dlc03_bst_beastmen_chaos	bst_battering_ram
wh_dlc03_bst_jagged_horn	bst_battering_ram
wh_dlc03_bst_redhorn	bst_battering_ram
wh_dlc05_bst_morghur_herd	bst_battering_ram
wh2_dlc17_bst_malagor	bst_siege_tower_15m
wh2_dlc17_bst_taurox	bst_siege_tower_15m
wh_dlc03_bst_beastmen	bst_siege_tower_15m
wh_dlc03_bst_beastmen_chaos	bst_siege_tower_15m
wh_dlc03_bst_jagged_horn	bst_siege_tower_15m
wh_dlc03_bst_redhorn	bst_siege_tower_15m
wh_dlc05_bst_morghur_herd	bst_siege_tower_15m
wh3_dlc23_chd_astragoth	chd_battering_ram
wh3_dlc23_chd_chaos_dwarfs	chd_battering_ram
wh3_dlc23_chd_chaos_dwarfs_qb1	chd_battering_ram
wh3_dlc23_chd_chaos_dwarfs_qb2	chd_battering_ram
wh3_dlc23_chd_chaos_dwarfs_qb3	chd_battering_ram
wh3_dlc23_chd_chaos_dwarfs_rebels	chd_battering_ram
wh3_dlc23_chd_conclave	chd_battering_ram
wh3_dlc23_chd_legion_of_azgorh	chd_battering_ram
wh3_dlc23_chd_minor_faction	chd_battering_ram
wh3_dlc23_chd_zhatan	chd_battering_ram
wh3_dlc25_chd_chaos_dwarfs_invasion	chd_battering_ram
wh3_dlc23_chd_astragoth	chd_siege_tower_15m
