variable_key	value
#campaign_variables_tables;0;db/campaign_variables_tables/data__	
abandon_settlement_income_percentage_modifier	-80.0000
abandon_settlement_per_faction_province_desolation_public_order_penalty	0.0000
abandon_settlement_per_faction_province_uncertainty_public_order_penalty	0.0000
abandon_settlement_resource_recoup_percentage_modifier	-80.0000
additional_rebellion_army_quality_multiplier	0.1000
additional_rebellion_army_quality_offset	0.1000
additional_rebellion_building_percent_damage	10.0000
allied_recruitment_distance_cost_multiplier	2.0000
allied_recruitment_distance_threshold	500.0000
allied_recruitment_distance_ui_category_threshold_long	500.0000
allied_recruitment_distance_ui_category_threshold_moderate	250.0000
allied_recruitment_favour_points_cost_multiplier	0.0100
ambush_critical_fail_proportion_of_fail	0.0000
armed_citizenry_army_percentage_on_change_hands	10.0000
armed_citizenry_navy_percentage_on_change_hands	10.0000
artillery_capture_chance	10.0000
autoresolver_alliance_wipe_out_loser_strength_of_max_threshold	0.3000
autoresolver_alliance_wipe_out_winner_loser_strength_multiple	7.0000
autoresolver_battle_damage_modifier_full_naval_units_at_sea	2.0000
autoresolver_battle_damage_modifier_non_naval_units_at_sea	0.8500
autoresolver_battle_excess_melee_damage_multiplier	0.6500
autoresolver_battle_excess_melee_damage_received_from_single_entity_target_multiplier	0.2000
autoresolver_battle_excess_melee_damage_received_from_target_multiplier	0.3000
autoresolver_battle_missile_range_modifier_used_in_ranged_combat	0.6500
autoresolver_battle_naval_ramming_damage_multiplier	50.0000
autoresolver_battle_naval_ramming_initial_seperation	10.0000
autoresolver_battle_num_defender_towers_in_fortified_settlement	3.0000
autoresolver_battle_num_defender_towers_in_unfortified_settlement	1.0000
autoresolver_battle_reinforcement_time	0.0000
autoresolver_battle_result_accuracy_high_prediction_variation	0.0100
autoresolver_battle_result_accuracy_low_prediction_variation	0.1000
autoresolver_battle_result_accuracy_moderate_prediction_variation	0.0500
autoresolver_battle_result_accuracy_very_high_prediction_variation	0.0000
autoresolver_battle_result_accuracy_very_low_prediction_variation	0.1500
autoresolver_battle_result_battle_complexity_max_units_for_scale	10.0000
autoresolver_battle_size_kill_factor	1.0000
autoresolver_battle_timestep	5.0000
autoresolver_battle_tower_base_kps	0.4000
autoresolver_battle_tower_level_1_damage_multiplier	0.2000
autoresolver_battle_tower_level_2_damage_multiplier	0.4000
autoresolver_battle_tower_level_3_damage_multiplier	0.6000
autoresolver_battle_tower_level_4_damage_multiplier	0.8000
autoresolver_bound_max_ammo_per_second_mod_unit_size	3.0000
autoresolver_bound_max_melee_strength_proportion	50.0000
autoresolver_bound_max_ranged_kills_per_second	20.0000
autoresolver_bound_min_melee_kills_per_second_full_strength	0.0000
autoresolver_bound_min_ranged_kills_per_ammo_mod_unit_size	0.0000
autoresolver_bound_min_ranged_kills_per_second	0.0000
autoresolver_building_damage_num_assult_equipment_percentage	0.2000
autoresolver_building_damage_num_units_percentage	0.0100
autoresolver_casualty_unary_received_by_excess_melee_units_from_target	1.0000
autoresolver_chase_down_damage_multiplier	1.0000
autoresolver_chase_down_loser_modifier	1.0000
autoresolver_chase_down_maximum_damage_unary	0.2000
autoresolver_chase_down_speed_comparison_cap	0.2000
autoresolver_chase_down_speed_comparison_divider	160.0000
autoresolver_chase_down_surviver_ratio_multiplier	0.0500
autoresolver_chase_down_winner_modifier	0.1000
autoresolver_damage_transfer_diff_from_average_to_transfer	0.0000
autoresolver_damage_transfer_enabled	1.0000
autoresolver_damage_transfer_max_diff_from_average_after_transfer	0.0000
autoresolver_damage_transfer_min_health_remaining	0.2000
autoresolver_damage_transfer_proportion_of_alliance	0.5000
autoresolver_ensured_unit_loss_cp_weight	0.0000
autoresolver_ensured_unit_loss_damage_multiplier	0.0000
autoresolver_flying_skirmish_units_use_entire_combat_time	1.0000
autoresolver_flying_unit_melee_damage_dealt_modifier	0.0000
autoresolver_flying_unit_melee_damage_received_modifier	-30.0000
autoresolver_mana_pool_per_round_per_mana_cost_reduction	0.0000
autoresolver_max_attackers_damaging_a_flanked_single_target_in_excess_melee	2.0000
autoresolver_max_attackers_damaging_a_single_target_in_excess_melee	2.0000
autoresolver_max_hp_for_enemy_hp_dps_modifier	2000.0000
autoresolver_min_battle_time_before_retreat	20.0000
autoresolver_min_entity_reduction_unary_of_max	0.0020
autoresolver_min_hp_for_enemy_hp_dps_modifier	600.0000
autoresolver_minimum_morale_loss	0.0000
autoresolver_minimum_morale_loss_per_second	0.0000
autoresolver_num_excess_melee_units_receiving_casualties_from_target	100.0000
autoresolver_num_units_multiplier_vs_enemy_to_allow_retreat	0.7500
autoresolver_siege_attack_kill_multiplier	1.7500
