key	agent	culture	associated_unit	season	level	agent_recruited_movie	gender	icon	small_icon	recruitable_in_ui
#agent_culture_details_tables;9;db/agent_culture_details_tables/data__										
1010587147	dignitary	wh3_main_ksl_kislev	wh3_main_ksl_cha_patriarch_0		0		m		ui/campaign ui/agents/wh3_main_ksl_patriarch.png	true
102056032	dignitary	wh3_main_sla_slaanesh	wh3_main_sla_cha_cultist_0		0		m		ui/campaign ui/agents/wh3_main_sla_cultist.png	true
1057932884	colonel	wh3_main_ksl_kislev			0				ui/campaign ui/agents/paladin.png	true
1061477138	runesmith	wh_main_vmp_vampire_counts			0		m	UI/units/icons/wh_main_vmp_vampire.png	ui/campaign ui/agents/wh_main_lore_death.png	false
1072757616	champion	wh2_main_def_dark_elves	wh2_dlc14_def_cha_master_0		0		m		ui/campaign ui/agents/wh2_main_hef_champion.png	true
1080045947	champion	wh2_main_skv_skaven	wh2_dlc16_skv_cha_chieftain_0		0		m		ui/campaign ui/agents/wh2_dlc16_skv_champion.png	true
1122969389	dignitary	wh2_dlc11_cst_vampire_coast	wh2_dlc11_cst_cha_vampire_fleet_captain_0		0		f		ui/campaign ui/agents/wh_main_wizard.png	true
1126275823	general	wh_dlc08_nor_norsca	wh_main_chs_cha_chaos_lord_0		0			UI/units/icons/wh_main_chs_lord.png	ui/campaign ui/agents/wh_main_emp_champion.png	true
114291892	minister	wh2_main_rogue			0				ui/campaign ui/agents/wh_main_emp_champion.png	true
1159840472	general	wh2_dlc11_cst_vampire_coast	wh2_dlc11_cst_cha_vampire_fleet_admiral_0		0				ui/campaign ui/agents/paladin.png	true
1161079929	runesmith	wh3_main_tze_tzeentch	wh3_main_tze_cha_iridescent_horror_tzeentch_0		0		m		ui/campaign ui/agents/wh_main_wizard.png	true
1162984081	wizard	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_cha_liche_priest_death_0		0		m		ui/campaign ui/agents/wh_main_wizard.png	true
1173480852	champion	wh2_dlc09_tmb_tomb_kings	wh2_dlc09_tmb_cha_tomb_prince_0		0		m		ui/campaign ui/agents/wh2_dlc09_tmb_champion.png	true
1174301954	dignitary	wh3_main_pro_ksl_kislev	wh3_main_pro_ksl_cha_patriarch_0		0		m		ui/campaign ui/agents/wh3_main_ksl_patriarch.png	true
1187083556	dignitary	wh_main_chs_chaos	wh_dlc08_nor_cha_fimir_balefiend_fire_0		0		m	UI/units/icons/wh_dlc08_nor_fimir_balefiend.png	ui/campaign ui/agents/wh_dlc08_nor_fimir.png	true
1198264842	general	wh3_main_cth_cathay	wh3_main_cth_cha_lord_magistrate_0		0				ui/campaign ui/agents/paladin.png	true
1201098031	champion	wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_cha_bull_centaur_taurruk		0		m		UI/Campaign UI/Agents/wh3_dlc23_chd_bull_centaur_taurruk.png	true
1239435257	spy	wh_main_chs_chaos			0		m		ui/campaign ui/agents/paladin.png	true
