army_name	battle_name
#battle_set_piece_armies_junctions_tables;0;db/battle_set_piece_armies_junctions_tables/data__	
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_1	wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_2	wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_3	wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_defender_4	wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5
wh2_dlc09_qb_tmb_tretch_craventail_lucky_skullhelm_stage_5_mushroom_cave_player	wh2_dlc09_qb_skv_tretch_craventail_lucky_skullhelm_stage_5
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_1	wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_2	wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_3	wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_attacker_slaves_4	wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash
wh2_dlc09_qb_tmb_arkhan_staff_of_nagash_player_1	wh2_dlc09_qb_tmb_arkhan_the_staff_of_nagash_stage_5_staff_of_nagash
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_01	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_02	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_attacker_03	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua
wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_3_mortuary_of_tzulaqua_defender_01	wh2_dlc09_qb_tmb_arkhan_the_tomb_blade_of_arkhan_stage_4_mortuary_of_tzulaqua
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_player	wh2_dlc09_qb_tmb_final_battle_arkhan
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_reinforcement_1	wh2_dlc09_qb_tmb_final_battle_arkhan
wh2_dlc09_qb_tmb_final_battle_fon_arkhan_reinforcement_2	wh2_dlc09_qb_tmb_final_battle_arkhan
wh2_dlc09_qb_tmb_final_battle_fon_khalida_1	wh2_dlc09_qb_tmb_final_battle_arkhan
wh2_dlc09_qb_tmb_final_battle_fon_khalida_2	wh2_dlc09_qb_tmb_final_battle_arkhan
wh2_dlc09_qb_tmb_final_battle_fon_khatep	wh2_dlc09_qb_tmb_final_battle_arkhan
wh2_dlc09_qb_tmb_final_battle_fon_settra	wh2_dlc09_qb_tmb_final_battle_arkhan
wh2_dlc09_qb_tmb_final_battle_arkhan	wh2_dlc09_qb_tmb_final_battle_khalida
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_1	wh2_dlc09_qb_tmb_final_battle_khalida
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_2	wh2_dlc09_qb_tmb_final_battle_khalida
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_3	wh2_dlc09_qb_tmb_final_battle_khalida
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_4	wh2_dlc09_qb_tmb_final_battle_khalida
wh2_dlc09_qb_tmb_final_battle_khalida_player	wh2_dlc09_qb_tmb_final_battle_khalida
wh2_dlc09_qb_tmb_final_battle_khatep_2	wh2_dlc09_qb_tmb_final_battle_khalida
wh2_dlc09_qb_tmb_final_battle_settra_1	wh2_dlc09_qb_tmb_final_battle_khalida
wh2_dlc09_qb_tmb_final_battle_arkhan	wh2_dlc09_qb_tmb_final_battle_khatep
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_1	wh2_dlc09_qb_tmb_final_battle_khatep
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_2	wh2_dlc09_qb_tmb_final_battle_khatep
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_3	wh2_dlc09_qb_tmb_final_battle_khatep
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_4	wh2_dlc09_qb_tmb_final_battle_khatep
wh2_dlc09_qb_tmb_final_battle_khalida_1	wh2_dlc09_qb_tmb_final_battle_khatep
wh2_dlc09_qb_tmb_final_battle_khatep_player	wh2_dlc09_qb_tmb_final_battle_khatep
wh2_dlc09_qb_tmb_final_battle_settra_2	wh2_dlc09_qb_tmb_final_battle_khatep
wh2_dlc09_qb_tmb_final_battle_arkhan	wh2_dlc09_qb_tmb_final_battle_settra
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_1	wh2_dlc09_qb_tmb_final_battle_settra
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_2	wh2_dlc09_qb_tmb_final_battle_settra
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_3	wh2_dlc09_qb_tmb_final_battle_settra
wh2_dlc09_qb_tmb_final_battle_arkhan_minions_4	wh2_dlc09_qb_tmb_final_battle_settra
wh2_dlc09_qb_tmb_final_battle_khalida_1	wh2_dlc09_qb_tmb_final_battle_settra
wh2_dlc09_qb_tmb_final_battle_khatep_2	wh2_dlc09_qb_tmb_final_battle_settra
wh2_dlc09_qb_tmb_final_battle_settra_player	wh2_dlc09_qb_tmb_final_battle_settra
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_attacker_01	wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_attacker_02	wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_attacker_03	wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_attacker_04	wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river
wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river_player	wh2_dlc09_qb_tmb_khalida_venom_staff_stage_3_ash_river
wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok_attacker_01	wh2_dlc09_qb_tmb_khatep_the_liche_staff_stage_5_pits_of_zardok
