id	base_bonus_multiplier	base_penalty_multiplier	event_bonus_multiplier	event_penalty_multiplier	short_description	long_description
#cai_personality_cultural_components_tables;2;db/cai_personality_cultural_components_tables/data__						
anti_chaos	0.0000	0.0000	1.0000	1.0000	personality_desc_short_shield_of_civilisation	personality_desc_long_shield_of_civilisation
arkhan_likes_vampires_dislikes_tombkings	0.0000	0.0000	1.0000	1.0000		
default	0.0000	0.0000	1.0000	1.0000		
dislikes_beastmen	1.0000	1.0000	1.0000	1.0000	dlc05_personality_desc_short_dislikes_beastmen	dlc05_personality_desc_long_dislikes_beastmen
dislikes_bretonnia	0.0000	0.0000	1.0000	1.0000	personality_desc_short_dislikes_bretonnia	personality_desc_long_dislikes_bretonnia
dislikes_cathay_internal	0.0000	0.0000	1.0000	1.0000		
dislikes_chaos_dwarfs	1.0000	1.0000	1.0000	1.0000		
dislikes_darkelves_internal	0.0000	0.0000	1.0000	1.0000	personality_desc_short_dislikes_darkelves_internal	personality_desc_long_dislikes_darkelves_internal
dislikes_dwarfs	0.0000	0.0000	1.0000	1.0000	personality_desc_short_dislikes_dwarfs	personality_desc_long_dislikes_dwarfs
dislikes_elves	0.0000	0.0000	1.0000	1.0000		
dislikes_empire	0.0000	0.0000	1.0000	1.0000	personality_desc_short_dislikes_empire	personality_desc_long_dislikes_empire
dislikes_highelves_internal	0.0000	0.0000	1.0000	1.0000	personality_desc_short_dislikes_highelves_internal	personality_desc_long_dislikes_highelves_internal
dislikes_lizardmen	1.0000	1.0000	1.0000	1.0000	dlc11_personality_desc_short_dislikes_lizardmen	dlc11_personality_desc_long_dislikes_lizardmen
dislikes_lizardmen_internal	0.0000	0.0000	1.0000	1.0000	personality_desc_short_dislikes_lizardmen_internal	personality_desc_long_dislikes_lizardmen_internal
dislikes_norsca	1.0000	1.0000	1.0000	1.0000	dlc11_personality_desc_short_dislikes_norsca	dlc11_personality_desc_long_dislikes_norsca
dislikes_skaven_internal	0.0000	0.0000	1.0000	1.0000	personality_desc_short_dislikes_skaven_internal	personality_desc_long_dislikes_skaven_internal
dislikes_tomb_kings	1.0000	1.0000	1.0000	1.0000	dlc09_personality_desc_short_dislikes_tomb_kings	dlc09_personality_desc_long_dislikes_tomb_kings
dislikes_vampires	1.0000	1.0000	1.0000	1.0000	personality_desc_short_dislikes_vampires	personality_desc_long_dislikes_vampires
dislikes_woodelves	1.0000	1.0000	1.0000	1.0000	personality_desc_short_dislikes_woodelves	personality_desc_long_dislikes_woodelves
dlc08_challenger	-1.0000	-1.0000	-1.0000	-1.0000		
empire_dislikes_undead	0.0000	0.0000	1.0000	1.0000		
likes_highelves_internal	0.0000	0.0000	1.0000	1.0000	personality_desc_short_likes_highelves_internal	personality_desc_long_likes_highelves_internal
likes_lizardmen_internal	0.0000	0.0000	1.0000	1.0000	personality_desc_short_likes_lizardmen_internal	personality_desc_long_likes_lizardmen_internal
likes_vampires	0.0000	0.0000	1.0000	1.0000	personality_desc_short_likes_vampires	personality_desc_long_likes_vampires
woc_dislike_chaos	0.0000	0.0000	1.0000	1.0000		
