key	cost	parameters	image_path	type
#plague_components_tables;1;db/plague_components_tables/data__				
wh3_dlc25_nur_battle_1	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/battle_defence.png	SYMPTOM
wh3_dlc25_nur_battle_2	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/battle_armour.png	SYMPTOM
wh3_dlc25_nur_battle_3	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/battle_ammo.png	SYMPTOM
wh3_dlc25_nur_battle_4	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/battle_attack.png	SYMPTOM
wh3_dlc25_nur_battle_5	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/battle_damage.png	SYMPTOM
wh3_dlc25_nur_battle_6	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/battle_speed.png	SYMPTOM
wh3_dlc25_nur_battle_7	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/battle_health.png	SYMPTOM
wh3_dlc25_nur_force_1	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/campaign_magic.png	SYMPTOM
wh3_dlc25_nur_force_2	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/battle_magic.png	SYMPTOM
wh3_dlc25_nur_force_3	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/campaign_disaster.png	SYMPTOM
wh3_dlc25_nur_force_4	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/campaign_movement.png	SYMPTOM
wh3_dlc25_nur_force_5	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/campaign_replenishment.png	SYMPTOM
wh3_dlc25_nur_force_5_festus	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/campaign_experience.png	SYMPTOM
wh3_dlc25_nur_force_6	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/battle_military_spending.png	SYMPTOM
wh3_dlc25_nur_mutation_duration_0	wh3_dlc25_nur_plague_mutation_addition_0	wh3_dlc25_nur_mutation_duration_0	UI/Campaign UI/plague_icons/wh3_nur_10_constant_vomiting.png	MUTATION
wh3_dlc25_nur_mutation_duration_1	wh3_dlc25_nur_plague_mutation_addition_1	wh3_dlc25_nur_mutation_duration_1	UI/Campaign UI/plague_icons/wh3_nur_10_constant_vomiting.png	MUTATION
wh3_dlc25_nur_mutation_duration_2	wh3_dlc25_nur_plague_mutation_addition_2	wh3_dlc25_nur_mutation_duration_2	UI/Campaign UI/plague_icons/wh3_nur_10_constant_vomiting.png	MUTATION
wh3_dlc25_nur_mutation_duration_3	wh3_dlc25_nur_plague_mutation_addition_3	wh3_dlc25_nur_mutation_duration_3	UI/Campaign UI/plague_icons/wh3_nur_10_constant_vomiting.png	MUTATION
wh3_dlc25_nur_mutation_immunity_0	wh3_dlc25_nur_plague_mutation_addition_0	wh3_dlc25_nur_mutation_immunity_0	UI/Campaign UI/plague_icons/wh3_nur_10_constant_vomiting.png	MUTATION
wh3_dlc25_nur_mutation_immunity_1	wh3_dlc25_nur_plague_mutation_addition_1	wh3_dlc25_nur_mutation_immunity_1	UI/Campaign UI/plague_icons/wh3_nur_10_constant_vomiting.png	MUTATION
wh3_dlc25_nur_mutation_immunity_2	wh3_dlc25_nur_plague_mutation_addition_2	wh3_dlc25_nur_mutation_immunity_2	UI/Campaign UI/plague_icons/wh3_nur_10_constant_vomiting.png	MUTATION
wh3_dlc25_nur_mutation_immunity_3	wh3_dlc25_nur_plague_mutation_addition_3	wh3_dlc25_nur_mutation_immunity_3	UI/Campaign UI/plague_icons/wh3_nur_10_constant_vomiting.png	MUTATION
wh3_dlc25_nur_mutation_spread_0	wh3_dlc25_nur_plague_mutation_addition_0	wh3_dlc25_nur_mutation_spread_0	UI/Campaign UI/plague_icons/wh3_nur_1_highly_contagious.png	MUTATION
wh3_dlc25_nur_mutation_spread_1	wh3_dlc25_nur_plague_mutation_addition_1	wh3_dlc25_nur_mutation_spread_1	UI/Campaign UI/plague_icons/wh3_nur_1_highly_contagious.png	MUTATION
wh3_dlc25_nur_mutation_spread_2	wh3_dlc25_nur_plague_mutation_addition_2	wh3_dlc25_nur_mutation_spread_2	UI/Campaign UI/plague_icons/wh3_nur_1_highly_contagious.png	MUTATION
wh3_dlc25_nur_mutation_spread_3	wh3_dlc25_nur_plague_mutation_addition_3	wh3_dlc25_nur_mutation_spread_3	UI/Campaign UI/plague_icons/wh3_nur_1_highly_contagious.png	MUTATION
wh3_dlc25_nur_settlement_1	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/campaign_growth.png	SYMPTOM
wh3_dlc25_nur_settlement_2	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/campaign_nurgle_corruption.png	SYMPTOM
wh3_dlc25_nur_settlement_3	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/campaign_turns.png	SYMPTOM
wh3_dlc25_nur_settlement_3_festus	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/campaign_construction.png	SYMPTOM
wh3_dlc25_nur_settlement_4	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/campaign_construction.png	SYMPTOM
wh3_dlc25_nur_settlement_5	wh3_dlc25_nur_plague_symptom_addition	component_default_parameters	UI/Campaign UI/Skills/campaign_military_spending.png	SYMPTOM
wh3_nur_plague_component_1	wh3_nur_plague_component_2	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_17_bleeding_ears.png	SYMPTOM
wh3_nur_plague_component_10	wh3_nur_plague_component_6	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_16_the_sweats.png	SYMPTOM
wh3_nur_plague_component_11	wh3_nur_plague_component_12	component_settlement_spread_parameters	UI/Campaign UI/plague_icons/wh3_nur_3_paroxysm.png	SYMPTOM
wh3_nur_plague_component_12	wh3_nur_plague_component_13	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_11_gut_rot.png	SYMPTOM
wh3_nur_plague_component_13	wh3_nur_plague_component_15	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_18_mucus_runs.png	SYMPTOM
wh3_nur_plague_component_14	wh3_nur_plague_component_14	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_10_constant_vomiting.png	SYMPTOM
wh3_nur_plague_component_15	wh3_nur_plague_component_11	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_12_acrid_flatulence.png	SYMPTOM
wh3_nur_plague_component_16	wh3_nur_plague_component_16	wh3_nur_plague_component_16	UI/Campaign UI/plague_icons/wh3_nur_1_highly_contagious.png	SYMPTOM
wh3_nur_plague_component_17	wh3_nur_plague_component_17	wh3_nur_plague_component_17	UI/Campaign UI/plague_icons/wh3_nur_4_pustulant.png	SYMPTOM
wh3_nur_plague_component_18	wh3_nur_plague_component_18	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_5_festering.png	SYMPTOM
wh3_nur_plague_component_19	wh3_nur_plague_component_19	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_6_fever.png	SYMPTOM
wh3_nur_plague_component_2	wh3_nur_plague_component_3	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_13_pestilence.png	SYMPTOM
wh3_nur_plague_component_20	wh3_nur_plague_component_20	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_7_sores.png	SYMPTOM
wh3_nur_plague_component_3	wh3_nur_plague_component_5	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_20_limb_blight.png	SYMPTOM
wh3_nur_plague_component_4	wh3_nur_plague_component_4	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_8_weeping_eyes.png	SYMPTOM
wh3_nur_plague_component_5	wh3_nur_plague_component_1	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_14_brain_fog.png	SYMPTOM
wh3_nur_plague_component_6	wh3_nur_plague_component_7	wh3_nur_plague_component_7	UI/Campaign UI/plague_icons/wh3_nur_19_violent_spasms.png	SYMPTOM
wh3_nur_plague_component_7	wh3_nur_plague_component_8	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_9_inflamed_glands.png	SYMPTOM
wh3_nur_plague_component_8	wh3_nur_plague_component_10	component_force_spread_parameters	UI/Campaign UI/plague_icons/wh3_nur_2_the_flux.png	SYMPTOM
wh3_nur_plague_component_9	wh3_nur_plague_component_9	component_default_parameters	UI/Campaign UI/plague_icons/wh3_nur_15_necrotising_flesh.png	SYMPTOM
wh3_nur_plague_recipe_1	wh3_nur_plague_recipe_1	wh3_nur_plague_component_recipe_1	UI/Campaign UI/plague_icons/wh3_nur_recipe_the_crumbling_ague.png	RECIPE
wh3_nur_plague_recipe_2	wh3_nur_plague_recipe_2	wh3_nur_plague_component_recipe_2	ui/campaign ui/plague_icons/wh3_nur_recipe_black_plague.png	RECIPE
wh3_nur_plague_recipe_3	wh3_nur_plague_recipe_3	wh3_nur_plague_component_recipe_3	ui/campaign ui/plague_icons/wh3_nur_recipe_green_pox.png	RECIPE
wh3_nur_plague_recipe_4	wh3_nur_plague_recipe_4	wh3_nur_plague_component_recipe_4	UI/Campaign UI/plague_icons/wh3_nur_recipe_the_grim_shakes.png	RECIPE
wh3_nur_plague_recipe_5	wh3_nur_plague_recipe_5	wh3_nur_plague_component_recipe_5	ui/campaign ui/plague_icons/wh3_nur_recipe_nurgles_rot.png	RECIPE
