item	set
#plague_component_set_items_tables;0;db/plague_component_set_items_tables/data__	
wh3_nur_plague_component_3	ai_set_ague_1
wh3_nur_plague_component_5	ai_set_ague_1
wh3_nur_plague_component_10	ai_set_ague_2
wh3_nur_plague_component_18	ai_set_ague_2
wh3_nur_plague_component_15	ai_set_ague_3
wh3_nur_plague_component_17	ai_set_ague_3
wh3_nur_plague_component_13	ai_set_ague_4
wh3_nur_plague_component_14	ai_set_ague_4
wh3_nur_plague_component_16	ai_set_ague_5
wh3_nur_plague_component_20	ai_set_ague_5
wh3_nur_plague_component_15	ai_set_buboes_1
wh3_nur_plague_component_5	ai_set_buboes_1
wh3_nur_plague_component_4	ai_set_buboes_2
wh3_nur_plague_component_7	ai_set_buboes_2
wh3_nur_plague_component_16	ai_set_buboes_3
wh3_nur_plague_component_18	ai_set_buboes_3
wh3_nur_plague_component_16	ai_set_buboes_4
wh3_nur_plague_component_19	ai_set_buboes_4
wh3_nur_plague_component_16	ai_set_buboes_5
wh3_nur_plague_component_9	ai_set_buboes_5
wh3_nur_plague_component_1	ai_set_festus_ague_1
wh3_nur_plague_component_9	ai_set_festus_ague_1
wh3_nur_plague_component_10	ai_set_festus_ague_2
wh3_nur_plague_component_14	ai_set_festus_ague_2
wh3_nur_plague_component_10	ai_set_festus_ague_3
wh3_nur_plague_component_4	ai_set_festus_ague_3
wh3_nur_plague_component_1	ai_set_festus_ague_4
wh3_nur_plague_component_8	ai_set_festus_ague_4
wh3_nur_plague_component_15	ai_set_festus_ague_5
wh3_nur_plague_component_5	ai_set_festus_ague_5
wh3_nur_plague_component_15	ai_set_festus_buboes_1
wh3_nur_plague_component_5	ai_set_festus_buboes_1
wh3_nur_plague_component_4	ai_set_festus_buboes_2
wh3_nur_plague_component_7	ai_set_festus_buboes_2
wh3_nur_plague_component_10	ai_set_festus_buboes_3
wh3_nur_plague_component_4	ai_set_festus_buboes_3
wh3_nur_plague_component_13	ai_set_festus_buboes_4
wh3_nur_plague_component_6	ai_set_festus_buboes_4
wh3_nur_plague_component_14	ai_set_festus_buboes_5
wh3_nur_plague_component_9	ai_set_festus_buboes_5
wh3_nur_plague_component_1	ai_set_festus_pox_1
wh3_nur_plague_component_3	ai_set_festus_pox_1
wh3_nur_plague_component_11	ai_set_festus_pox_2
wh3_nur_plague_component_9	ai_set_festus_pox_2
wh3_nur_plague_component_10	ai_set_festus_pox_3
wh3_nur_plague_component_4	ai_set_festus_pox_3
wh3_nur_plague_component_2	ai_set_festus_pox_4
wh3_nur_plague_component_7	ai_set_festus_pox_4
wh3_nur_plague_component_13	ai_set_festus_pox_5
wh3_nur_plague_component_5	ai_set_festus_pox_5
wh3_nur_plague_component_15	ai_set_festus_rot_1
wh3_nur_plague_component_5	ai_set_festus_rot_1
wh3_nur_plague_component_4	ai_set_festus_rot_2
wh3_nur_plague_component_7	ai_set_festus_rot_2
wh3_nur_plague_component_10	ai_set_festus_rot_3
wh3_nur_plague_component_4	ai_set_festus_rot_3
wh3_nur_plague_component_13	ai_set_festus_rot_4
wh3_nur_plague_component_6	ai_set_festus_rot_4
wh3_nur_plague_component_5	ai_set_festus_rot_5
wh3_nur_plague_component_8	ai_set_festus_rot_5
wh3_nur_plague_component_15	ai_set_festus_shakes_1
wh3_nur_plague_component_5	ai_set_festus_shakes_1
wh3_nur_plague_component_4	ai_set_festus_shakes_2
wh3_nur_plague_component_7	ai_set_festus_shakes_2
wh3_nur_plague_component_10	ai_set_festus_shakes_3
wh3_nur_plague_component_4	ai_set_festus_shakes_3
wh3_nur_plague_component_13	ai_set_festus_shakes_4
wh3_nur_plague_component_6	ai_set_festus_shakes_4
wh3_nur_plague_component_11	ai_set_festus_shakes_5
wh3_nur_plague_component_12	ai_set_festus_shakes_5
wh3_nur_plague_component_1	ai_set_pox_1
