instigating_character	target_character	specified_dialogue_event	ignore_if_at_war
#campaign_vo_cs_conversation_mappings_tables;2;db/campaign_vo_cs_conversation_mappings_tables/data__			
wh2_dlc16_vo_actor_Skaven_Ghoritch	wh2_dlc16_vo_actor_Skaven_Throt	campaign_vo_cs_proximity	false
wh2_dlc16_vo_actor_Skaven_Throt	wh2_dlc16_vo_actor_Skaven_Ghoritch	campaign_vo_cs_proximity	false
wh2_dlc16_vo_actor_Wood_Elves_Ariel	wh2_dlc16_vo_actor_Wood_Elves_SistersOfTwilight	campaign_vo_cs_proximity	false
wh2_dlc16_vo_actor_Wood_Elves_Ariel	wh_dlc05_vo_actor_Wood_Elves_Orion	campaign_vo_cs_proximity	false
wh2_dlc16_vo_actor_Wood_Elves_SistersOfTwilight	wh2_dlc16_vo_actor_Wood_Elves_SistersOfTwilight	campaign_vo_cs_proximity	false
wh2_main_vo_actor_High_Elves_Tyrion	wh2_dlc10_vo_actor_High_Elves_Arielle_the_Radiant	campaign_vo_cs_proximity	false
wh3_dlc23_vo_actor_Kislev_Ulrika	wh2_pro08_vo_actor_neu_Felix	campaign_vo_cs_proximity	false
wh3_dlc23_vo_actor_Kislev_Ulrika	wh2_pro08_vo_actor_neu_Gotrek	campaign_vo_cs_proximity	false
wh3_dlc24_vo_actor_Cathay_GateMaster	wh3_dlc24_vo_actor_Cathay_Yuan_Bo	campaign_vo_cs_proximity	true
wh3_dlc24_vo_actor_Cathay_GateMaster	wh3_main_vo_actor_Cathay_Lord_Magistrate	campaign_vo_cs_proximity	true
wh3_dlc24_vo_actor_Cathay_GateMaster	wh3_main_vo_actor_Cathay_Miao_Ying	campaign_vo_cs_proximity	true
wh3_dlc24_vo_actor_Cathay_GateMaster	wh3_main_vo_actor_Cathay_Zhao_Ming	campaign_vo_cs_proximity	true
wh3_dlc24_vo_actor_Kislev_Druzhina	wh3_dlc24_vo_actor_Kislev_Mother_Ostankya	campaign_vo_cs_proximity	true
wh3_dlc24_vo_actor_Kislev_Druzhina	wh3_main_vo_actor_Kislev_Boris	campaign_vo_cs_proximity	true
wh3_dlc24_vo_actor_Kislev_Druzhina	wh3_main_vo_actor_Kislev_Katarin	campaign_vo_cs_proximity	true
wh3_dlc24_vo_actor_Kislev_Druzhina	wh3_main_vo_actor_Kislev_Kostaltyn	campaign_vo_cs_proximity	true
wh3_dlc25_vo_actor_Dwarf_Garagrim_Ironfist	wh_main_vo_actor_Dwarf_UngrimIronfist	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Goblin_Night_Goblin_Big_Boss	wh_dlc06_vo_actor_Goblin_Skarsnik	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Khorne_Bloodspeaker	wh3_dlc26_vo_actor_Khorne_Arbaal_the_Undefeated	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Khorne_Bloodspeaker	wh3_dlc26_vo_actor_Khorne_Scyla_Anfingrimm	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Khorne_Bloodspeaker	wh3_dlc26_vo_actor_Khorne_Skarr_Bloodwrath	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Khorne_Bloodspeaker	wh3_dlc26_vo_actor_Khorne_Skulltaker	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Khorne_Bloodspeaker	wh3_main_vo_actor_Khorne_Skarbrand	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Khorne_Skarr_Bloodwrath	wh_dlc01_vo_actor_Chaos_ArchaonTheEverchosen	campaign_vo_cs_proximity	false
wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	wh3_dlc26_vo_actor_Ogres_Bruiser	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	wh3_dlc26_vo_actor_Ogres_Golgfag_Maneater	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	wh3_dlc26_vo_actor_Ogres_Paymaster	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	wh3_main_vo_actor_Ogres_Butcher	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	wh3_main_vo_actor_Ogres_Firebelly	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	wh3_main_vo_actor_Ogres_Greasus_Goldtooth	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	wh3_main_vo_actor_Ogres_Hunter	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	wh3_main_vo_actor_Ogres_Skrag_the_Slaughterer	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	wh3_main_vo_actor_Ogres_Slaughtermaster	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	wh3_main_vo_actor_Ogres_Tyrant	campaign_vo_cs_proximity	true
wh3_dlc26_vo_actor_Ogres_Bruiser	wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	campaign_vo_cs_proximity	false
wh3_dlc26_vo_actor_Ogres_Golgfag_Maneater	wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	campaign_vo_cs_proximity	false
wh3_dlc26_vo_actor_Ogres_Paymaster	wh3_dlc26_vo_actor_Ogres_Bragg_the_Gutsman	campaign_vo_cs_proximity	false
