key	switch	cannot_hit_shields	cannot_hit_weapons
#audio_melee_hit_types_tables;0;db/audio_melee_hit_types_tables/data__			
melee_creatures_big	melee_creature_big	false	false
melee_creatures_claws	melee_creature_claws	false	false
melee_creatures_mid	melee_creature_mid	false	false
melee_creatures_ogre_punch	melee_creature_ogre_punch	false	true
melee_creatures_tiny	melee_creature_tiny	false	false
melee_weapon_axe	melee_weapon_axe	false	false
melee_weapon_axe_2h	melee_weapon_axe_2h	false	false
melee_weapon_axe_huge	melee_weapon_axe_huge	true	true
melee_weapon_axe_medium	melee_weapon_axe_medium	false	true
melee_weapon_beam_mutalith	melee_weapon_claw_mutalith	false	false
melee_weapon_bonebreaker_drill	melee_weapon_bonebreaker_drill	false	true
melee_weapon_claw	melee_weapon_claw	false	false
melee_weapon_claw_cockatrice	melee_weapon_claw_cockatrice	false	true
melee_weapon_claw_mutalith	melee_weapon_claw_mutalith	false	false
melee_weapon_claw_things_in_the_woods	melee_weapon_claw_things_in_the_woods	false	false
melee_weapon_club	melee_weapon_club	false	false
melee_weapon_club_huge	melee_weapon_club_huge	true	true
melee_weapon_club_medium	melee_weapon_club_medium	false	true
melee_weapon_club_saurus	melee_weapon_club_saurus	false	false
melee_weapon_dagger	melee_weapon_dagger	false	false
melee_weapon_drakegun	melee_weapon_drakegun	false	false
melee_weapon_flail	melee_weapon_flail	false	false
melee_weapon_ghorgon_fist	melee_weapon_ghorgon_fist	false	true
melee_weapon_glass_sword	melee_weapon_glass_sword	false	false
melee_weapon_halberd	melee_weapon_halberd	false	false
melee_weapon_halberd_medium	melee_weapon_halberd_medium	false	true
melee_weapon_hammer	melee_weapon_hammer	false	false
melee_weapon_hammer_dwarf	melee_weapon_hammer_dwarf	false	true
melee_weapon_hammer_huge	melee_weapon_hammer_huge	false	true
melee_weapon_ice_sword	melee_weapon_ice_sword	false	false
melee_weapon_lance	melee_weapon_lance	false	false
melee_weapon_medium_metal_fist	melee_weapon_medium_metal_fist	false	true
melee_weapon_nurgle_claw	melee_weapon_sword_claws	false	true
melee_weapon_rat_ogre_drill	melee_weapon_rat_ogre_drill	false	true
melee_weapon_spear	melee_weapon_spear	false	false
melee_weapon_spear_ghost	melee_weapon_spear_ghost	false	false
melee_weapon_spear_huge	melee_weapon_spear_huge	true	true
melee_weapon_spear_medium	melee_weapon_spear_medium	false	true
melee_weapon_staff	melee_weapon_staff	false	false
melee_weapon_stone_club_medium	melee_weapon_stone_club_medium	false	true
melee_weapon_sword	melee_weapon_sword	false	false
melee_weapon_sword_claws	melee_weapon_sword_claws	false	true
melee_weapon_sword_huge	melee_weapon_sword_huge	true	true
melee_weapon_sword_medium	melee_weapon_sword_medium	true	true
melee_weapon_sword_ogre	melee_weapon_sword_ogre	false	true
melee_weapon_unarmed	melee_weapon_unarmed	false	false
melee_weapon_warpfiregun	melee_weapon_drakegun	false	false
melee_weapon_whip	melee_weapon_whip	false	true
shield_inaudible	shield_metal	false	false
shield_metal	shield_metal	false	false
shield_wood	shield_wood	false	false
unique_action_cannot_hit_shields	unique_action	true	true
unique_action_cannot_hit_weapons	unique_action	false	true
unique_action_generic	unique_action	false	false
