key	story_panel_incident	campaign_video	sort	narrative_viewer_tab	default_locked	audio_state
#narrative_viewer_entries_tables;1;db/narrative_viewer_entries_tables/data__						
wh3_cmpnvid_adv_int		warhammer3/adv_int	3	tab_common	false	
wh3_cmpnvid_belakor_1		warhammer3/belakor_1	4	tab_common	true	
wh3_cmpnvid_belakor_2		warhammer3/belakor_2	5	tab_common	true	
wh3_cmpnvid_belakor_3		warhammer3/belakor_3	6	tab_common	true	
wh3_cmpnvid_belakor_4		warhammer3/belakor_4	7	tab_common	true	
wh3_cmpnvid_chd_dlc23_astragoth_intro		warhammer3/chd/dlc23_astragoth_intro	0	tab_chd	false	
wh3_cmpnvid_chd_dlc23_astragoth_win		warhammer3/chd/dlc23_astragoth_win	13	tab_chd	true	
wh3_cmpnvid_chd_dlc23_drazhoath_intro		warhammer3/chd/dlc23_drazhoath_intro	1	tab_chd	false	
wh3_cmpnvid_chd_dlc23_drazhoath_win		warhammer3/chd/dlc23_drazhoath_win	14	tab_chd	true	
wh3_cmpnvid_chd_dlc23_zhatan_intro		warhammer3/chd/dlc23_zhatan_intro	2	tab_chd	false	
wh3_cmpnvid_chd_dlc23_zhatan_win		warhammer3/chd/dlc23_zhatan_win	15	tab_chd	true	
wh3_cmpnvid_chs_dlc20_azazel_intro		warhammer3/champions/dlc20_azazel_intro	0	tab_chs	false	
wh3_cmpnvid_chs_dlc20_azazel_win		warhammer3/champions/dlc20_azazel_win	1	tab_chs	true	
wh3_cmpnvid_chs_dlc20_festus_intro		warhammer3/champions/dlc20_festus_intro	2	tab_chs	false	
wh3_cmpnvid_chs_dlc20_festus_win		warhammer3/champions/dlc20_festus_win	3	tab_chs	true	
wh3_cmpnvid_chs_dlc20_valkia_intro		warhammer3/champions/dlc20_valkia_intro	4	tab_chs	false	
wh3_cmpnvid_chs_dlc20_valkia_win		warhammer3/champions/dlc20_valkia_win	5	tab_chs	true	
wh3_cmpnvid_chs_dlc20_vilitch_intro		warhammer3/champions/dlc20_vilitch_intro	6	tab_chs	false	
wh3_cmpnvid_chs_dlc20_vilitch_win		warhammer3/champions/dlc20_vilitch_win	7	tab_chs	true	
wh3_cmpnvid_cth_intro		warhammer3/cth/cth_intro	0	tab_cth	false	
wh3_cmpnvid_cth_win		warhammer3/cth/cth_win	1	tab_cth	true	
wh3_cmpnvid_dae_intro		warhammer3/dae/dae_intro	0	tab_dae	false	
wh3_cmpnvid_dae_win		warhammer3/dae/dae_win	1	tab_dae	true	
wh3_cmpnvid_gam_int		gam_int	2	tab_common	false	
wh3_cmpnvid_journey_to_forge		warhammer3/journey_to_forge	8	tab_common	true	
wh3_cmpnvid_kho_intro_ska		warhammer3/kho/kho_intro_ska	0	tab_kho	false	
wh3_cmpnvid_kho_win_ska		warhammer3/kho/kho_win_ska	1	tab_kho	true	
wh3_cmpnvid_ksl_intro_bor		warhammer3/ksl/ksl_intro_bor	0	tab_ksl	true	
wh3_cmpnvid_ksl_intro_kat		warhammer3/ksl/ksl_intro_kat	2	tab_ksl	false	
wh3_cmpnvid_ksl_intro_kot		warhammer3/ksl/ksl_intro_kot	4	tab_ksl	false	
wh3_cmpnvid_ksl_win_bor		warhammer3/ksl/ksl_win_bor	1	tab_ksl	true	
wh3_cmpnvid_ksl_win_kat		warhammer3/ksl/ksl_win_kat	3	tab_ksl	true	
wh3_cmpnvid_ksl_win_kot		warhammer3/ksl/ksl_win_kot	5	tab_ksl	true	
wh3_cmpnvid_mother_ostankya_intro		warhammer3/ksl/mother_ostankya_intro	6	tab_ksl	false	
wh3_cmpnvid_mother_ostankya_win		warhammer3/ksl/mother_ostankya_win	7	tab_ksl	true	
wh3_cmpnvid_nur_intro		warhammer3/nur/nur_intro_plg	0	tab_nur	false	
wh3_cmpnvid_nur_win		warhammer3/nur/nur_win_plg	1	tab_nur	true	
wh3_cmpnvid_ogr_intro		warhammer3/ogr/ogr_intro	0	tab_ogr	false	
wh3_cmpnvid_ogr_win_gre		warhammer3/ogr/ogr_win_gre	1	tab_ogr	true	
wh3_cmpnvid_ogr_win_skg		warhammer3/ogr/ogr_win_skg	2	tab_ogr	true	
wh3_cmpnvid_prologue_intro		warhammer3/prologue/pro_int	0	tab_common	false	
wh3_cmpnvid_prologue_win		warhammer3/prologue/pro_win	1	tab_common	true	
wh3_cmpnvid_sla_intro_nka		warhammer3/sla/sla_intro_nka	0	tab_sla	false	
wh3_cmpnvid_sla_win_nka		warhammer3/sla/sla_win_nka	1	tab_sla	true	
wh3_cmpnvid_the_changeling_intro		warhammer3/tze/the_changeling_intro	2	tab_tze	false	
wh3_cmpnvid_the_changeling_win		warhammer3/tze/the_changeling_win	3	tab_tze	true	
wh3_cmpnvid_tze_intro_fat		warhammer3/tze/tze_intro_fat	0	tab_tze	false	
wh3_cmpnvid_tze_win_fat		warhammer3/tze/tze_win_fat	1	tab_tze	true	
wh3_cmpnvid_yuan_bo_intro		warhammer3/cth/yuan_bo_intro	2	tab_cth	false	
wh3_cmpnvid_yuan_bo_win		warhammer3/cth/yuan_bo_win	3	tab_cth	true	
wh3_strypnl_chd_dlc23_drill_blades	wh3_dlc23_story_panel_narrative_relic_04		11	tab_chd	true	Chaos_Dwarfs
wh3_strypnl_chd_dlc23_drill_fires	wh3_dlc23_story_panel_narrative_relic_01		8	tab_chd	true	Chaos_Dwarfs
wh3_strypnl_chd_dlc23_drill_launch	wh3_dlc23_story_panel_intro_chd		3	tab_chd	false	Chaos_Dwarfs
wh3_strypnl_chd_dlc23_drill_machinations	wh3_dlc23_story_panel_narrative_relic_02		9	tab_chd	true	Chaos_Dwarfs
wh3_strypnl_chd_dlc23_drill_sacrifice	wh3_dlc23_story_panel_narrative_sacrifice_chd		12	tab_chd	true	Chaos_Dwarfs
wh3_strypnl_chd_dlc23_drill_schism	wh3_dlc23_story_panel_narrative_relic_03		10	tab_chd	true	Chaos_Dwarfs
wh3_strypnl_chd_dlc23_pet_blood	wh3_dlc23_story_panel_narrative_petrification_01		4	tab_chd	true	Chaos_Dwarfs
wh3_strypnl_chd_dlc23_pet_curse	wh3_dlc23_story_panel_narrative_petrification_04		7	tab_chd	true	Chaos_Dwarfs
wh3_strypnl_chd_dlc23_pet_knowledge	wh3_dlc23_story_panel_narrative_petrification_03		6	tab_chd	true	Chaos_Dwarfs
wh3_strypnl_chd_dlc23_pet_reaction	wh3_dlc23_story_panel_narrative_petrification_02		5	tab_chd	true	Chaos_Dwarfs
