key	target_factor	default
#public_order_providers_tables;0;db/public_order_providers_tables/data__		
wh3_dlc23_public_order_provider_labour	RESOURCES	false
wh3_dlc23_public_order_provider_toz	RESOURCES	false
wh3_dlc24_public_order_provider_compass	EVENTS	false
wh3_dlc25_public_order_provider_imperial_authority	OTHER	false
wh3_dlc26_public_order_skull_throne	FACTION	false
wh3_dlc27_public_order_provides_stance	CHARACTERS	false
wh3_main_effect_public_order_compass	EVENTS	false
wh3_main_public_order_climate	CLIMATE	true
wh3_main_public_order_corruption_chaos	RESOURCES	false
wh3_main_public_order_corruption_khorne	RESOURCES	false
wh3_main_public_order_corruption_nurgle	RESOURCES	false
wh3_main_public_order_corruption_skaven	RESOURCES	false
wh3_main_public_order_corruption_slaanesh	RESOURCES	false
wh3_main_public_order_corruption_tzeentch	RESOURCES	false
wh3_main_public_order_corruption_vampiric	RESOURCES	false
wh3_main_public_order_defender_of_ulthuan	EVENTS	false
wh3_main_public_order_grudges	FACTION	false
wh3_main_public_order_provider_atamans	CHARACTERS	false
wh3_main_public_order_provider_banditry	BANDITRY	true
wh3_main_public_order_provider_baseline	BASELINE	true
wh3_main_public_order_provider_bloodlines	FACTION	false
wh3_main_public_order_provider_building_negative	BUILDING_NEGATIVE	true
wh3_main_public_order_provider_building_positive	BUILDING_POSITIVE	true
wh3_main_public_order_provider_characters	CHARACTERS	true
wh3_main_public_order_provider_confederation	EVENTS	false
wh3_main_public_order_provider_conquest	CONQUEST	true
wh3_main_public_order_provider_control_level	EVENTS	false
wh3_main_public_order_provider_daemonic_progression	TECHNOLOGY_FACTOR	false
wh3_main_public_order_provider_desolation	DESOLATION	true
wh3_main_public_order_provider_devastation	DEVASTATION	true
wh3_main_public_order_provider_events	EVENTS	true
wh3_main_public_order_provider_faction	FACTION	true
wh3_main_public_order_provider_family_power	FAMILY_POWER	true
wh3_main_public_order_provider_food	FOOD	true
wh3_main_public_order_provider_harmony	EVENTS	false
wh3_main_public_order_provider_hostility	FACTION	false
wh3_main_public_order_provider_invoking_the_motherland	EVENTS	false
wh3_main_public_order_provider_karak_eight_peaks	EVENTS	false
wh3_main_public_order_provider_military_activity	MILITARY_ACTIVITY	true
wh3_main_public_order_provider_military_crackdown	MILITARY_CRACKDOWN	true
wh3_main_public_order_provider_nurgle_plague	PLAGUE	true
wh3_main_public_order_provider_other	OTHER	true
wh3_main_public_order_provider_plague	PLAGUE	false
wh3_main_public_order_provider_pleasure_activities	EVENTS	false
wh3_main_public_order_provider_raiding	RAIDING	true
wh3_main_public_order_provider_rebellion	REBELLION	true
wh3_main_public_order_provider_resistance	RESISTANCE	true
wh3_main_public_order_provider_resources	RESOURCES	true
wh3_main_public_order_provider_slaves	SLAVES	true
wh3_main_public_order_provider_supporters	FACTION	false
wh3_main_public_order_provider_taxes	TAXES	true
wh3_main_public_order_provider_technology_factor	TECHNOLOGY_FACTOR	true
wh3_main_public_order_provider_uncertainty	UNCERTAINTY	true
wh3_main_public_order_provider_unholy_manifestations	CHARACTERS	false
