key	effect_bundle	order
#faction_groups_tables;2;db/faction_groups_tables/data__		
wh2_dlc09_fact_group_tomb_kings	wh2_dlc09_faction_trait_tomb_kings	15
wh2_dlc11_fact_group_vampire_coast	wh2_dlc11_faction_trait_vampire_coast	16
wh2_dlc15_fact_group_grom	wh_main_faction_trait_greenskins	9
wh2_main_fact_group_dark_elves	wh2_main_faction_trait_dark_elves	9
wh2_main_fact_group_high_elves	wh2_main_faction_trait_high_elves	8
wh2_main_fact_group_lizardmen	wh2_main_faction_trait_lizardmen	10
wh2_main_fact_group_lizardmen_nakai	wh2_main_faction_trait_lizardmen_nakai	10
wh2_main_fact_group_rogue	wh2_main_faction_trait_rogue	0
wh2_main_fact_group_skaven	wh2_main_faction_trait_skaven	11
wh3_dlc23_fact_group_chaos_dwarfs	wh3_dlc23_faction_trait_chaos_dwarfs	0
wh3_dlc23_fact_group_chaos_dwarfs_conclave	wh3_dlc23_faction_trait_chaos_dwarfs_conclave	0
wh3_main_fact_group_cathay	wh3_main_faction_trait_cathay	0
wh3_main_fact_group_daemons	wh3_main_faction_trait_daemons	0
wh3_main_fact_group_khorne	wh3_main_faction_trait_khorne	0
wh3_main_fact_group_kislev	wh3_main_faction_trait_kislev	0
wh3_main_fact_group_nurgle	wh3_main_faction_trait_nurgle	0
wh3_main_fact_group_ogre_kingdoms	wh3_main_faction_trait_ogre_kingdoms	0
wh3_main_fact_group_slaanesh	wh3_main_faction_trait_slaanesh	0
wh3_main_fact_group_tzeentch	wh3_main_faction_trait_tzeentch	0
wh_dlc03_fact_group_beastmen	wh_dlc03_faction_trait_beastmen	5
wh_dlc03_fact_group_beastmen_khazrak	wh_dlc03_faction_trait_beastmen	0
wh_dlc05_fact_group_wood_elves	wh_dlc05_faction_trait_wood_elves	0
wh_dlc06_fact_group_belegar	wh_main_faction_trait_dwarfs	6
wh_dlc06_fact_group_skarsnik	wh_main_faction_trait_greenskins	7
wh_dlc06_fact_group_wurrzag	wh_main_faction_trait_greenskins	8
wh_main_fact_group_bretonnia	wh_main_faction_trait_bretonnia	6
wh_main_fact_group_chaos	wh_main_faction_trait_chaos	4
wh_main_fact_group_dwarfs	wh_main_faction_trait_dwarfs	1
wh_main_fact_group_empire	wh_main_faction_trait_humans	0
wh_main_fact_group_greenskins	wh_main_faction_trait_greenskins	2
wh_main_fact_group_norsca	wh_dlc08_faction_trait_norsca	0
wh_main_fact_group_teb	wh_main_faction_trait_humans	0
wh_main_fact_group_vampire_counts	wh_main_faction_trait_vampire	3
