tree_sound	looping_sound	is_3d
#audio_campaign_environment_tree_sound_sounds_tables;0;db/audio_campaign_environment_tree_sound_sounds_tables/data__		
Loop_Forest_Faction_Beastmen	Tree_Sound_Beastmen	true
Loop_Forest_Faction_Bretonnia	Tree_Sound_Bretonnia	true
Loop_Forest_Faction_Cathay	Tree_Sound_Cathay	true
Loop_Forest_Faction_Chaos	Tree_Sound_Chaos	true
Loop_Forest_Faction_Daemon_Prince	Tree_Sound_Daemon_Prince	true
Loop_Forest_Faction_Dark_Elves	Tree_Sound_Dark_Elves	true
Loop_Forest_Faction_Dwarfs	Tree_Sound_Dwarfs	true
Loop_Forest_Faction_Empire	Tree_Sound_Empire	true
Loop_Forest_Faction_Greenskins	Tree_Sound_Greenskins	true
Loop_Forest_Faction_High_Elves	Tree_Sound_High_Elves	true
Loop_Forest_Faction_Khorne	Tree_Sound_Khorne	true
Loop_Forest_Faction_Kislev	Tree_Sound_Kislev	true
Loop_Forest_Faction_Kislev_Prologue	Tree_Sound_Kislev_Prologue	true
Loop_Forest_Faction_Lizardmen	Tree_Sound_Lizardmen	true
Loop_Forest_Faction_Norsca	Tree_Sound_Norsca	true
Loop_Forest_Faction_Nurgle	Tree_Sound_Nurgle	true
Loop_Forest_Faction_Ogres	Tree_Sound_Ogres	true
Loop_Forest_Faction_Skaven	Tree_Sound_Skaven	true
Loop_Forest_Faction_Slaanesh	Tree_Sound_Slaanesh	true
Loop_Test_Loop	Tree_Sound_TEST	true
Loop_Forest_Faction_Tomb_Kings	Tree_Sound_Tomb_Kings	true
Loop_Forest_Base_Tree_Large	Tree_Sound_Tree_Large_Base	true
Loop_Forest_Base_Tree_Large_Blossom	Tree_Sound_Tree_Large_Blossom_Base	true
Loop_Forest_Base__Tree_Large_Dead	Tree_Sound_Tree_Large_Dead	true
Loop_Forest_Base_Tree_Large_Evil	Tree_Sound_Tree_Large_Evil	true
Loop_Forest_Base_Tree_Large_Jungle	Tree_Sound_Tree_Large_Jungle	true
Loop_Forest_Base_Tree_Large_Mountain	Tree_Sound_Tree_Large_Mountain_Base	true
Loop_Forest_Base_Tree_Large_Palm	Tree_Sound_Tree_Large_Palm	true
Loop_Forest_Base_Tree_Large_Snow	Tree_Sound_Tree_Large_Snow	true
Loop_Forest_Base_Tree_Small_Base	Tree_Sound_Tree_Small_Base	true
Loop_Forest_Base_Tree_Small_Jungle	Tree_Sound_Tree_Small_Jungle	true
Loop_Forest_Base_Tree_Small_Palm	Tree_Sound_Tree_Small_Palm	true
Loop_Forest_Faction_Tzeentch	Tree_Sound_Tzeentch	true
Loop_Forest_Faction_Vampires	Tree_Sound_Vampire	true
Loop_Forest_Faction_Wood_Elves	Tree_Sound_Wood_Elves	true
