prerequisite_set	unit_purchasable_effect
#unit_purchasable_prerequisite_sets_to_effects_junctions_tables;0;db/unit_purchasable_prerequisite_sets_to_effects_junctions_tables/data__	
wh2_dlc16_throt_flesh_lab_inf_aug_10	wh2_dlc16_throt_flesh_lab_inf_aug_5
wh2_dlc16_throt_flesh_lab_inf_aug_10	wh2_dlc16_throt_flesh_lab_inf_aug_8
wh2_dlc16_throt_flesh_lab_inf_aug_11	wh2_dlc16_throt_flesh_lab_inf_aug_8
wh2_dlc16_throt_flesh_lab_inf_aug_11	wh2_dlc16_throt_flesh_lab_inf_aug_9
wh2_dlc16_throt_flesh_lab_inf_aug_12	wh2_dlc16_throt_flesh_lab_inf_aug_7
wh2_dlc16_throt_flesh_lab_inf_aug_12	wh2_dlc16_throt_flesh_lab_inf_aug_9
wh2_dlc16_throt_flesh_lab_inf_aug_13	wh2_dlc16_throt_flesh_lab_inf_aug_10
wh2_dlc16_throt_flesh_lab_inf_aug_13	wh2_dlc16_throt_flesh_lab_inf_aug_11
wh2_dlc16_throt_flesh_lab_inf_aug_14	wh2_dlc16_throt_flesh_lab_inf_aug_11
wh2_dlc16_throt_flesh_lab_inf_aug_14	wh2_dlc16_throt_flesh_lab_inf_aug_12
wh2_dlc16_throt_flesh_lab_inf_aug_15	wh2_dlc16_throt_flesh_lab_inf_aug_10
wh2_dlc16_throt_flesh_lab_inf_aug_15	wh2_dlc16_throt_flesh_lab_inf_aug_13
wh2_dlc16_throt_flesh_lab_inf_aug_16	wh2_dlc16_throt_flesh_lab_inf_aug_13
wh2_dlc16_throt_flesh_lab_inf_aug_16	wh2_dlc16_throt_flesh_lab_inf_aug_14
wh2_dlc16_throt_flesh_lab_inf_aug_17	wh2_dlc16_throt_flesh_lab_inf_aug_12
wh2_dlc16_throt_flesh_lab_inf_aug_17	wh2_dlc16_throt_flesh_lab_inf_aug_14
wh2_dlc16_throt_flesh_lab_inf_aug_3	wh2_dlc16_throt_flesh_lab_inf_aug_0
wh2_dlc16_throt_flesh_lab_inf_aug_3	wh2_dlc16_throt_flesh_lab_inf_aug_1
wh2_dlc16_throt_flesh_lab_inf_aug_4	wh2_dlc16_throt_flesh_lab_inf_aug_1
wh2_dlc16_throt_flesh_lab_inf_aug_4	wh2_dlc16_throt_flesh_lab_inf_aug_2
wh2_dlc16_throt_flesh_lab_inf_aug_5	wh2_dlc16_throt_flesh_lab_inf_aug_0
wh2_dlc16_throt_flesh_lab_inf_aug_5	wh2_dlc16_throt_flesh_lab_inf_aug_3
wh2_dlc16_throt_flesh_lab_inf_aug_6	wh2_dlc16_throt_flesh_lab_inf_aug_3
wh2_dlc16_throt_flesh_lab_inf_aug_6	wh2_dlc16_throt_flesh_lab_inf_aug_4
wh2_dlc16_throt_flesh_lab_inf_aug_7	wh2_dlc16_throt_flesh_lab_inf_aug_2
wh2_dlc16_throt_flesh_lab_inf_aug_7	wh2_dlc16_throt_flesh_lab_inf_aug_4
wh2_dlc16_throt_flesh_lab_inf_aug_8	wh2_dlc16_throt_flesh_lab_inf_aug_5
wh2_dlc16_throt_flesh_lab_inf_aug_8	wh2_dlc16_throt_flesh_lab_inf_aug_6
wh2_dlc16_throt_flesh_lab_inf_aug_9	wh2_dlc16_throt_flesh_lab_inf_aug_6
wh2_dlc16_throt_flesh_lab_inf_aug_9	wh2_dlc16_throt_flesh_lab_inf_aug_7
wh2_dlc16_throt_flesh_lab_mon_aug_10	wh2_dlc16_throt_flesh_lab_mon_aug_5
wh2_dlc16_throt_flesh_lab_mon_aug_10	wh2_dlc16_throt_flesh_lab_mon_aug_8
wh2_dlc16_throt_flesh_lab_mon_aug_11	wh2_dlc16_throt_flesh_lab_mon_aug_8
wh2_dlc16_throt_flesh_lab_mon_aug_11	wh2_dlc16_throt_flesh_lab_mon_aug_9
wh2_dlc16_throt_flesh_lab_mon_aug_12	wh2_dlc16_throt_flesh_lab_mon_aug_7
wh2_dlc16_throt_flesh_lab_mon_aug_12	wh2_dlc16_throt_flesh_lab_mon_aug_9
wh2_dlc16_throt_flesh_lab_mon_aug_13	wh2_dlc16_throt_flesh_lab_mon_aug_10
wh2_dlc16_throt_flesh_lab_mon_aug_13	wh2_dlc16_throt_flesh_lab_mon_aug_11
wh2_dlc16_throt_flesh_lab_mon_aug_14	wh2_dlc16_throt_flesh_lab_mon_aug_11
wh2_dlc16_throt_flesh_lab_mon_aug_14	wh2_dlc16_throt_flesh_lab_mon_aug_12
wh2_dlc16_throt_flesh_lab_mon_aug_15	wh2_dlc16_throt_flesh_lab_mon_aug_10
wh2_dlc16_throt_flesh_lab_mon_aug_15	wh2_dlc16_throt_flesh_lab_mon_aug_13
wh2_dlc16_throt_flesh_lab_mon_aug_16	wh2_dlc16_throt_flesh_lab_mon_aug_13
wh2_dlc16_throt_flesh_lab_mon_aug_16	wh2_dlc16_throt_flesh_lab_mon_aug_14
wh2_dlc16_throt_flesh_lab_mon_aug_17	wh2_dlc16_throt_flesh_lab_mon_aug_12
wh2_dlc16_throt_flesh_lab_mon_aug_17	wh2_dlc16_throt_flesh_lab_mon_aug_14
wh2_dlc16_throt_flesh_lab_mon_aug_3	wh2_dlc16_throt_flesh_lab_mon_aug_0
wh2_dlc16_throt_flesh_lab_mon_aug_3	wh2_dlc16_throt_flesh_lab_mon_aug_1
wh2_dlc16_throt_flesh_lab_mon_aug_4	wh2_dlc16_throt_flesh_lab_mon_aug_1
wh2_dlc16_throt_flesh_lab_mon_aug_4	wh2_dlc16_throt_flesh_lab_mon_aug_2
wh2_dlc16_throt_flesh_lab_mon_aug_5	wh2_dlc16_throt_flesh_lab_mon_aug_0
wh2_dlc16_throt_flesh_lab_mon_aug_5	wh2_dlc16_throt_flesh_lab_mon_aug_3
wh2_dlc16_throt_flesh_lab_mon_aug_6	wh2_dlc16_throt_flesh_lab_mon_aug_3
wh2_dlc16_throt_flesh_lab_mon_aug_6	wh2_dlc16_throt_flesh_lab_mon_aug_4
wh2_dlc16_throt_flesh_lab_mon_aug_7	wh2_dlc16_throt_flesh_lab_mon_aug_2
wh2_dlc16_throt_flesh_lab_mon_aug_7	wh2_dlc16_throt_flesh_lab_mon_aug_4
wh2_dlc16_throt_flesh_lab_mon_aug_8	wh2_dlc16_throt_flesh_lab_mon_aug_5
wh2_dlc16_throt_flesh_lab_mon_aug_8	wh2_dlc16_throt_flesh_lab_mon_aug_6
wh2_dlc16_throt_flesh_lab_mon_aug_9	wh2_dlc16_throt_flesh_lab_mon_aug_6
wh2_dlc16_throt_flesh_lab_mon_aug_9	wh2_dlc16_throt_flesh_lab_mon_aug_7
