armory_item	armory_item_set
#armory_item_set_items_tables;0;db/armory_item_set_items_tables/data__	
wh3_main_dae_cha_daemon_prince_fe_arm_l_base_01	wh3_main_dae_daemon_prince_default_fe
wh3_main_dae_cha_daemon_prince_fe_arm_r_base_01	wh3_main_dae_daemon_prince_default_fe
wh3_main_dae_cha_daemon_prince_fe_head_base_01	wh3_main_dae_daemon_prince_default_fe
wh3_main_dae_cha_daemon_prince_fe_legs_base_01	wh3_main_dae_daemon_prince_default_fe
wh3_main_dae_cha_daemon_prince_fe_tail_base_01	wh3_main_dae_daemon_prince_default_fe
wh3_main_dae_cha_daemon_prince_fe_torso_base_01	wh3_main_dae_daemon_prince_default_fe
wh3_main_dae_cha_daemon_prince_fe_weapon_sword_01	wh3_main_dae_daemon_prince_default_fe
wh3_main_dae_cha_daemon_prince_fe_wings_base_02	wh3_main_dae_daemon_prince_default_fe
wh3_main_dae_cha_daemon_prince_arm_l_base_1	wh3_main_dae_daemon_prince_default
wh3_main_dae_cha_daemon_prince_arm_r_base_1	wh3_main_dae_daemon_prince_default
wh3_main_dae_cha_daemon_prince_head_base_1	wh3_main_dae_daemon_prince_default
wh3_main_dae_cha_daemon_prince_legs_base_1	wh3_main_dae_daemon_prince_default
wh3_main_dae_cha_daemon_prince_tail_base_1	wh3_main_dae_daemon_prince_default
wh3_main_dae_cha_daemon_prince_torso_base_1	wh3_main_dae_daemon_prince_default
wh3_main_dae_cha_daemon_prince_weapon_sword_1	wh3_main_dae_daemon_prince_default
wh3_main_dae_cha_daemon_prince_wings_base_2	wh3_main_dae_daemon_prince_default
wh3_main_dae_cha_daemon_prince_arm_l_base_4	wh3_main_dae_daemon_prince_generic_set_2
wh3_main_dae_cha_daemon_prince_arm_r_base_4	wh3_main_dae_daemon_prince_generic_set_2
wh3_main_dae_cha_daemon_prince_legs_base_5	wh3_main_dae_daemon_prince_generic_set_2
wh3_main_dae_cha_daemon_prince_tail_base_6	wh3_main_dae_daemon_prince_generic_set_2
wh3_main_dae_cha_daemon_prince_torso_base_8	wh3_main_dae_daemon_prince_generic_set_2
wh3_main_dae_cha_daemon_prince_wings_base_3	wh3_main_dae_daemon_prince_generic_set_2
wh3_main_dae_cha_daemon_prince_arm_l_base_2	wh3_main_dae_daemon_prince_generic_set_3
wh3_main_dae_cha_daemon_prince_arm_r_base_2	wh3_main_dae_daemon_prince_generic_set_3
wh3_main_dae_cha_daemon_prince_head_base_6	wh3_main_dae_daemon_prince_generic_set_3
wh3_main_dae_cha_daemon_prince_legs_base_3	wh3_main_dae_daemon_prince_generic_set_3
wh3_main_dae_cha_daemon_prince_tail_base_3	wh3_main_dae_daemon_prince_generic_set_3
wh3_main_dae_cha_daemon_prince_wings_base_5	wh3_main_dae_daemon_prince_generic_set_3
wh3_main_dae_cha_daemon_prince_legs_base_2	wh3_main_dae_daemon_prince_generic_set_4
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_1	wh3_main_dae_daemon_prince_generic_set_4
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_1	wh3_main_dae_daemon_prince_generic_set_4
wh3_main_dae_cha_daemon_prince_tail_base_5	wh3_main_dae_daemon_prince_generic_set_5
wh3_main_dae_cha_daemon_prince_torso_base_7	wh3_main_dae_daemon_prince_generic_set_5
wh3_main_dae_cha_daemon_prince_wings_base_4	wh3_main_dae_daemon_prince_generic_set_5
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_1	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_2	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_3	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_1	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_2	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_3	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_1	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_2	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_3	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_1	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_2	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_3	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_1	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_2	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_3	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_1	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_2	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_3	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_4	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_5	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_1	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_2	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_3	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_1	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_2	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_3	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_4	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_shaggoth_axe_1	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_soulgrinder_sword_1	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_weapon_sword_1	wh3_main_dae_daemon_prince_generic_weapon_set
wh3_main_dae_cha_daemon_prince_fe_arm_l_armoured_06	wh3_main_dae_daemon_prince_khorne_fe
wh3_main_dae_cha_daemon_prince_fe_arm_r_armoured_06	wh3_main_dae_daemon_prince_khorne_fe
wh3_main_dae_cha_daemon_prince_fe_head_beast_06	wh3_main_dae_daemon_prince_khorne_fe
wh3_main_dae_cha_daemon_prince_fe_legs_beast_06	wh3_main_dae_daemon_prince_khorne_fe
wh3_main_dae_cha_daemon_prince_fe_tail_living_06	wh3_main_dae_daemon_prince_khorne_fe
wh3_main_dae_cha_daemon_prince_fe_torso_brasscollar_04	wh3_main_dae_daemon_prince_khorne_fe
