bonus_value_id	effect	unit_set_attribute
#effect_bonus_value_unit_set_unit_attribute_junctions_tables;0;db/effect_bonus_value_unit_set_unit_attribute_junctions_tables/data__		
enable	wh2_dlc09_effect_attribute_enable_vanguard_deployment_tmb_chariots	wh2_dlc09_tmb_chariots_guerilla_deploy
enable	wh2_dlc10_effect_attribute_enable_rampage	wh3_main_cth_cha_storm_dragon_0_rampage
enable	wh2_dlc10_effect_hellebron_perfect_vigour	perfect_vigour_death_hags_witch_elves
enable	wh2_dlc10_effect_hellebron_perfect_vigour	perfect_vigour_def_assassins
enable	wh2_dlc10_effect_hellebron_perfect_vigour	perfect_vigour_def_executioners
enable	wh2_dlc10_effect_hellebron_perfect_vigour	perfect_vigour_hellebron
enable	wh2_dlc10_effect_hellebron_perfect_vigour	perfect_vigour_sisters_of_slaughter
enable	wh2_dlc11_effect_attribute_enable_causes_fear_corsairs	def_enable_fear_corsairs
enable	wh2_dlc11_effect_attribute_enable_stalk_corsairs	def_enable_stalk_corsairs
enable	wh2_dlc11_effect_attribute_enable_vanguard_deployment_cst_monsters	wh2_dlc11_cst_monsters_guerilla_deploy
enable	wh2_dlc12_effect_attribute_enable_expendable_clanrats	wh2_dlc12_effect_attribute_expendable_skv_clanrats
enable	wh2_dlc12_effect_attribute_enable_perfect_vigour_doomwheel_mounts	wh2_dlc12_skaven_doomwheel_character_perfect_vigour
enable	wh2_dlc12_effect_attribute_enable_stalk_doomflayer_mounts	wh2_dlc12_skaven_doomflayer_character_stalker
enable	wh2_dlc12_effect_attribute_enable_stalk_jezzails	wh2_dlc12_skaven_jezzail_stalker
enable	wh2_dlc12_effect_attribute_enable_strider_doomwheel	wh2_dlc12_skaven_doomwheel_strider
enable	wh2_dlc12_effect_attribute_enable_vanguard_deployment_doomflayers	wh2_dlc12_skaven_doomflayer_vanguard_deployment
enable	wh2_dlc13_effect_attribute_enable_causes_terror_lzd_kroxigors	wh2_dlc13_effect_unit_kroxigors_attribute_terror
enable	wh2_dlc14_effect_stormvermin_enable_attribute_immpsy	wh2_dlc14_effect_stormvermin_enable_attribute_immpsy
enable	wh2_dlc14_malus_skill_stalk	wh2_dlc14_malus_skill_stalk
enable	wh2_dlc14_skv_cause_fear_posion_wind_globaldier	wh2_dlc14_skv_cause_fear_posion_wind_globaldier
enable	wh2_dlc14_skv_expendable_warp_grinder	wh2_dlc14_skv_warp_grinder_expendable
enable	wh2_dlc14_tzarkan_skill_terror	wh2_dlc14_tzarkan_skill_terror
enable	wh2_dlc15_cause_fear_goblin_inf	wh2_dlc15_cause_fear_goblin_inf
enable	wh2_dlc15_effect_army_grn_vanguard_deployment_boyz_big_uns	wh2_dlc15_grn_vanguard_deployment_boyz_big_uns
enable	wh2_dlc15_effect_attribute_stalk_hef_mistwalkers	wh2_dlc15_effect_attribute_stalk_hef_mistwalkers
enable	wh2_dlc15_grn_expendable_goblins	wh2_dlc15_expendable_goblins
enable	wh2_dlc15_immune_to_psychology_orc_cav_chariot	wh2_dlc15_immune_to_psychology_orc_cav
enable	wh2_dlc15_immune_to_psychology_orc_cav_chariot	wh2_dlc15_immune_to_psychology_savage_orc_cav
enable	wh2_dlc16_attribute_enable_expendable	wh2_dlc16_attribute_enable_expendable
enable	wh2_dlc16_effect_cause_fear_wef_elves	wh2_dlc16_cause_fear_wef_elves
enable	wh2_dlc16_effect_drycha_faction_expendable_elves	wh2_dlc16_expendable_wef_elves
enable	wh2_dlc16_effect_enable_attribute_cause_fear_hawk_riders	wh2_dlc16_effect_enable_attribute_cause_fear_hawk_riders
enable	wh2_dlc16_effect_enable_attribute_cause_terror_for_glade_captain_on_eagle	wh2_dlc16_effect_enable_attribute_cause_terror_for_glade_captain_on_eagle
enable	wh2_dlc16_effect_enable_attribute_guerilla_deployment_wildwood_rangers	wh2_dlc16_effect_enable_attribute_guerilla_deployment_wildwood_rangers
enable	wh2_dlc16_effect_enable_attribute_perfect_vigour_sisters_of_the_thorn	wh2_dlc16_effect_perfect_vigour_sisters_of_the_thorn
enable	wh2_dlc16_effect_enable_attribute_stalk_glade_captain_unmounted	wh2_dlc16_effect_enable_attribute_stalk_unmounted_glade_captain
enable	wh2_dlc16_effect_enable_attribute_stalk_glade_guard	wh2_dlc16_effect_enable_attribute_stalk_glade_guard
enable	wh2_dlc16_effect_enable_attribute_strider_for_glade_captain_on_mount	wh2_dlc16_effect_enable_attribute_strider_for_glade_captain_on_mount
enable	wh2_dlc16_effect_enable_attribute_strider_wef_cavalry	wh2_dlc16_effect_enable_attribute_strider_wef_cavalry
enable	wh2_dlc16_effect_enable_attribute_vanguard_deployment_wardancers	wh2_dlc16_effect_enable_vanguard_deployment_wardancers
enable	wh2_dlc16_effect_enable_snipe_missile_infantry	wh2_dlc16_effect_snipe_missile_infantry
enable	wh2_dlc16_effect_enable_stalk_wardancers_bladesingers	wh2_dlc16_stalk_wardancers
enable	wh2_dlc16_effect_stalk_treekin	wh2_dlc16_stalk_treekin
enable	wh2_dlc16_effect_stalk_wild_beasts	wh2_dlc16_stalk_drycha_beasts
enable	wh2_dlc16_effect_stormvermin_enable_attribute_encourage	wh2_dlc14_effect_stormvermin_enable_attribute_encourage
