campaign_group	effect_bundle
#campaign_group_racial_suitability_effects_tables;0;db/campaign_group_racial_suitability_effects_tables/data__	
wh3_dlc20_climate_suitable_chaotic	wh3_dlc20_climate_suitable_chaotic
wh3_dlc20_climate_suitable_desert	wh3_dlc20_climate_suitable_desert
wh3_dlc20_climate_suitable_frozen	wh3_dlc20_climate_suitable_frozen
wh3_dlc20_climate_suitable_island	wh3_dlc20_climate_suitable_island
wh3_dlc20_climate_suitable_jungle	wh3_dlc20_climate_suitable_jungle
wh3_dlc20_climate_suitable_magicforest	wh3_dlc20_climate_suitable_magicforest
wh3_dlc20_climate_suitable_mountain	wh3_dlc20_climate_suitable_mountain
wh3_dlc20_climate_suitable_ocean	wh3_dlc20_climate_suitable_ocean
wh3_dlc20_climate_suitable_savannah	wh3_dlc20_climate_suitable_savannah
wh3_dlc20_climate_suitable_temperate	wh3_dlc20_climate_suitable_temperate
wh3_dlc20_climate_suitable_wasteland	wh3_dlc20_climate_suitable_wasteland
wh3_dlc20_climate_uninhabitable_chaotic	wh3_dlc20_climate_uninhabitable_chaotic
wh3_dlc20_climate_uninhabitable_desert	wh3_dlc20_climate_uninhabitable_desert
wh3_dlc20_climate_uninhabitable_frozen	wh3_dlc20_climate_uninhabitable_frozen
wh3_dlc20_climate_uninhabitable_island	wh3_dlc20_climate_uninhabitable_island
wh3_dlc20_climate_uninhabitable_jungle	wh3_dlc20_climate_uninhabitable_jungle
wh3_dlc20_climate_uninhabitable_magicforest	wh3_dlc20_climate_uninhabitable_magicforest
wh3_dlc20_climate_uninhabitable_mountain	wh3_dlc20_climate_uninhabitable_mountain
wh3_dlc20_climate_uninhabitable_ocean	wh3_dlc20_climate_uninhabitable_ocean
wh3_dlc20_climate_uninhabitable_wasteland	wh3_dlc20_climate_uninhabitable_wasteland
wh3_dlc20_climate_unsuitable_chaotic	wh3_dlc20_climate_unsuitable_chaotic
wh3_dlc20_climate_unsuitable_chaotic_boris	wh3_dlc20_climate_unsuitable_chaotic_boris
wh3_dlc20_climate_unsuitable_desert	wh3_dlc20_climate_unsuitable_desert
wh3_dlc20_climate_unsuitable_frozen	wh3_dlc20_climate_unsuitable_frozen
wh3_dlc20_climate_unsuitable_island	wh3_dlc20_climate_unsuitable_island
wh3_dlc20_climate_unsuitable_jungle	wh3_dlc20_climate_unsuitable_jungle
wh3_dlc20_climate_unsuitable_magicforest	wh3_dlc20_climate_unsuitable_magicforest
wh3_dlc20_climate_unsuitable_mountain	wh3_dlc20_climate_unsuitable_mountain
wh3_dlc20_climate_unsuitable_ocean	wh3_dlc20_climate_unsuitable_ocean
wh3_dlc20_climate_unsuitable_savannah	wh3_dlc20_climate_unsuitable_savannah
wh3_dlc20_climate_unsuitable_temperate	wh3_dlc20_climate_unsuitable_temperate
wh3_dlc20_climate_unsuitable_wasteland	wh3_dlc20_climate_unsuitable_wasteland
wh3_dlc24_climate_suitable_magicforest_ostankya	wh3_dlc24_climate_suitable_magicforest_ostankya
