payload	lookup
#ritual_payload_text_displays_tables;0;db/ritual_payload_text_displays_tables/data__	
wh3_dlc29_neferata_actions_t1_assassination	dummy_neferata_actions_t1_assassination
wh3_dlc29_neferata_actions_t1_assassination	dummy_neferata_actions_xp_1_character
wh3_dlc29_neferata_actions_t1_assassination	dummy_neferata_wound_2_character
wh3_dlc29_neferata_actions_t1_assist_coven	dummy_neferata_actions_t1_assist_coven
wh3_dlc29_neferata_actions_t1_assist_coven	dummy_neferata_actions_xp_1_character
wh3_dlc29_neferata_actions_t1_block_movement	dummy_neferata_actions_t1_block_movement
wh3_dlc29_neferata_actions_t1_block_movement	dummy_neferata_actions_xp_1_character
wh3_dlc29_neferata_actions_t1_block_movement	dummy_neferata_wound_3_character
wh3_dlc29_neferata_actions_t1_break_alliances	dummy_neferata_actions_t1_break_alliances
wh3_dlc29_neferata_actions_t1_break_alliances	dummy_neferata_actions_xp_1_character
wh3_dlc29_neferata_actions_t1_break_alliances	dummy_neferata_wound_3_character
wh3_dlc29_neferata_actions_t1_cause_war	dummy_neferata_actions_t1_cause_war
wh3_dlc29_neferata_actions_t1_cause_war	dummy_neferata_actions_xp_1_character
wh3_dlc29_neferata_actions_t1_cause_war	dummy_neferata_wound_3_character
wh3_dlc29_neferata_actions_t1_steal_item	dummy_neferata_actions_t1_steal_item
wh3_dlc29_neferata_actions_t1_steal_item	dummy_neferata_actions_xp_0_character
wh3_dlc29_neferata_actions_t1_steal_item	dummy_neferata_diplo_penalty
wh3_dlc29_neferata_actions_t1_steal_treasury	dummy_neferata_actions_t1_steal_treasury
wh3_dlc29_neferata_actions_t1_steal_treasury	dummy_neferata_actions_xp_0_character
wh3_dlc29_neferata_actions_t1_steal_treasury	dummy_neferata_diplo_penalty
wh3_dlc29_neferata_actions_t1_teleport_neferata	dummy_neferata_actions_t1_teleport_neferata
wh3_dlc29_neferata_actions_t1_teleport_neferata	dummy_neferata_actions_xp_1_character
wh3_dlc29_neferata_actions_t2_damage_garrison	dummy_neferata_actions_t2_damage_garrison_1
wh3_dlc29_neferata_actions_t2_damage_garrison	dummy_neferata_actions_t2_damage_garrison_2
wh3_dlc29_neferata_actions_t2_damage_garrison	dummy_neferata_actions_xp_2_character
wh3_dlc29_neferata_actions_t2_damage_garrison	dummy_neferata_wound_2_character
wh3_dlc29_neferata_actions_t2_incite_rebellion	dummy_neferata_actions_t3_incite_rebellion
wh3_dlc29_neferata_actions_t2_incite_rebellion	dummy_neferata_actions_xp_2_character
wh3_dlc29_neferata_actions_t2_incite_rebellion	dummy_neferata_wound_2_character
wh3_dlc29_neferata_actions_t3_replenish_ap	dummy_neferata_actions_t3_replenish_ap
wh3_dlc29_neferata_actions_t3_replenish_ap	dummy_neferata_actions_xp_3_character
wh3_dlc29_neferata_actions_t3_replenish_ap	dummy_neferata_wound_3_character
wh3_dlc29_neferata_actions_t3_teleport_enemy	dummy_neferata_actions_t3_teleport_enemy
wh3_dlc29_neferata_actions_t3_teleport_enemy	dummy_neferata_actions_xp_3_character
wh3_dlc29_neferata_actions_t3_teleport_enemy	dummy_neferata_wound_3_character
wh3_dlc29_neferata_actions_t4_convert_climate	dummy_neferata_actions_t4_convert_climate_1
wh3_dlc29_neferata_actions_t4_convert_climate	dummy_neferata_actions_t4_convert_climate_2
wh3_dlc29_neferata_actions_t4_convert_climate	dummy_neferata_actions_xp_4_character
wh3_dlc29_neferata_actions_t4_convert_climate	dummy_neferata_wound_3_character
wh3_dlc29_neferata_actions_t5_declare_war	dummy_neferata_actions_t5_declare_war
wh3_dlc29_neferata_actions_t5_declare_war	dummy_neferata_actions_xp_5_character
wh3_dlc29_neferata_actions_t5_declare_war	dummy_neferata_wound_4_character
wh3_dlc29_neferata_actions_t6_intercept_diplomacy	dummy_neferata_actions_t6_intercept_diplomacy
wh3_dlc29_neferata_actions_t6_intercept_diplomacy	dummy_neferata_actions_xp_7_character
wh3_dlc29_neferata_actions_t6_intercept_diplomacy	dummy_neferata_wound_7_character
wh3_dlc29_neferata_actions_t6_raze_province	dummy_neferata_actions_t6_raze_province
wh3_dlc29_neferata_actions_t6_raze_province	dummy_neferata_actions_xp_6_character
