id	option	option_set	target	value
#cdir_event_option_set_items_tables;1;db/cdir_event_option_set_items_tables/data__				
1000822059	VAR_CHANCE	mis_diplomatic_raze_sack_settlement	default	25
1002897813	META_OPTION_SET	mis_raze_sack_settlement_sla	default	mis_raze_sack_settlement
1009241298	VAR_OBJECTIVE_AGENT	mis_recruit_agent_dignitary	default	dignitary
1009262754	CND_HAS_AGENT	mis_diplomatic_assassinate_character	default	champion;dignitary;engineer;runesmith;spy;wizard
1027168750	META_OPTION_SET	mis_assassinate_character_agent_skv	default	mis_assassinate_character_agent
1031086778	META_OPTION_SET	mis_eliminate_character_in_battle_high_rank_tze	default	mis_eliminate_character_in_battle_high_rank
1031530593	GEN_TARGET_REGION	mis_capture_regions	default	
1032977040	GEN_CND_NOT_SUBCULTURE	GEN_CND_NOT_CULTURE_lizardmen_generic	default	wh_main_sc_emp_empire
1034565768	META_OPTION_SET	mis_engage_force_army_emp	default	mis_engage_force_army
1035129223	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	mis_diplomatic_raze_sack_settlement	default	5
1035612433	CND_ROUNDS_UNTIL_NEXT	mis_diplomatic_eliminate_character_in_battle	default	10
1040296088	GEN_CND_NOT_COMPANION_ARMY	mis_diplomatic_eliminate_character_in_battle	default	
1041221774	GEN_CND_CULTURE	mis_raze_sack_settlement_vmp	default	wh_main_vmp_vampire_counts
1041304791	GEN_CND_CULTURE	mis_assassinate_character_agent_dwf	default	wh_main_dwf_dwarfs
1044991602	GEN_CND_CULTURE	mis_eliminate_character_in_battle_faction_leader_cst	default	wh2_dlc11_cst_vampire_coast
1045350838	META_OPTION_SET	mis_engage_force_army_lzd	default	mis_engage_force_army
1045492777	VAR_OBJECTIVE_REQUIRES_VICTORY	mis_diplomatic_engage_force	default	
1046039732	GEN_CND_CULTURE	mis_engage_force_army_invading_cst	default	wh2_dlc11_cst_vampire_coast
1047234150	GEN_CND_MAX_REGION_DISTANCE	mis_raze_sack_settlement	default	2
1048450265	META_OPTION_SET	mis_assassinate_character_agent_lzd	default	mis_assassinate_character_agent
1049772837	META_OPTION_SET	mis_engage_force_army_tze	default	mis_engage_force_army
1056790899	META_OPTION_SET	mis_eliminate_character_in_battle_high_rank_ksl	default	mis_eliminate_character_in_battle_high_rank
1057715268	CND_NOT_HAS_AGENT	mis_recruit_agent_dignitary	default	dignitary
1059662252	GEN_CND_CULTURE	mis_eliminate_character_in_battle_high_rank_nor	default	wh_dlc08_nor_norsca
1064860134	GEN_CND_CULTURE	mis_engage_force_army_invading_wef	default	wh_dlc05_wef_wood_elves
1066209219	CND_ROUNDS_UNTIL_NEXT	mis_diplomatic_engage_force	default	10
1071177090	GEN_CND_CULTURE	mis_assassinate_character_agent_wef	default	wh_dlc05_wef_wood_elves
1073732301	VAR_MISSION_LENGTH_INFINITE	mis_diplomatic_eliminate_character_in_battle	default	
1073804736	META_OPTION_SET	mis_declare_war_nur	default	mis_declare_war
1074867411	META_OPTION_SET	mis_raze_sack_settlement_grn	default	mis_raze_sack_settlement
1075525357	META_OPTION_SET	mis_raze_sack_settlement_bst	default	mis_raze_sack_settlement
1077825074	META_OPTION_SET	mis_raze_sack_settlement_lzd	default	mis_raze_sack_settlement
108112103	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	mis_raise_force_army	default	8
1082374747	GEN_CND_CULTURE	mis_declare_war_dwf	default	wh_main_dwf_dwarfs
1084192862	GEN_CND_HAS_ENEMIES	mis_diplomatic_assassinate_character	default	
1085303767	GEN_CND_NOT_CULTURE	GEN_CND_NOT_CULTURE_chaos_generic	default	wh_main_chs_chaos;wh_main_dwf_dwarfs;wh_main_grn_greenskins;wh_main_vmp_vampire_counts
1085939669	GEN_CND_NOT_HUMAN	mis_diplomatic_assassinate_character	default	
1095235854	META_OPTION_SET	mis_capture_regions_brt	default	mis_capture_regions
1095355421	VAR_OBJECTIVE_AGENT	mis_recruit_agent_champion	default	champion
1100162135	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	mis_diplomatic_raid_region	default	5
1105052430	META_OPTION_SET	mis_declare_war_emp	default	mis_declare_war
1106001091	META_OPTION_SET	mis_eliminate_character_in_battle_high_rank_chs	default	mis_eliminate_character_in_battle_high_rank
1111861395	META_OPTION_SET	mis_raid_region_dae	default	mis_raid_region
1112547748	GEN_CND_CULTURE	mis_raze_sack_settlement_lzd	default	wh2_main_lzd_lizardmen
1112766270	META_OPTION_SET	mis_raze_sack_settlement_vmp	default	mis_raze_sack_settlement
1114273466	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	mis_raid_region	default	8
1121033831	GEN_CND_CULTURE	mis_eliminate_character_in_battle_high_rank_sla	default	wh3_main_sla_slaanesh
1124757902	META_OPTION_SET	mis_engage_force_army_cth	default	mis_engage_force_army
1130541139	META_OPTION_SET	mis_capture_regions_tze	default	mis_capture_regions
1142315672	GEN_CND_CULTURE	mis_raid_region_vmp	default	wh_main_vmp_vampire_counts
114714536	GEN_CND_CULTURE	mis_raid_region_wef	default	wh_dlc05_wef_wood_elves
1148157637	GEN_CND_REGION_NEIGHBOURS	mis_capture_regions	default	
1154941924	META_OPTION_SET	mis_eliminate_character_in_battle_high_rank_grn	default	mis_eliminate_character_in_battle_high_rank
1155794302	GEN_CND_CULTURE	mis_assassinate_character_agent_tze	default	wh3_main_tze_tzeentch
