id	component_type	payload	unit	amount	xp	ignore_unit_cap
#campaign_payload_unit_components_tables;1;db/campaign_payload_unit_components_tables/data__						
1015018202	add_unit	wh3_dlc29_skv_add_death_runners	wh2_main_skv_inf_death_runners_0	1	0	false
1020242353	add_mercenaries_to_faction	wh3_dlc20_nur_plague_drones_death_x1_chosen_mnur_gw_x1	wh3_dlc20_chs_inf_chosen_mnur_greatweapons	1	0	false
102222200	add_unit	wh3_dlc29_skv_add_clanrats_shields_x2	wh2_main_skv_inf_clanrats_1	2	0	false
104054423	add_mercenaries_to_faction	wh3_dlc20_chariot_mnur_x1_pox_riders_x1	wh3_dlc20_chs_cav_chaos_chariot_mnur	1	0	false
1041794062	add_unit	wh3_dlc29_magic_summon_verminlord_warpseer_1	wh2_main_skv_inf_poison_wind_globadiers	1	0	false
1044505960	add_mercenaries_to_faction	wh3_dlc29_ie_victory_conditions_reward_blessed_kroxigor_merc	wh2_main_lzd_mon_kroxigors_blessed	2	0	false
1046972610	add_unit	wh3_dlc29_skv_add_pusbags	wh3_dlc29_skv_inf_pusbags	1	0	false
104756131	add_mercenaries_to_faction	wh3_dlc29_ie_victory_conditions_reward_blessed_temple_guard_merc	wh2_main_lzd_inf_temple_guards_blessed	2	0	false
1048342751	add_unit	wh3_dlc29_skv_add_stormvermin_1	wh2_main_skv_inf_stormvermin_1	1	0	false
1050145742	add_unit	wh3_dlc29_skv_add_ratling_guns	wh2_dlc12_skv_inf_ratling_gun_0	1	0	false
1050178659	add_unit	wh3_dlc29_magic_summon_verminlord_warbringer_4	wh2_main_skv_inf_stormvermin_1	2	3	false
1051137790	add_unit	wh3_dlc29_skv_add_stormfiend_windlaunchers	wh3_dlc29_skv_mon_stormfiend_windlaunchers	1	0	false
1051260623	add_mercenaries_to_faction	wh3_dlc20_warshrine_tze_x1	wh3_dlc20_chs_mon_warshrine_mtze	1	0	false
1054018909	add_unit	wh3_dlc29_magic_summon_verminlord_piece_eshin_5	wh2_main_skv_inf_gutter_runners_1	1	5	false
1055531685	add_unit	wh3_dlc29_magic_summon_verminlord_piece_pestilens_1	wh3_dlc29_skv_inf_pusbags	3	0	false
1061613708	add_mercenaries_to_faction	wh3_dlc25_malakai_feature_exalted_bloodthirst_payload_unit	wh_main_dwf_art_organ_gun_malakai	3	0	false
1067573015	add_mercenaries_to_faction	wh3_dlc20_warhounds_poison_x1	wh_main_chs_mon_chaos_warhounds_1	1	0	false
1068679860	add_unit	wh3_dlc29_magic_summon_verminlord_deceiver_2	wh2_main_skv_inf_gutter_runner_slingers_0	2	3	false
1070452762	add_unit	wh3_dlc29_purple_military_ogre_kingdoms_mercenaries_reward_1	wh3_main_ogr_inf_ogres_0	2	0	false
1073930886	add_mercenaries_to_faction	wh3_dlc29_ie_victory_conditions_reward_rakarth_beasts_short	wh2_main_lzd_cav_cold_ones_feral_0	1	0	false
1075988096	add_mercenaries_to_faction	wh3_main_nur_1_3	wh3_main_nur_inf_nurglings_0	1	0	false
108169945	add_mercenaries_to_faction	wh3_dlc25_ritual_nur_exalted_hero_dragon_ogre	wh3_dlc25_nur_chieftain_mon_dragon_ogre_shaggoth	1	0	false
1083264510	add_unit	wh3_dlc29_skv_add_stormvermin_0_x2	wh2_main_skv_inf_stormvermin_0	2	0	false
1090542987	add_mercenaries_to_faction	wh3_dlc25_malakai_feature_undead_empowered_payload_unit	wh_main_dwf_veh_gyrobomber_malakai	3	0	false
1094878100	add_unit	wh3_dlc29_magic_summon_verminlord_piece_skryre_5	wh2_main_skv_inf_poison_wind_globadiers	2	5	false
1099691622	add_unit	wh3_dlc29_skv_add_stormvermin_1_rank_9	wh2_main_skv_inf_stormvermin_1	1	9	false
1099887472	add_mercenaries_to_faction	wh3_main_nur_5_2	wh3_dlc20_chs_mon_warshrine_mnur	2	0	false
1102580830	add_mercenaries_to_faction	wh3_dlc20_nur_plague_drones_death_x1_chosen_mnur_gw_x1	wh3_main_nur_cav_plague_drones_1	1	0	false
1109106830	add_mercenaries_to_faction	wh3_main_nur_2_2	wh3_main_nur_inf_forsaken_0	1	0	false
1111550940	add_unit	wh3_dlc29_magic_summon_verminlord_warbringer_2	wh2_main_skv_inf_clanrats_1	2	3	false
1113708859	add_unit	wh3_dlc29_skv_add_stormvermin_0_rank_9	wh2_main_skv_inf_stormvermin_0	1	9	false
1115017477	add_mercenaries_to_faction	wh3_main_nur_3_5	wh3_dlc25_nur_mon_bile_trolls	2	0	false
1115214716	add_mercenaries_to_faction	wh3_dlc25_ritual_nur_fimir_balefiend_fimir_warriors_1	wh3_dlc25_nur_chieftain_mon_fimir_1	1	0	false
1120907524	add_mercenaries_to_faction	wh3_dlc25_dwf_ritual_mercenary_unit_pack_4	wh_main_dwf_inf_longbeards_1_grudge_reward	1	0	false
112158907	add_mercenaries_to_faction	wh3_dlc25_malakai_feature_warpstone_bomb_payload_unit	wh3_dlc25_dwf_veh_thunderbarge_malakai	3	0	false
1122168908	add_mercenaries_to_faction	wh3_main_nur_3_3	wh3_main_nur_mon_plague_toads_0	1	0	false
1126723949	add_mercenaries_to_faction	wh3_dlc20_shaggoth_x1	wh_dlc01_chs_mon_dragon_ogre_shaggoth	1	0	false
1132678949	add_unit	wh3_main_nor_throgg_dilemma_troll_recruitment_2	wh3_dlc27_throgg_mon_river_trolls_0	2	0	false
1149367793	add_unit	wh3_dlc29_skv_add_warpfire_thrower	wh2_main_skv_inf_warpfire_thrower	1	0	false
1156030076	add_mercenaries_to_faction	wh3_main_nur_4_2	wh3_main_nur_cav_pox_riders_of_nurgle_0	1	0	false
116641125	add_mercenaries_to_faction	wh3_main_nur_chaos_furies_x1	wh3_main_nur_inf_chaos_furies_0	1	0	false
1169560040	add_mercenaries_to_faction	wh3_main_nur_great_unclean_one_x1	wh3_main_nur_mon_great_unclean_one_0	1	0	false
1173974179	add_mercenaries_to_faction	wh3_dlc25_malakai_feature_dreadquake_destruction_payload_unit	wh_main_dwf_veh_gyrocopter_1_malakai	1	0	false
1176380643	add_mercenaries_to_faction	wh3_main_nur_1_4	wh3_main_nur_inf_plaguebearers_0	1	0	false
118279246	add_mercenaries_to_faction	wh3_main_nur_2_1	wh3_main_nur_inf_forsaken_0	1	0	false
118519741	add_mercenaries_to_faction	wh3_dlc20_nur_plague_toads_x1_marauder_horsmen_mnur_x1	wh3_main_nur_mon_plague_toads_0	1	0	false
1188651052	add_mercenaries_to_faction	wh3_main_nur_plague_toads_x1_warhounds_x1	wh_main_chs_mon_chaos_warhounds_1	1	0	false
1196801890	add_unit	wh3_dlc29_magic_summon_verminlord_warbringer_5	wh2_main_skv_inf_stormvermin_1	2	5	false
1209962497	add_mercenaries_to_faction	wh3_dlc25_nur_inf_plague_ogres_x1	wh3_dlc25_nur_inf_plague_ogres_great_weapons	1	0	false
1215750234	add_mercenaries_to_faction	wh3_dlc26_kho_mon_slaughterbrute_x1	wh3_dlc26_kho_mon_slaughterbrute	1	0	false
1216452246	add_mercenaries_to_faction	wh3_dlc27_pleasureseekers_sla_x1	wh3_dlc27_sla_cav_pleasureseekers	1	0	false
1223370601	add_mercenaries_to_faction	wh3_main_nur_plaguebearer_x2	wh3_main_nur_inf_plaguebearers_0	1	0	false
1239361251	add_unit	wh3_dlc29_skv_add_clanrats	wh2_main_skv_inf_clanrats_0	1	0	false
1246464213	add_unit	wh3_dlc29_magic_summon_verminlord_deceiver_1	wh2_main_skv_inf_gutter_runner_slingers_0	1	0	false
1249067049	add_mercenaries_to_faction	wh3_main_nur_4_6	wh3_dlc20_chs_cav_chaos_knights_mnur	2	0	false
1250112665	add_mercenaries_to_faction	wh3_main_nur_nurglings_x1	wh3_main_nur_inf_nurglings_0	1	0	false
1257849636	add_mercenaries_to_faction	wh3_dlc25_nur_inf_plague_ogres_x1	wh3_main_nur_inf_nurglings_0	1	0	false
1260175716	add_unit	wh3_dlc29_skv_add_hell_pit_abomination	wh2_main_skv_mon_hell_pit_abomination	1	0	false
1263939097	add_mercenaries_to_faction	wh3_dlc20_payload_eye_of_the_gods_units_und_2	wh3_dlc20_chs_mon_warshrine	2	0	false
1268007205	add_mercenaries_to_faction	wh3_dlc20_payload_eye_of_the_gods_units_tze_1	wh3_main_tze_inf_pink_horrors_0	4	0	false
